model,mode,target,trials-id,mse,rmse,mae
mlp,value,trc(trc-ppl2),51,0.007443,0.086271,0.072452
mlphis,value,trc(trc-ppl2),54,0.006462,0.080386,0.072379
rnn,value,trc(trc-ppl2),40,0.007742,0.087986,0.076849
lstm,value,trc(trc-ppl2),74,0.006218,0.078852,0.070913
gru,value,trc(trc-ppl2),35,0.005223,0.07227,0.061207
mlp,rate,trc(trc-ppl2),44,0.004132,0.064282,0.064276
mlphis,rate,trc(trc-ppl2),31,0.004225,0.064999,0.064992
rnn,rate,trc(trc-ppl2),16,0.004274,0.065373,0.065365
lstm,rate,trc(trc-ppl2),67,0.004105,0.064071,0.064056
gru,rate,trc(trc-ppl2),52,0.004119,0.064181,0.064169
mlp,value,other(ph-ppl2),10,0.001234,0.035129,0.029048
mlphis,value,other(ph-ppl2),52,0.001075,0.032787,0.026606
rnn,value,other(ph-ppl2),55,0.001014,0.03185,0.027056
lstm,value,other(ph-ppl2),33,0.001317,0.036284,0.030846
gru,value,other(ph-ppl2),46,0.000943,0.030707,0.023314
mlp,rate,other(ph-ppl2),63,0.006363,0.079769,0.06261
mlphis,rate,other(ph-ppl2),52,0.006601,0.081245,0.063193
rnn,rate,other(ph-ppl2),30,0.006593,0.081196,0.062938
lstm,rate,other(ph-ppl2),31,0.006097,0.078086,0.061832
gru,rate,other(ph-ppl2),62,0.006605,0.081271,0.063178
mlp,value,other(toc-ppl2),10,0.000281,0.016771,0.014317
mlphis,value,other(toc-ppl2),52,0.000343,0.018517,0.015614
rnn,value,other(toc-ppl2),55,0.000126,0.011223,0.009155
lstm,value,other(toc-ppl2),33,0.000215,0.014674,0.012685
gru,value,other(toc-ppl2),46,0.000121,0.011009,0.008832
mlp,rate,other(toc-ppl2),63,0.000391,0.019768,0.016724
mlphis,rate,other(toc-ppl2),52,0.000332,0.018233,0.015136
rnn,rate,other(toc-ppl2),30,0.000348,0.018663,0.015582
lstm,rate,other(toc-ppl2),31,0.000282,0.01679,0.013792
gru,rate,other(toc-ppl2),62,0.000339,0.01842,0.015334
