epoch,train_rate_mse,val_rate_mse,val_value_mse
1,8.933232649507492e-05,7.023081788735692e-05,4.386490616903716e-05
2,8.238412224680859e-05,6.575995189086831e-05,4.386490616903716e-05
3,7.637469941156108e-05,6.257434764045339e-05,4.386490616903716e-05
4,7.143738232079307e-05,5.986429494471503e-05,4.386490616903716e-05
5,6.667389863199613e-05,5.6846856738051045e-05,4.386490616903716e-05
6,6.235942859259467e-05,5.4351901213503504e-05,4.386490616903716e-05
7,5.843581379075019e-05,5.229144858063532e-05,4.386490616903716e-05
8,5.527660774574984e-05,5.163328701966317e-05,4.386490616903716e-05
9,5.236398862441061e-05,4.959548632205504e-05,4.386490616903716e-05
10,4.9586836764673355e-05,4.7826764389629026e-05,4.386490616903716e-05
11,4.713844071402176e-05,4.611637468423524e-05,4.386490616903716e-05
12,4.482253195108332e-05,4.481897309168121e-05,4.386490616903716e-05
13,4.278442978927214e-05,4.4186263603107434e-05,4.386490616903716e-05
14,4.1065275049783595e-05,4.3195720110000833e-05,4.386490616903716e-05
15,3.932853191856759e-05,4.2180212958169016e-05,4.386490616903716e-05
16,3.7836027375188855e-05,4.116016332325198e-05,4.386490616903716e-05
17,3.635937527708763e-05,4.0319260048747325e-05,4.386490616903716e-05
18,3.5116860524881956e-05,3.949646335418484e-05,4.386490616903716e-05
19,3.39780247389626e-05,3.880078108098462e-05,4.386490616903716e-05
20,3.293779634227605e-05,3.7952278729191005e-05,4.386490616903716e-05
21,3.201766154464449e-05,3.73483456680264e-05,4.386490616903716e-05
22,3.101887296481783e-05,3.6883929612518276e-05,4.386490616903716e-05
23,3.0156834499483012e-05,3.6440460552085194e-05,4.386490616903716e-05
24,2.942099102646122e-05,3.6144332557958214e-05,4.386490616903716e-05
25,2.865752783131752e-05,3.582356521177436e-05,4.386490616903716e-05
26,2.8044381174332245e-05,3.537128110262336e-05,4.386490616903716e-05
27,2.745684075709293e-05,3.514249330577503e-05,4.386490616903716e-05
28,2.700955027658206e-05,3.498822729350439e-05,4.386490616903716e-05
29,2.65178480663255e-05,3.461805202183873e-05,4.386490616903716e-05
30,2.60737072790531e-05,3.4135379322549734e-05,4.386490616903716e-05
31,2.5561853436606888e-05,3.381414830782689e-05,4.386490616903716e-05
32,2.5181678757224507e-05,3.354761045806729e-05,4.386490616903716e-05
33,2.4821340030450792e-05,3.35340783338948e-05,4.386490616903716e-05
34,2.4422382196309585e-05,3.349131181404008e-05,4.386490616903716e-05
35,2.41113370675441e-05,3.3328298411636354e-05,4.386490616903716e-05
36,2.3740709540742963e-05,3.311515806793275e-05,4.386490616903716e-05
37,2.3399240521675314e-05,3.288432797267541e-05,4.386490616903716e-05
38,2.307087068844069e-05,3.270668140235741e-05,4.386490616903716e-05
39,2.278776702840476e-05,3.2754979886684616e-05,4.386490616903716e-05
40,2.2579853478343922e-05,3.264193640203681e-05,4.386490616903716e-05
41,2.242103522305856e-05,3.259222015322039e-05,4.386490616903716e-05
42,2.2205764923732077e-05,3.243000133879564e-05,4.386490616903716e-05
43,2.2093929618729085e-05,3.2436587384709095e-05,4.386490616903716e-05
44,2.1894210568951812e-05,3.286594303920961e-05,4.386490616903716e-05
45,2.1661200709223182e-05,3.271944893383417e-05,4.386490616903716e-05
46,2.145639007495217e-05,3.259437344811722e-05,4.386490616903716e-05
47,2.1284398014559043e-05,3.275369704007995e-05,4.386490616903716e-05
48,2.1091574328549086e-05,3.263714589281413e-05,4.386490616903716e-05
49,2.096756265893517e-05,3.278053391691631e-05,4.386490616903716e-05
50,2.0804781981460514e-05,3.294623650045501e-05,4.386490616903716e-05
51,2.063425531063424e-05,3.259234486937159e-05,4.386490616903716e-05
52,2.0463209434448137e-05,3.266841221652872e-05,4.386490616903716e-05
53,2.027792710133517e-05,3.258731046273012e-05,4.386490616903716e-05
54,2.01362712132729e-05,3.248288567377079e-05,4.386490616903716e-05
55,1.998550975217078e-05,3.288760697562371e-05,4.386490616903716e-05
56,1.986209468648089e-05,3.30970695901302e-05,4.386490616903716e-05
57,1.97759032155824e-05,3.338434523037104e-05,4.386490616903716e-05
58,1.9686951423598367e-05,3.319484964403743e-05,4.386490616903716e-05
59,1.9561242106159693e-05,3.3137570257565634e-05,4.386490616903716e-05
60,1.945787114502934e-05,3.3676888185103394e-05,4.386490616903716e-05
61,1.9340421364146673e-05,3.362891000167807e-05,4.386490616903716e-05
62,1.926979653884912e-05,3.37399053389227e-05,4.386490616903716e-05
63,1.9211601409564157e-05,3.374632369647911e-05,4.386490616903716e-05
64,1.9121293462019322e-05,3.391660453735988e-05,4.386490616903716e-05
65,1.899879654916419e-05,3.396172591235365e-05,4.386490616903716e-05
66,1.888639734583482e-05,3.392399684872354e-05,4.386490616903716e-05
67,1.877923615880962e-05,3.398417092004711e-05,4.386490616903716e-05
68,1.870070516636798e-05,3.440476562294591e-05,4.386490616903716e-05
69,1.864061035686603e-05,3.435212991712739e-05,4.386490616903716e-05
70,1.8559657606635195e-05,3.4649844681537734e-05,4.386490616903716e-05
71,1.8506477773787843e-05,3.4722131789724937e-05,4.386490616903716e-05
72,1.8438128041709534e-05,3.46099108475731e-05,4.386490616903716e-05
73,1.8386171024678858e-05,3.45950318770692e-05,4.386490616903716e-05
74,1.8277115562361195e-05,3.449681314162691e-05,4.386490616903716e-05
75,1.821813042761063e-05,3.500107445017071e-05,4.386490616903716e-05
76,1.810839414233145e-05,3.538661432322802e-05,4.386490616903716e-05
77,1.8044270340248074e-05,3.538216092450657e-05,4.386490616903716e-05
78,1.7994693261283996e-05,3.54449093128064e-05,4.386490616903716e-05
79,1.7917224454882657e-05,3.541940043449726e-05,4.386490616903716e-05
80,1.7863118502658646e-05,3.510869676438643e-05,4.386490616903716e-05
81,1.782816603909384e-05,3.4819844586713385e-05,4.386490616903716e-05
82,1.77743330441773e-05,3.494489417101342e-05,4.386490616903716e-05
83,1.7669351190802025e-05,3.4926460650804676e-05,4.386490616903716e-05
84,1.7570415439115678e-05,3.490610876161594e-05,4.386490616903716e-05
85,1.747141712605059e-05,3.490156622037678e-05,4.386490616903716e-05
86,1.7395273257501037e-05,3.496996965494624e-05,4.386490616903716e-05
87,1.733175629571092e-05,3.49799786196303e-05,4.386490616903716e-05
88,1.7241359314212e-05,3.497428675550079e-05,4.386490616903716e-05
89,1.717466854139514e-05,3.497413238516911e-05,4.386490616903716e-05
90,1.7115262515186894e-05,3.496930714273794e-05,4.386490616903716e-05
91,1.7070981886398693e-05,3.552751295137734e-05,4.386490616903716e-05
92,1.701569751999092e-05,3.496953131342731e-05,4.386490616903716e-05
