epoch,train_rate_mse,val_rate_mse,val_value_mse
1,8.288454409921542e-05,6.713107723044232e-05,8.954217628343031e-05
2,7.131139136618003e-05,6.156941526569426e-05,8.227206853916869e-05
3,6.180902710184455e-05,5.705322837457061e-05,7.637657108716667e-05
4,5.4459538660012186e-05,5.440579116111621e-05,7.298487616935745e-05
5,4.868692849413492e-05,5.534060255740769e-05,7.42469637771137e-05
6,4.319795698393136e-05,5.356715337256901e-05,7.201131666079164e-05
7,3.8559373933821917e-05,5.156926636118442e-05,6.945166387595236e-05
8,3.484669650788419e-05,4.9597423640079796e-05,6.688851135550067e-05
9,3.17656304105185e-05,4.813785926671699e-05,6.50432994007133e-05
10,2.9545253710239194e-05,4.82866853417363e-05,6.524247874040157e-05
11,2.7233136279392056e-05,4.591945980791934e-05,6.210623541846871e-05
12,2.571852928667795e-05,4.400139732751995e-05,5.951267303316854e-05
13,2.394128568994347e-05,4.290230936021544e-05,5.812393283122219e-05
14,2.2429558157455176e-05,4.255116800777614e-05,5.77290884393733e-05
15,2.1244601157377474e-05,4.1908439015969634e-05,5.690719626727514e-05
16,2.014906203839928e-05,4.1581664845580235e-05,5.650284583680332e-05
17,1.930153666762635e-05,4.158297451795079e-05,5.654188134940341e-05
18,1.8483620806364343e-05,4.1523973777657375e-05,5.6492928706575185e-05
19,1.8047447156277485e-05,4.1503160900902e-05,5.647197394864634e-05
20,1.730350049911067e-05,4.143581827520393e-05,5.6402212067041546e-05
21,1.672594589763321e-05,4.140967575949617e-05,5.6390115787507966e-05
22,1.61958687385777e-05,4.177624578005634e-05,5.691373735317029e-05
23,1.578782575961668e-05,4.167743827565573e-05,5.6795048294588923e-05
24,1.5492523743887432e-05,4.14733549405355e-05,5.651755418512039e-05
25,1.51498816194362e-05,4.104045729036443e-05,5.593937748926692e-05
26,1.4884303709550295e-05,4.087241177330725e-05,5.571654764935374e-05
27,1.4566756362910382e-05,4.057109617860988e-05,5.530862836167216e-05
28,1.4274445675255265e-05,4.0540951886214316e-05,5.527975736185908e-05
29,1.4125330380920786e-05,4.052877557114698e-05,5.525964297703467e-05
30,1.387845077260863e-05,4.063830056111328e-05,5.5415814131265506e-05
31,1.3684469195140991e-05,4.041788270114921e-05,5.511594281415455e-05
32,1.3487758224073332e-05,4.094346513738856e-05,5.5833956139395013e-05
33,1.3317908269527834e-05,4.123071994399652e-05,5.6243450671900064e-05
34,1.3147543540981133e-05,4.121179517824203e-05,5.6222434068331495e-05
35,1.3003367712371983e-05,4.159957097726874e-05,5.6763899920042604e-05
36,1.281277036468964e-05,4.142353282077238e-05,5.6529643188696355e-05
37,1.2638438420253806e-05,4.1435559978708625e-05,5.6546592531958595e-05
38,1.2481884368753526e-05,4.168821033090353e-05,5.690025500371121e-05
39,1.2369037904136349e-05,4.158551018917933e-05,5.675754073308781e-05
40,1.2203561709611677e-05,4.2169176595052704e-05,5.7568591728340834e-05
41,1.2071312994521577e-05,4.196985173621215e-05,5.729477561544627e-05
42,1.1955680747632869e-05,4.2265244701411575e-05,5.771078576799482e-05
43,1.1862973224197049e-05,4.266880569048226e-05,5.8269884902983904e-05
44,1.1806685506599024e-05,4.247816832503304e-05,5.8008095948025584e-05
45,1.1685520803439431e-05,4.364523192634806e-05,5.962616705801338e-05
46,1.161365071311593e-05,4.36065711255651e-05,5.9580128436209634e-05
47,1.152405184257077e-05,4.32861597801093e-05,5.913882705499418e-05
48,1.1463429473224096e-05,4.325860572862439e-05,5.910088657401502e-05
49,1.1393638487788849e-05,4.3535874283406883e-05,5.948645411990583e-05
50,1.1340947821736336e-05,4.3527015805011615e-05,5.9474263252923265e-05
51,1.1264876775385346e-05,4.352827090770006e-05,5.9476253227330744e-05
52,1.1219309271837119e-05,4.369251473690383e-05,5.9703252190956846e-05
53,1.1134775377286132e-05,4.3877869757125154e-05,5.995986794005148e-05
54,1.1072786946897395e-05,4.507330959313549e-05,6.160533666843548e-05
55,1.0978713362419512e-05,4.508611164055765e-05,6.161872443044558e-05
56,1.091040758183226e-05,4.504792741499841e-05,6.15661556366831e-05
57,1.0861957889574114e-05,4.503571835812181e-05,6.154928996693343e-05
58,1.0804888006532565e-05,4.530006117420271e-05,6.191874854266644e-05
59,1.0738717719505075e-05,4.461261778487824e-05,6.097225923440419e-05
60,1.0685075721994508e-05,4.509420250542462e-05,6.163825310068205e-05
61,1.0632345947669819e-05,4.50472543889191e-05,6.15749231656082e-05
62,1.0599133020150475e-05,4.5610191591549665e-05,6.23523083049804e-05
63,1.0537928574194666e-05,4.562206959235482e-05,6.236865010578185e-05
64,1.0467061656527221e-05,4.53636675956659e-05,6.20126083958894e-05
65,1.0443754945299588e-05,4.512002124101855e-05,6.167307583382353e-05
66,1.0378323167969938e-05,4.508155325311236e-05,6.162095087347552e-05
67,1.0330356417398434e-05,4.509251448325813e-05,6.163604848552495e-05
68,1.0282259609084576e-05,4.50988627562765e-05,6.16460747551173e-05
69,1.0233601642539725e-05,4.510414146352559e-05,6.164788646856323e-05
70,1.0207505511061754e-05,4.508673009695485e-05,6.162399222375825e-05
71,1.0139105143025517e-05,4.528736462816596e-05,6.190049316501245e-05
72,1.0122967069037259e-05,4.6974124416010454e-05,6.422284786822274e-05
73,1.0055810889753047e-05,4.7009249101392925e-05,6.42713566776365e-05
74,1.0010054211306851e-05,4.713229282060638e-05,6.44406391074881e-05
75,9.951400897989515e-06,4.6243709221016616e-05,6.3211155065801e-05
76,9.91857723420253e-06,4.61950185126625e-05,6.31485236226581e-05
77,9.907536878017709e-06,4.620012259692885e-05,6.315527571132407e-05
78,9.872031114355195e-06,4.626212103175931e-05,6.324001878965646e-05
79,9.83199424808845e-06,4.684347004513256e-05,6.404404120985419e-05
80,9.806230991671328e-06,4.8563480959273875e-05,6.640945503022522e-05
81,9.774752470548265e-06,4.857829480897635e-05,6.642962398473173e-05
