iter	Passed	Remaining
0	0	216
1	1	210
2	2	200
3	2	198
4	3	196
5	4	197
6	4	197
7	5	194
8	6	194
9	6	194
10	7	193
11	8	192
12	8	192
13	9	191
14	10	190
15	10	189
16	11	189
17	12	188
18	12	187
19	13	186
20	13	185
21	14	184
22	15	183
23	15	182
24	16	181
25	17	181
26	17	180
27	18	179
28	19	179
29	19	178
30	20	177
31	21	176
32	21	176
33	22	175
34	23	175
35	23	174
36	24	174
37	25	173
38	25	172
39	26	172
40	27	171
41	27	171
42	28	170
43	29	170
44	29	169
45	30	169
46	31	168
47	31	167
48	32	167
49	33	166
50	33	165
51	34	165
52	35	164
53	35	163
54	36	163
55	37	162
56	37	161
57	38	160
58	39	160
59	39	159
60	40	158
61	41	158
62	41	157
63	42	156
64	43	156
65	43	155
66	44	154
67	45	154
68	45	153
69	46	152
70	47	152
71	47	151
72	48	150
73	49	150
74	49	149
75	50	149
76	51	148
77	51	147
78	52	147
79	53	146
80	53	145
81	54	145
82	55	144
83	55	143
84	56	143
85	57	142
86	57	141
87	58	141
88	59	140
89	60	140
90	60	139
91	61	138
92	62	138
93	62	137
94	63	136
95	63	135
96	64	135
97	65	134
98	65	133
99	66	133
100	67	132
101	68	132
102	68	131
103	69	130
104	70	130
105	70	129
106	71	128
107	72	128
108	72	127
109	73	126
110	74	126
111	74	125
112	75	124
113	76	124
114	76	123
115	77	122
116	78	122
117	78	121
118	79	120
119	80	120
120	80	119
121	81	118
122	82	118
123	82	117
124	83	116
125	84	116
126	84	115
127	85	114
128	86	114
129	86	113
130	87	112
131	88	112
132	88	111
133	89	110
134	90	110
135	90	109
136	91	108
137	92	108
138	92	107
139	93	106
140	94	106
141	94	105
142	95	104
143	96	104
144	96	103
145	97	102
146	98	102
147	98	101
148	99	100
149	100	100
150	100	99
151	101	98
152	102	98
153	102	97
154	103	96
155	104	96
156	104	95
157	105	94
158	106	94
159	106	93
160	107	92
161	108	92
162	108	91
163	109	90
164	110	90
165	110	89
166	111	88
167	112	88
168	112	87
169	113	86
170	114	86
171	114	85
172	115	84
173	116	84
174	116	83
175	117	82
176	117	81
177	118	81
178	119	80
179	119	79
180	120	79
181	121	78
182	121	77
183	122	77
184	123	76
185	123	75
186	124	75
187	125	74
188	126	74
189	127	73
190	127	73
191	128	72
192	129	71
193	129	70
194	130	70
195	131	69
196	131	68
197	132	68
198	133	67
199	134	67
200	134	66
201	135	65
202	136	65
203	137	64
204	138	64
205	139	63
206	139	62
207	140	62
208	141	61
209	142	60
210	143	60
211	143	59
212	144	59
213	145	58
214	145	57
215	146	57
216	147	56
217	148	55
218	148	55
219	149	54
220	150	53
221	150	52
222	151	52
223	152	51
224	152	50
225	153	50
226	154	49
227	154	48
228	155	48
229	156	47
230	156	46
231	157	46
232	158	45
233	158	44
234	159	44
235	160	43
236	160	42
237	161	42
238	162	41
239	162	40
240	163	40
241	164	39
242	164	38
243	165	38
244	166	37
245	166	36
246	167	35
247	168	35
248	169	34
249	169	33
250	170	33
251	171	32
252	171	31
253	172	31
254	173	30
255	173	29
256	174	29
257	175	28
258	175	27
259	176	27
260	177	26
261	177	25
262	178	25
263	179	24
264	179	23
265	180	23
266	181	22
267	181	21
268	182	21
269	183	20
270	183	19
271	184	18
272	185	18
273	185	17
274	186	16
275	187	16
276	187	15
277	188	14
278	189	14
279	189	13
280	190	12
281	191	12
282	191	11
283	192	10
284	193	10
285	193	9
286	194	8
287	195	8
288	195	7
289	196	6
290	197	6
291	197	5
292	198	4
293	199	4
294	199	3
295	200	2
296	201	2
297	201	1
298	202	0
299	203	0
