epoch,train_loss,val_loss
1,0.26980809,0.62139547
2,0.10247298,0.58436897
3,0.07570432,0.55571594
4,0.06366506,0.51327528
5,0.05752659,0.50173710
6,0.05306816,0.45704344
7,0.04939438,0.42033637
8,0.04815092,0.42222463
9,0.04613931,0.39283265
10,0.04387687,0.41257081
11,0.04269188,0.38607041
12,0.04242526,0.37229671
13,0.04068490,0.36875561
14,0.04049058,0.34435949
15,0.03963687,0.35693426
16,0.03875806,0.38950742
17,0.03821129,0.37964095
18,0.03769549,0.36523516
19,0.03713039,0.34093116
20,0.03603747,0.33998022
21,0.03613787,0.36791931
22,0.03549614,0.35650415
23,0.03502600,0.34119016
24,0.03445830,0.34479759
25,0.03449458,0.34916320
26,0.03427481,0.37851063
27,0.03394970,0.33683088
28,0.03350684,0.36819446
29,0.03303546,0.36798237
30,0.03282695,0.34379162
31,0.03270924,0.34540435
32,0.03290191,0.37506408
33,0.03231860,0.35146709
34,0.03170489,0.36174583
35,0.03161986,0.35968845
