epoch,train_loss,val_loss
1,0.35398193,0.16048422
2,0.14043634,0.10134082
3,0.10688554,0.09139516
4,0.09046551,0.09075626
5,0.07933281,0.08726946
6,0.07210254,0.10333393
7,0.06515565,0.09082051
8,0.05992392,0.10074580
9,0.05571560,0.08640524
10,0.05284366,0.09044874
11,0.04953330,0.09479903
12,0.04686282,0.09627353
13,0.04535476,0.08672858
14,0.04306522,0.08530717
15,0.04192903,0.08726676
16,0.04031470,0.08375297
17,0.03880082,0.07723694
18,0.03812854,0.07834594
19,0.03647939,0.08614272
20,0.03578159,0.08160315
21,0.03465949,0.08824333
22,0.03439729,0.08797330
23,0.03341635,0.07628437
24,0.03246905,0.07905980
25,0.03178718,0.08572198
26,0.03140740,0.08410759
27,0.03033025,0.08687722
28,0.03013081,0.07826887
29,0.02973296,0.07834729
30,0.02900995,0.08319217
31,0.02832603,0.07374885
32,0.02800347,0.08618730
33,0.02803592,0.08279600
34,0.02711975,0.08045315
35,0.02704498,0.08497758
36,0.02703018,0.08832200
37,0.02632487,0.07623300
38,0.02608234,0.07803687
39,0.02550043,0.08204927
40,0.02527316,0.08541031
41,0.02469149,0.08336976
