epoch,train_loss,val_loss
1,1.15987368,0.55114180
2,0.53711021,0.33747804
3,0.39356751,0.26299018
4,0.34296588,0.23747083
5,0.31944517,0.22656487
6,0.30393321,0.23082810
7,0.29049513,0.22594887
8,0.28045996,0.21730050
9,0.27176817,0.21223796
10,0.26396712,0.21456969
11,0.25539083,0.20787022
12,0.25071400,0.21107003
13,0.24437267,0.21777284
14,0.24092819,0.21121005
15,0.23614285,0.21245369
16,0.23190154,0.22178502
17,0.22970164,0.21746562
18,0.22540099,0.22778038
19,0.22304081,0.22469449
20,0.21930341,0.22072806
21,0.21887071,0.21866442
