INFO: Loading pre-split datasets...
INFO: Starting TRANSFORMER training for 150 epochs on cuda...
INFO: Epoch 001: train_loss=0.877391, val_loss=1.083229 (New Best)
INFO: Epoch 002: train_loss=0.428271, val_loss=0.843189 (New Best)
INFO: Epoch 003: train_loss=0.277786, val_loss=0.686666 (New Best)
INFO: Epoch 004: train_loss=0.181946, val_loss=0.787334
INFO: Epoch 005: train_loss=0.184989, val_loss=0.703537
INFO: Epoch 006: train_loss=0.127305, val_loss=0.707109
INFO: Epoch 007: train_loss=0.122672, val_loss=0.687588
INFO: Epoch 008: train_loss=0.108436, val_loss=0.655308 (New Best)
INFO: Epoch 009: train_loss=0.105931, val_loss=0.715110
INFO: Epoch 010: train_loss=0.103932, val_loss=0.644142 (New Best)
INFO: Epoch 011: train_loss=0.086732, val_loss=0.673825
INFO: Epoch 012: train_loss=0.094116, val_loss=0.666551
INFO: Epoch 013: train_loss=0.078211, val_loss=0.632172 (New Best)
INFO: Epoch 014: train_loss=0.099601, val_loss=0.805241
INFO: Epoch 015: train_loss=0.095230, val_loss=0.590168 (New Best)
INFO: Epoch 016: train_loss=0.096729, val_loss=0.692052
INFO: Epoch 017: train_loss=0.117548, val_loss=0.617464
INFO: Epoch 018: train_loss=0.099127, val_loss=0.629989
INFO: Epoch 019: train_loss=0.089119, val_loss=0.631123
INFO: Epoch 020: train_loss=0.089729, val_loss=0.563027 (New Best)
INFO: Epoch 021: train_loss=0.088844, val_loss=0.741856
INFO: Epoch 022: train_loss=0.088656, val_loss=0.580772
INFO: Epoch 023: train_loss=0.067002, val_loss=0.635939
INFO: Epoch 024: train_loss=0.061437, val_loss=0.608228
INFO: Epoch 025: train_loss=0.065196, val_loss=0.657651
INFO: Epoch 026: train_loss=0.065190, val_loss=0.566500
INFO: Epoch 027: train_loss=0.069554, val_loss=0.690187
INFO: Epoch 028: train_loss=0.061147, val_loss=0.516280 (New Best)
INFO: Epoch 029: train_loss=0.060889, val_loss=0.659094
INFO: Epoch 030: train_loss=0.057151, val_loss=0.567181
INFO: Epoch 031: train_loss=0.065169, val_loss=0.603170
INFO: Epoch 032: train_loss=0.063401, val_loss=0.677860
INFO: Epoch 033: train_loss=0.060719, val_loss=0.558590
INFO: Epoch 034: train_loss=0.079841, val_loss=0.702447
INFO: Epoch 035: train_loss=0.069826, val_loss=0.477495 (New Best)
INFO: Epoch 036: train_loss=0.077229, val_loss=0.611550
INFO: Epoch 037: train_loss=0.082957, val_loss=0.620996
INFO: Epoch 038: train_loss=0.068592, val_loss=0.522582
INFO: Epoch 039: train_loss=0.091188, val_loss=0.728209
INFO: Epoch 040: train_loss=0.091411, val_loss=0.583366
INFO: Epoch 041: train_loss=0.071197, val_loss=0.733566
INFO: Epoch 042: train_loss=0.078245, val_loss=0.531289
INFO: Epoch 043: train_loss=0.059284, val_loss=0.724669
INFO: Epoch 044: train_loss=0.061007, val_loss=0.521652
INFO: Epoch 045: train_loss=0.073385, val_loss=0.720372
INFO: Epoch 046: train_loss=0.068526, val_loss=0.622085
INFO: Epoch 047: train_loss=0.072960, val_loss=0.651951
INFO: Epoch 048: train_loss=0.068150, val_loss=0.672265
INFO: Epoch 049: train_loss=0.062078, val_loss=0.598339
INFO: Epoch 050: train_loss=0.059405, val_loss=0.758650
INFO: Early stopping triggered at epoch 50
WARNING: ONNX export skipped: onnxscript not installed
INFO: Training completed successfully! Output saved to: /home/amoris/dbps/data-analysis-on-DBPs/outputs/transformer_regressor/20260413_011640
