trial_number,value,batch_size,d_conv,d_model,d_state,dropout,expand,history_length,learning_rate,n_layers,weight_decay
0,0.3518757350799261,285,8,500,52,0.18510760878954233,4,161,0.0014889011773611535,7,0.0016664932632375609
1,0.3677545056241905,378,3,73,34,0.499811225394828,2,119,0.0007160216465750637,12,0.0024144862411165885
2,0.3704278353031281,300,6,279,55,0.16579468974877065,2,158,0.0010259907759202457,10,0.00083463680422764
3,0.37768279227891066,263,5,492,15,0.2376565364370976,3,43,0.0008005326179832648,2,0.002168072617243983
4,0.39378931838449094,141,4,391,13,0.39340103357717365,4,111,0.0006396161787435757,6,0.0019449187084788363
5,0.4028959273562883,353,4,102,11,0.10312574114836467,4,110,0.0005023967521797391,11,0.001531771622070968
6,0.37257990345430836,166,2,392,45,0.14785327879496685,3,89,0.000976706144493597,5,0.008115762750478414
7,0.38713295322842894,191,3,286,33,0.15870756554091928,2,145,0.0012829072443294829,11,0.006071772901169998
8,0.43211095370035413,350,5,138,56,0.2533169946070308,2,99,0.00042889021375335873,6,0.002841445973818233
9,0.34899858236312864,212,2,295,16,0.2980253052222222,4,170,0.0011933126846553192,8,0.0003897206079612745
10,0.3194377985393372,208,8,196,24,0.33709054266005967,4,191,0.0019236140907788744,9,0.00020469604552665168
11,0.4308115462781532,214,8,204,23,0.3442227799637236,4,190,0.0019881071548155074,9,0.00019974905795903456
12,0.42876907994681357,227,7,201,24,0.3147302779260026,3,187,0.0019828571216035117,8,0.0001991104548373197
13,0.36746731075769457,241,2,210,22,0.28283682234348373,4,171,0.0014150563374609583,4,0.00048370013546702485
14,0.3787080589786441,185,6,355,29,0.42405723437201115,3,142,0.0012385314578607746,9,0.00012166486072109667
15,0.4507259320064617,142,7,331,42,0.22145556602992708,4,63,0.0016123874613681091,8,0.0004555398537025706
16,0.3862055241159378,205,6,243,64,0.348126410466586,3,176,0.001062391737754885,9,0.0003699472693373455
17,0.5016322751580966,260,4,146,8,0.4981435555375374,4,134,0.0017408518205365348,3,0.00010744572321899248
18,0.3449239694373652,301,3,159,21,0.27882705328928736,4,192,0.00121245844169147,7,0.00023312163560068746
19,0.3604280576109886,309,3,161,28,0.39918826006767416,4,191,0.0008241858766657255,6,0.00019530295457727815
20,0.43195766317566164,327,7,69,40,0.20576413472991778,3,74,0.001683613851013671,7,0.0007385960676292197
21,0.3603203985615382,242,2,256,19,0.28633442032529327,4,170,0.0011744758808668117,8,0.00030930792498810476
22,0.3530183678595864,272,3,327,17,0.27105899092356966,4,153,0.0013359082756275785,10,0.0002642198819617799
23,0.3653917355373645,171,2,176,28,0.32418691339954425,4,180,0.0011212895316395737,8,0.0005419379730468707
24,0.3504233005892188,225,4,235,18,0.3072491658180285,4,167,0.0009083148473380329,5,0.00016557072408423425
25,0.366599285134721,286,3,118,8,0.38365832624039165,4,127,0.0014579236170850413,7,0.00027225321876201347
26,0.4381408645703008,240,2,175,21,0.20693149585404663,3,180,0.0017699882316879756,9,0.0006549225248821709
27,0.3716071420094311,199,5,222,27,0.2434010002295853,4,192,0.0006188051184963554,10,0.0010314879674682238
28,0.36152205526604686,165,8,313,13,0.35183167699988493,3,149,0.000946221895576499,5,0.0001263667647841119
29,0.3726803067732941,324,8,481,25,0.4441895127356267,4,161,0.0015579767488385435,7,0.001157842533949284
30,0.35513432057537914,278,3,448,33,0.12475297911163004,4,162,0.0011674457491749472,7,0.0003617882316158084
31,0.3045169989198692,221,4,247,16,0.3002430819332494,4,168,0.0008240374092544818,5,0.00015876196066227558
32,0.3557427256651547,222,4,259,18,0.28370194093859497,4,181,0.0007941036544491022,4,0.00015284683330645953
33,0.3646437379677989,180,3,302,15,0.25586960721411794,4,174,0.0007504826457203578,6,0.00025271092835952213
34,0.38760714533721435,205,5,186,37,0.19152773849925697,4,135,0.0006327728762560826,4,0.0001438688841103624
35,0.3861105442328982,251,4,272,11,0.3092766447853628,4,159,0.0008801514954484752,12,0.00020954430463329834
36,0.41160275907870825,290,3,115,31,0.22320391960742084,4,184,0.0007029927059438479,2,0.00010072877301275084
37,0.3729376256069303,151,2,363,20,0.36559809225649936,4,167,0.0005657451975666905,8,0.0003790737504959566
38,0.3921915876579396,232,6,96,13,0.271549411030646,2,36,0.0010522819487905483,11,0.00024773336870042423
39,0.3296365860058711,381,4,283,16,0.32198867098845807,3,120,0.0013807998120339822,6,0.00016032224853634834
40,0.3559598785799903,358,5,141,26,0.462012994907615,3,117,0.0014235382193476974,6,0.0036096193025019012
