trial_number,value,state,parameters.depth,parameters.learning_rate,parameters.l2_leaf_reg,parameters.subsample,parameters.random_strength,parameters.bagging_temperature
0,0.34265128860961136,COMPLETE,7,0.026251660632419304,5.395030966670228,0.8146346649119967,0.1432249371823025,0.0029375384576328283
1,0.34265128860961136,COMPLETE,4,0.02088008150108932,3.9913058785616786,0.8614622804552621,0.10485387725194621,0.8123245085588685
2,0.34265128860961136,COMPLETE,11,0.003554349809718926,1.5199348301309807,0.6589300468174546,0.20148477884158655,0.03752055855124281
3,0.34265128860961136,COMPLETE,7,0.004400905486948216,4.091220574443785,0.6443143277487627,0.19594972058679164,0.01256277350380703
4,0.34265128860961136,COMPLETE,8,0.01676751025700418,1.5837031559118748,0.7802495332778758,0.3912141628549695,0.001378323745500718
5,0.34265128860961136,COMPLETE,9,0.0031738173285430025,1.1615865989246452,0.974227356206172,0.9239150319627247,0.2661901888489056
6,0.34265128860961136,COMPLETE,6,0.0026055614206180557,4.833180632488465,0.7512742969698781,0.1324458134009935,0.030586566669785254
7,0.34265128860961136,COMPLETE,4,0.02346787531982524,1.8145961353490248,0.8416489593130831,0.2049798052095018,0.03632486956676605
8,0.34265128860961136,COMPLETE,8,0.0032994055834500127,9.32362135178148,0.8914838870924939,0.8699593128513319,0.4835952776465949
9,0.34265128860961136,COMPLETE,9,0.02427941539110875,1.2260057359187524,0.663177530725445,0.110975545611031,0.009462175356461485
10,0.34265128860961136,COMPLETE,12,0.009084262020212302,8.226971121989857,0.7283248086821539,0.4366047964488606,0.0013066991237906968
11,0.34265128860961136,COMPLETE,4,0.012390853596841214,2.866954762171869,0.850665220623163,0.10205207081423714,0.1746556188577526
12,0.34265128860961136,COMPLETE,6,0.029598830203571392,5.583719279906992,0.9469261048494327,0.15283120666335623,0.9871884000666347
13,0.34265128860961136,COMPLETE,5,0.01519511786659254,2.7706210459020895,0.8084899578863203,0.29424237604224057,0.0029127158620655667
14,0.34265128860961136,COMPLETE,6,0.0062859108357264885,6.203576039571514,0.9166838941042798,0.15400422353299886,0.10776106353790375
15,0.34265128860961136,COMPLETE,10,0.019031811629225667,3.6124505912173643,0.7103787086657356,0.2932055560435719,0.0046980883290308004
16,0.34265128860961136,COMPLETE,5,0.009677619639604404,2.2647507107408544,0.8731595708416726,0.6034885268074491,0.08828968259855263
17,0.34265128860961136,COMPLETE,7,0.005908045074040207,6.614122789013443,0.7990514227838139,0.13902950834368047,0.007306811411969751
18,0.34265128860961136,COMPLETE,4,0.011776544104135712,4.436121037624603,0.9895451014713017,0.10130622213877728,0.018547695270324266
19,0.34265128860961136,COMPLETE,5,0.02691395062260337,3.352103274871935,0.6947769036015055,0.24614449441940217,0.003188336058002491
20,0.34265128860961136,COMPLETE,7,0.01858558175355504,7.481492132008956,0.8331668003765056,0.17268004759126687,0.7406255152089561
21,0.34265128860961136,COMPLETE,12,0.0020713520453759524,2.125644276153822,0.6153578765265498,0.21868521336234129,0.05450736239932122
22,0.34265128860961136,COMPLETE,11,0.0049206271632147875,5.407517822026425,0.7589245742464519,0.13125143787487908,0.38017924203546927
23,0.34265128860961136,COMPLETE,10,0.007394419208777398,2.5078101068477974,0.6013063243711256,0.17717893343291366,0.025381733087190356
24,0.34265128860961136,COMPLETE,11,0.021138507055913646,3.77313743852381,0.6659612972310386,0.12406605461804056,0.05912940625471467
25,0.34265128860961136,COMPLETE,8,0.013632386943043777,1.40365817595636,0.8100459488047913,0.24726342137088386,0.17011101162395129
26,0.34265128860961136,COMPLETE,9,0.004245574526547949,4.879472086775944,0.9209987176746832,0.1697006737705859,0.00224114500414668
27,0.34265128860961136,COMPLETE,10,0.010546692339364002,1.894855857266803,0.7334436967018846,0.11946603705444343,0.005889724968260644
28,0.34265128860961136,COMPLETE,11,0.00835936897644757,3.0391506122172434,0.8748009520230682,0.36549215511215566,0.015870677543007417
29,0.34265128860961136,COMPLETE,7,0.02979514766356025,4.199464902627378,0.6353158931696515,0.19762434053115205,0.011308775876634675
30,0.34265128860961136,COMPLETE,5,0.02164950784011079,7.122555520505145,0.7792364857369306,0.22718704613658486,0.17916977691439218
31,0.34265128860961136,COMPLETE,7,0.00446189933780395,3.835738807994248,0.6442457568274759,0.1472405337917578,0.001721497633399371
32,0.34265128860961136,COMPLETE,8,0.0034869253419949897,5.549013056755325,0.6959680166204286,0.18464767473379187,0.005003283856071466
33,0.34265128860961136,COMPLETE,6,0.0025288054957399333,1.002196594318715,0.6738768268086256,0.2627600797802026,0.0011584938553987744
34,0.34265128860961136,COMPLETE,9,0.005770230988301295,4.546807394299496,0.6252552940505811,0.3381711770872595,0.013591791352766126
35,0.34265128860961136,COMPLETE,7,0.0027923727904606366,1.6717893863297209,0.8295095877941341,0.4824674369514353,0.023260871915735434
36,0.34265128860961136,COMPLETE,8,0.003918390988052442,3.4096152840406235,0.7692207261092161,0.11341661559945004,0.008978278053987846
37,0.34265128860961136,COMPLETE,6,0.015425382774578418,4.117091858330408,0.6451309874994912,0.16060042529528892,0.05275721649742435
38,0.34265128860961136,COMPLETE,4,0.007252025849778226,5.054618116858205,0.7290963807250609,0.1891822646365079,0.03540623233314484
39,0.34265128860961136,COMPLETE,8,0.0030917488459020217,8.914498526216983,0.8526567558450661,0.12962525563466754,0.003960447231281501
40,0.34265128860961136,COMPLETE,9,0.0050258934689766865,2.6458598869360723,0.6886065983502755,0.2097029623877099,0.30223170511401365
41,0.34265128860961136,COMPLETE,8,0.016413206630306036,1.3840658115694027,0.7852178884840473,0.44728619494634014,0.001887638939214043
42,0.34265128860961136,COMPLETE,6,0.02536570125150252,1.6353888363276918,0.7438219810563417,0.5561596206876134,0.001009243462244264
43,0.34265128860961136,COMPLETE,7,0.01826309413287191,1.2604669529338886,0.8255312611679854,0.3789203258086697,0.002294203344194438
44,0.34265128860961136,COMPLETE,9,0.021964124796726818,1.0475423910405743,0.9017115416315596,0.29594703818636164,0.0029694232541793405
45,0.34265128860961136,COMPLETE,10,0.027014127500547404,6.276381939989347,0.9559140438549709,0.7984379300699754,0.0014088302106541623
46,0.34265128860961136,COMPLETE,12,0.013294491768956538,2.051471854604656,0.7142130101412721,0.10885708275024646,0.6262360207875588
47,0.34265128860961136,COMPLETE,4,0.003755328052657254,2.442791596568024,0.8531912852721003,0.1432000083316109,0.006864592249200427
48,0.34265128860961136,COMPLETE,5,0.024095612029969894,1.5886843622506974,0.8008960153996527,0.2673410285979383,0.0932469696600174
49,0.34265128860961136,COMPLETE,7,0.019628367100435293,1.4409913324161163,0.8645222702076837,0.15564834755502635,0.003591622262507796
50,0.34265128860961136,COMPLETE,9,0.002214138374390863,9.968755229403923,0.7554227189952285,0.10194141510102249,0.9796857528563702
51,0.34265128860961136,COMPLETE,11,0.0030879279821794184,1.1351771173300749,0.9795777488600487,0.9590782963407274,0.2596844224224549
52,0.34265128860961136,COMPLETE,10,0.0024870232109321004,1.2567758043007609,0.9420106088772876,0.8061918614505303,0.5134244406034065
53,0.34265128860961136,COMPLETE,8,0.002802668289622096,1.113915704355043,0.8893768648535251,0.6268968424811416,0.13533797276200787
54,0.34265128860961136,COMPLETE,9,0.005006945421919999,3.3452682280376456,0.8161783526992761,0.7400972891450575,0.27809817146940724
55,0.34265128860961136,COMPLETE,12,0.0033902035361352517,3.011935041656022,0.7880148949757162,0.6817341049378781,0.07259502038756953
56,0.34265128860961136,COMPLETE,7,0.006614944372060435,5.910044756318182,0.9253147895385073,0.5251565194656226,0.4072575175640783
57,0.34265128860961136,COMPLETE,8,0.01672021116932245,1.8301865121230045,0.9982481071766587,0.22590924184871336,0.8221211659025205
58,0.34265128860961136,COMPLETE,11,0.01018403289778868,5.015102535735907,0.711141000234102,0.13899402693600776,0.041565010963973484
59,0.34265128860961136,COMPLETE,5,0.02695931369174271,4.481256005646642,0.600918529687987,0.11994649775794526,0.025021832090335174
60,0.34265128860961136,COMPLETE,6,0.011270163801085828,3.9507990157093857,0.6541942525552791,0.1129853391600635,0.0015661892422826876
61,0.34265128860961136,COMPLETE,6,0.0023980328867857746,3.5982111916899058,0.7673328714807238,0.1616128355896036,0.009967885410720792
62,0.34265128860961136,COMPLETE,4,0.0028479559320038978,4.720763894007175,0.676569251916304,0.13202684908152612,0.017516418129899767
63,0.34265128860961136,COMPLETE,7,0.0020528628993724657,5.231107712921783,0.6158566808115571,0.170859115726658,0.02998850533444769
64,0.34265128860961136,COMPLETE,6,0.004283286002062475,4.240096542233851,0.8424508187081999,0.381487541528699,0.20717894828819203
65,0.34265128860961136,COMPLETE,8,0.004642399890127925,7.0242665988769994,0.7450304128789398,0.20199634032320934,0.012559546063698595
66,0.34265128860961136,COMPLETE,7,0.003831675126041066,5.894455631719628,0.7952060744909223,0.9806679930621642,0.04336036909736345
67,0.34265128860961136,COMPLETE,6,0.003159163526770313,1.4985689110904437,0.8193071739125537,0.10907104448085196,0.12707723644668542
68,0.34265128860961136,COMPLETE,7,0.023032192926614736,1.333935832175173,0.6286270028725827,0.23825231552986892,0.002073782467989907
69,0.34265128860961136,COMPLETE,8,0.008922232377858679,7.872091875639019,0.8965409846402947,0.12760678122551156,0.06677071935035714
70,0.34265128860961136,COMPLETE,10,0.0055590897447638276,1.16787766128306,0.6593782667992639,0.3287687991988063,0.0024668210743113697
71,0.34265128860961136,COMPLETE,4,0.019599185029992822,1.8844969285027544,0.875656447956947,0.18389219005070515,0.02022967084135092
72,0.34265128860961136,COMPLETE,5,0.02945104012833249,1.7858817760436325,0.8378879220947323,0.2645655972737029,0.031517258009248705
73,0.34265128860961136,COMPLETE,4,0.021031416790753304,1.527012180907613,0.8018924189872795,0.14852370493182923,0.008137150847831846
74,0.34265128860961136,COMPLETE,4,0.025265909970436047,2.247741259651164,0.780060713298295,0.21349192428352848,0.04692587892143978
75,0.34265128860961136,COMPLETE,5,0.004042924899763766,2.07743904765495,0.9680274033615585,0.1972622832342342,0.014679884323328476
76,0.34265128860961136,COMPLETE,5,0.0035785063909951104,1.3343350487832712,0.8640638237889058,0.13568728718789688,0.0055817398426247665
77,0.34265128860961136,COMPLETE,9,0.002670449758907223,1.7336522411892048,0.64050763335461,0.295534912768894,0.004357462705048131
78,0.34265128860961136,COMPLETE,8,0.0022726125201376363,4.044152430553244,0.7613031383009621,0.12130474558572675,0.022095740252217597
79,0.34265128860961136,COMPLETE,6,0.017901763363121225,3.6243054316758836,0.6991294894865442,0.4177190363497077,0.0012177156804137038
80,0.34265128860961136,COMPLETE,4,0.013961184146803049,4.548726053261354,0.7200740921836197,0.16720013758242697,0.07967831598134766
81,0.34265128860961136,COMPLETE,7,0.00339391803868985,2.6744989408181237,0.9152552777755791,0.8467969559071913,0.40033493302933226
82,0.34265128860961136,COMPLETE,9,0.003058443919267837,8.747356693390598,0.8822526348311481,0.9193726118752205,0.5332724017204008
83,0.34265128860961136,COMPLETE,7,0.0233267515491839,5.393772758322327,0.8509918225160576,0.10020895032391422,0.4895695065542987
84,0.34265128860961136,COMPLETE,8,0.0026096061726375605,3.094732754909878,0.827042174103513,0.8592489968494922,0.7022667554905689
85,0.34265128860961136,COMPLETE,9,0.0029237956800161643,6.62471627579392,0.8635971678912107,0.18061218827323616,0.9753367809530109
86,0.34265128860961136,COMPLETE,10,0.003599517512618689,1.9685969227038513,0.9057424553419035,0.25003977085981566,0.3353046782057551
87,0.34265128860961136,COMPLETE,7,0.0031948125521732837,3.2943060685105654,0.8131428496011093,0.7112847698610396,0.05922390333002591
88,0.34265128860961136,COMPLETE,8,0.021526010701244064,9.912816850994556,0.6854353710165765,0.15691047978550285,0.6162642952781463
89,0.34265128860961136,COMPLETE,5,0.028411027595685666,4.773742342031782,0.8429556439409569,0.627051532483662,0.22356366287262142
90,0.34265128860961136,COMPLETE,12,0.025525755978373275,5.723464660270264,0.7904072696201725,0.2833799384456566,0.0026934783452166352
91,0.34265128860961136,COMPLETE,9,0.02427532590593847,1.2170068967979175,0.6500238676898585,0.11289884716377657,0.037086113247538806
92,0.34265128860961136,COMPLETE,11,0.026992409267731082,1.0439075849912633,0.6683489692794006,0.14598571888675024,0.007137675526412129
93,0.34265128860961136,COMPLETE,8,0.021191937353039012,1.3175826035959424,0.6131488510888258,0.11847802273004288,0.0036729887843345776
94,0.34265128860961136,COMPLETE,9,0.02020832254705016,1.4290427442873073,0.936163777267068,0.12577217863713516,0.8046928221687704
95,0.34265128860961136,COMPLETE,10,0.018454213584279226,1.5536565968220337,0.6346874712663113,0.10462086347589088,0.02666494379731538
96,0.34265128860961136,COMPLETE,8,0.017325000820665067,4.278337130824237,0.8081542967504677,0.10650184825629706,0.010636753593418776
97,0.34265128860961136,COMPLETE,7,0.022716798821001225,1.6863260137462501,0.7491759507151386,0.9133460098205586,0.0017318034764537778
98,0.34265128860961136,COMPLETE,10,0.014919921624426145,2.930980427866248,0.6607962061338408,0.2273318172990869,0.017823325789063496
99,0.34265128860961136,COMPLETE,4,0.004186247581782714,1.1948436332564425,0.8229172551357271,0.19260507178392933,0.09877113708613659
100,0.34265128860961136,COMPLETE,6,0.0032957002097185085,1.1103045345591454,0.7369903210655416,0.1404341895660272,0.027507190870014225
101,0.34265128860961136,COMPLETE,11,0.006975004094523534,9.478903845819504,0.7653746173674779,0.4127713642715736,0.0016861037262969345
102,0.34265128860961136,COMPLETE,12,0.009199430119224734,8.927347476069514,0.7554638058172713,0.4381432335409452,0.0013534523233550645
103,0.34265128860961136,COMPLETE,12,0.005403798369294989,8.517270892878633,0.6832577597940379,0.5210590169370551,0.0012408391189810287
104,0.34265128860961136,COMPLETE,11,0.004589031565446306,6.380179174855052,0.7288502255621528,0.4998126174120651,0.0010940723479766624
105,0.34265128860961136,COMPLETE,8,0.0128926306114164,7.783147091974867,0.8332189728542949,0.30880521126317445,0.0030135696293233662
106,0.34265128860961136,COMPLETE,11,0.008333142616243367,3.727464123293575,0.9518279336950634,0.35566252429887774,0.005734067296314847
107,0.34265128860961136,COMPLETE,5,0.012001835053519613,1.2657663667956405,0.7011421015660305,0.2103648385454741,0.008849819579186851
108,0.34265128860961136,COMPLETE,7,0.002370813516927842,8.21192277199216,0.8571090293534743,0.1333770293657263,0.012763549397586425
109,0.34265128860961136,COMPLETE,12,0.02816019206539255,1.4749839619445642,0.7798767701189617,0.11721505566502263,0.1443041450168541
110,0.34265128860961136,COMPLETE,8,0.0062238485731143794,1.5990812718797536,0.9792830853145655,0.7593076937254745,0.0361746496219056
111,0.34265128860961136,COMPLETE,4,0.010341256192927173,7.160586921132543,0.8733513793809796,0.10558237805236559,0.17099972956662177
112,0.34265128860961136,COMPLETE,4,0.01590038825507974,4.954151309518543,0.849309264679205,0.10928091381485032,0.050908716881962836
113,0.34265128860961136,COMPLETE,4,0.0029269784508325837,3.920776175265124,0.8848101140799003,0.11454557803861055,0.0014856133051033209
114,0.34265128860961136,COMPLETE,4,0.0037149846146227673,9.276358363644308,0.7751106701403989,0.12851395889650183,0.4489424847147476
115,0.34265128860961136,COMPLETE,5,0.007796797526523688,2.5308997848251678,0.6765906956396386,0.5760744921014419,0.31342354754153184
116,0.34265128860961136,COMPLETE,8,0.01106847596046455,1.3816403916014133,0.7986515002029514,0.2793369380247325,0.24292518784474318
117,0.34265128860961136,COMPLETE,9,0.02478452471905812,1.0035342371683702,0.6221929945095084,0.17603292868098477,0.5887917228981497
118,0.34265128860961136,COMPLETE,4,0.0026980809490573213,2.2367004094124288,0.836069981596932,0.10199980088597975,0.0021103062664657446
119,0.34265128860961136,COMPLETE,6,0.014245479344888684,4.342120192363738,0.6402880390918662,0.16364584340524407,0.11595687521149169
120,0.34265128860961136,COMPLETE,9,0.019957074699280354,4.563048372981356,0.896287941018023,0.12381258565187268,0.36201213138961846
121,0.34265128860961136,COMPLETE,6,0.0262617003802367,6.667903295551272,0.967200497318581,0.23784640872405152,0.8516920009200304
122,0.34265128860961136,COMPLETE,5,0.02894185478657595,5.234163723516032,0.9950890725036344,0.47241495743350137,0.7316525613088265
123,0.34265128860961136,COMPLETE,7,0.022626762094198217,5.655817962524955,0.9229749816841726,0.151662092265077,0.9234966162280074
124,0.34265128860961136,COMPLETE,7,0.012516512575121805,4.858197609359358,0.6518126392115308,0.20451063355056087,0.19393091153208952
125,0.34265128860961136,COMPLETE,6,0.02428358502451942,6.142774057892768,0.9353135046680101,0.1391834938595154,0.6619789718418706
126,0.34265128860961136,COMPLETE,5,0.027950095374354965,3.495542616293836,0.8617476966293139,0.11214198052002478,0.5489690601522096
127,0.34265128860961136,COMPLETE,10,0.009880648847572601,2.8229888330686483,0.9090805846053623,0.39716681786419694,0.004604637015492237
128,0.34265128860961136,COMPLETE,4,0.0021763527327652173,4.062504447820739,0.9813487797598138,0.18684429128838576,0.0205923133844559
129,0.34265128860961136,COMPLETE,6,0.0187658440138489,5.19110482285734,0.8457484284138581,0.33073908018943277,0.0010296450031875035
130,0.34265128860961136,COMPLETE,7,0.029947687248444918,3.2033858463674325,0.8081651616998003,0.8702130114909258,0.45227940451214227
131,0.34265128860961136,COMPLETE,4,0.01514143228731933,2.389406980840767,0.7843682573656768,0.15349725152295216,0.015140520293709343
132,0.34265128860961136,COMPLETE,5,0.025873933855617988,1.6637974729349698,0.8183643656177798,0.1717727586428129,0.006613408435000405
133,0.34265128860961136,COMPLETE,5,0.0034578287649932693,2.764954174447818,0.7939440426818051,0.342825740172713,0.004218562557684962
134,0.34265128860961136,COMPLETE,11,0.017387772157891265,1.8953093380780814,0.6657130940812804,0.9353253934935979,0.0034218344511812555
135,0.34265128860961136,COMPLETE,8,0.0029750061176152605,1.0848838007775452,0.9525007471937089,0.2205213715467704,0.001931653581785369
136,0.34265128860961136,COMPLETE,4,0.004005541505598198,2.9294112141357576,0.8277695165419514,0.14508295771520596,0.032824335148166274
137,0.34265128860961136,COMPLETE,6,0.01649920924339792,5.527734445448664,0.7717713046472489,0.12198732388436061,0.005250889048670457
138,0.34265128860961136,COMPLETE,5,0.02086383066392779,1.2595581131179647,0.8708416463319212,0.2508338300153978,0.0024225936125006333
139,0.34265128860961136,COMPLETE,8,0.014352441138199083,1.7813102606073774,0.7385142792383937,0.8056510626170565,0.04085686907003795
140,0.34265128860961136,COMPLETE,12,0.02366244852769121,4.682986125372597,0.8397997565397969,0.9911554399113339,0.06190517732670534
141,0.34265128860961136,COMPLETE,6,0.0033301183421262062,5.4796396808247945,0.9614423836300076,0.134618074524161,0.023528349743572253
142,0.34265128860961136,COMPLETE,6,0.005039792827481927,5.967206521922053,0.9145032979538822,0.45333315642694266,0.15299580991856698
143,0.34265128860961136,COMPLETE,7,0.02716701586469429,7.543902793233182,0.9360561617959154,0.16066885555058616,0.2736680157894519
144,0.34265128860961136,COMPLETE,4,0.00614930885126743,8.154253308984106,0.7246959514879084,0.10009539737560011,0.07818609832358257
145,0.34265128860961136,COMPLETE,6,0.004330381566526557,6.834948787645468,0.8974297990663409,0.31708329727619056,0.19832941581710634
146,0.34265128860961136,COMPLETE,5,0.02245987309581767,5.1623100943961715,0.94363260593213,0.1478137205289326,0.0013205807055706987
147,0.34265128860961136,COMPLETE,7,0.00919884679665347,3.7704663382345602,0.8810318823793527,0.19490543738856697,0.11010993163124097
148,0.34265128860961136,COMPLETE,8,0.007804076260085962,6.357958570048061,0.750517549209766,0.17896628506809767,0.009618027985706623
149,0.34265128860961136,COMPLETE,4,0.003806192411577856,1.3222455663390154,0.6319485152165734,0.6388499927714977,0.0028790477243302946
150,0.34265128860961136,COMPLETE,6,0.007216655228488504,1.143144551871539,0.8039711686097,0.11589971836772515,0.8457716189822216
151,0.34265128860961136,COMPLETE,10,0.018633936407116712,3.271023150429558,0.7013749688612544,0.27593875105043464,0.006156581753592214
152,0.34265128860961136,COMPLETE,9,0.002493660982967264,3.4797775777785684,0.7176348041458568,0.3652985682128179,0.23078835369470704
153,0.34265128860961136,COMPLETE,10,0.019434520684998367,3.608334236649479,0.6911191278197371,0.10663399319353417,0.011128099661521538
154,0.34265128860961136,COMPLETE,10,0.0031572245996508907,4.160129914297796,0.7603202889717564,0.2951956170159413,0.007648575717095393
155,0.34265128860961136,COMPLETE,11,0.01740540446145803,4.491939201858088,0.6430344730303831,0.25970155084673274,0.003715711082355386
156,0.34265128860961136,COMPLETE,11,0.016302772816085456,3.8794949402186067,0.8574987985088657,0.23733908914017393,0.0016934777491769582
157,0.34265128860961136,COMPLETE,9,0.002793839337274104,3.109520648004893,0.7072338124750969,0.31543718164536066,0.052232121666268734
158,0.34265128860961136,COMPLETE,8,0.01101257782465801,1.5171798412573427,0.6579932950778287,0.1682659575626585,0.7588589151778596
159,0.34265128860961136,COMPLETE,9,0.013234511614244233,1.2004814276526878,0.890043999234599,0.1261311265274942,0.002626957512906485
160,0.34265128860961136,COMPLETE,4,0.020612810144371815,5.856205802693733,0.7274507306249521,0.20488290914996346,0.01716774655983156
161,0.34265128860961136,COMPLETE,5,0.009456690556146844,2.1594430831163014,0.8677500790971043,0.5794109279856874,0.09759640052789072
162,0.34265128860961136,COMPLETE,6,0.008419692363471086,2.516753416472786,0.7404188370511636,0.7343152081393872,0.1595894776859064
163,0.34265128860961136,COMPLETE,5,0.011710902832523438,1.9642556777554614,0.8770924225115123,0.3908062840813034,0.08542704641331239
164,0.34265128860961136,COMPLETE,12,0.0066606803660061815,2.396419925214899,0.6489197627663681,0.8738572977087345,0.12583255583809994
165,0.34265128860961136,COMPLETE,4,0.02155910961054784,2.7445140164303403,0.8477659607883099,0.6640339615335764,0.07048015553843937
166,0.34265128860961136,COMPLETE,10,0.015486952891272119,1.4087614810064117,0.8907579536523584,0.15672775586079432,0.0032619971210230336
167,0.34265128860961136,COMPLETE,6,0.008576020888925402,2.612400060823909,0.9287285737815224,0.5266387704480731,0.028395427426687152
168,0.34265128860961136,COMPLETE,4,0.025414865749341795,1.7048091485171226,0.8309894933115266,0.4265498632012142,0.04496581879040022
169,0.34265128860961136,COMPLETE,7,0.010100518592097483,2.2774179344138075,0.6697618875380278,0.10973357282378264,0.012798450380097276
170,0.34265128860961136,COMPLETE,5,0.01907780265847108,9.589788073837562,0.9745716136114573,0.13412703982040272,0.00487497970201088
171,0.34265128860961136,COMPLETE,7,0.00557278144744933,7.378894008011967,0.8123976096462038,0.15141296349050257,0.007742106866999144
172,0.34265128860961136,COMPLETE,7,0.0036030027085263466,3.398800908440371,0.7773674942448009,0.13782145105571106,0.008240255118682045
173,0.34265128860961136,COMPLETE,8,0.005341894440150105,6.066536034980399,0.7866078834082675,0.1435824549380492,0.006327409984373821
174,0.34265128860961136,COMPLETE,7,0.0059876999922877355,6.4562229433537,0.8008758134768963,0.34847800563912723,0.009712679187246229
175,0.34265128860961136,COMPLETE,8,0.004754920927659976,1.6120874146252737,0.8200143422200963,0.1306834345207349,0.9616938700498486
176,0.34265128860961136,COMPLETE,6,0.023916339296345363,8.597931330319632,0.8557770412521343,0.11810853526491127,0.2981460583720726
177,0.34265128860961136,COMPLETE,7,0.02654156442698385,5.714594303270747,0.6807421046268847,0.29956673231076186,0.037212070956483226
178,0.34265128860961136,COMPLETE,4,0.006860186738137846,5.4178067601797135,0.9116611729666108,0.776333599143524,0.10850165230181705
179,0.34265128860961136,COMPLETE,8,0.006366509578066413,2.9129264467309888,0.7936985993938858,0.10554244582301905,0.4112315058055132
180,0.34265128860961136,COMPLETE,9,0.008143458318966798,2.027455142473516,0.7673008873525738,0.8377400573273449,0.0014301048391825624
181,0.34265128860961136,COMPLETE,4,0.012118852477672951,4.305627625607812,0.9718500208888928,0.10274275621593675,0.011979444235865392
182,0.34265128860961136,COMPLETE,4,0.00982039844895409,4.903201327523917,0.9880173843175697,0.11214810959007375,0.016183341869939593
183,0.34265128860961136,COMPLETE,4,0.013595718954164428,3.975209185501354,0.9637109973423235,0.18763720689162264,0.019296467668125407
184,0.34265128860961136,COMPLETE,6,0.010580508255613926,9.192366268272472,0.9867458556847097,0.911639238430312,0.014547869014300286
185,0.34265128860961136,COMPLETE,4,0.00880055278835218,4.709658778768167,0.9925901408963216,0.10449186401825095,0.031298915509350184
186,0.34265128860961136,COMPLETE,4,0.007369776254316364,4.430279049154681,0.952265483732247,0.12169158387396074,0.0021587785220096955
187,0.34265128860961136,COMPLETE,12,0.011435158943451759,3.6971479542466943,0.9992960935498805,0.4831067068128362,0.024049739197253943
188,0.34265128860961136,COMPLETE,5,0.01778248599424109,5.046404591739104,0.8702290406968255,0.14200535437739237,0.010358771717451927
189,0.34265128860961136,COMPLETE,11,0.022382421419580852,4.131119151272858,0.8376410163756575,0.21835304567177924,0.0011141295299226747
190,0.34265128860961136,COMPLETE,7,0.004059473399198168,1.7974822575550464,0.7501099448246119,0.15716528643189254,0.13844200382059793
191,0.34265128860961136,COMPLETE,5,0.027525116795602808,3.2180298552779463,0.6603191267114538,0.10940953768508772,0.004546670209930203
