trial_number,value,state,parameters.history_length,parameters.d_model,parameters.n_layers,parameters.d_state,parameters.d_conv,parameters.expand,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
0,0.3666548976144547,COMPLETE,92,490,10,42,3,2,0.1097990803659666,350,0.0010524981804229802,0.0026070247583707684
1,0.3666548976144547,COMPLETE,35,499,11,20,3,2,0.1631759695642342,262,0.0008016348750616622,0.0003823475224675188
2,0.3666548976144547,COMPLETE,130,126,5,28,5,4,0.13790054557672565,260,0.0010378629415511854,0.0001238513729886094
3,0.3666548976144547,COMPLETE,129,140,2,62,8,4,0.1632735695468794,153,0.0012031460590105824,0.0007591104805282694
4,0.3666548976144547,COMPLETE,51,286,2,59,3,3,0.16514928287652877,261,0.0009642598360868645,0.00023426581058204064
5,0.3666548976144547,COMPLETE,188,412,12,59,6,4,0.11530645080977571,178,0.0004302020837749319,0.0004473636174621269
6,0.3666548976144547,COMPLETE,94,185,11,28,3,3,0.12545899554294088,334,0.00045099180988725826,0.009413993046829943
7,0.3666548976144547,COMPLETE,156,153,2,54,6,4,0.34601492939961226,147,0.0007122242936216836,0.0001705053926026929
8,0.3666548976144547,COMPLETE,170,343,5,11,4,2,0.3235734158528432,291,0.0016679963111991705,0.0008798929749689024
9,0.3666548976144547,COMPLETE,51,384,10,39,7,3,0.23193942064727502,237,0.00041670354819997547,0.00016435497475111326
10,0.3666548976144547,COMPLETE,92,482,8,45,2,2,0.4686525262952426,378,0.001836360481510326,0.002997858219123058
11,0.3666548976144547,COMPLETE,33,498,9,11,2,2,0.10111321706400943,383,0.0006637238661878535,0.0028085274169823596
12,0.3666548976144547,COMPLETE,80,512,12,23,4,2,0.20978648779529702,318,0.0007104244366695785,0.0022347253770215246
13,0.3666548976144547,COMPLETE,63,429,7,45,3,2,0.17033274700743942,212,0.0013556056317617431,0.006113923728375785
14,0.3666548976144547,COMPLETE,113,285,10,17,4,2,0.10213642409357111,332,0.0008017061848581429,0.0003812826535859678
15,0.3666548976144547,COMPLETE,74,447,7,36,2,3,0.2181733932083904,301,0.0006030276586813173,0.0014252739508200027
16,0.3666548976144547,COMPLETE,32,348,10,32,5,2,0.13837166320930253,227,0.0012670246011939144,0.0004371993126708942
17,0.3666548976144547,COMPLETE,107,458,9,46,3,3,0.1831238580647072,358,0.0005322413455031413,0.0015215616875758609
18,0.3666548976144547,COMPLETE,144,245,11,19,4,2,0.25457289644281816,190,0.0008832913068395195,0.005246278183119338
19,0.3666548976144547,COMPLETE,49,73,6,52,5,3,0.14781970829977192,278,0.0010443883822218653,0.0005795197175939845
20,0.3666548976144547,COMPLETE,71,393,8,40,2,2,0.11853889869221484,353,0.0016029067920909342,0.0002763933039189845
21,0.3666548976144547,COMPLETE,123,209,4,27,5,4,0.12755523244179298,274,0.0010838106649100213,0.00010663430883096109
22,0.3666548976144547,COMPLETE,142,103,5,31,7,3,0.14768180833577785,239,0.0008921516164598604,0.00011891421910659843
23,0.3666548976144547,COMPLETE,100,352,4,21,6,4,0.18177239459021924,305,0.00144336181327639,0.0002680531848842777
24,0.3666548976144547,COMPLETE,138,244,11,15,3,4,0.13935994981176647,252,0.0011466766362616333,0.0013032727152265016
25,0.3666548976144547,COMPLETE,119,470,6,25,4,2,0.11579589301316967,190,0.0007988153727102071,0.0001756246054244904
26,0.3666548976144547,COMPLETE,166,315,9,32,5,3,0.19554060366787684,262,0.0010390707360527155,0.0006316777394321944
27,0.3666548976144547,COMPLETE,85,66,12,36,3,3,0.2665058217310509,204,0.0008142984174201731,0.004000535918630264
28,0.3666548976144547,COMPLETE,60,431,3,14,8,2,0.1082532111977163,281,0.0009575494343984428,0.0018613767628339448
29,0.3666548976144547,COMPLETE,129,108,8,41,7,4,0.16105378011432328,322,0.0011613548519168247,0.0010458161549200603
30,0.3666548976144547,COMPLETE,103,165,6,50,4,4,0.13151377007154,159,0.0005857632150506085,0.0003400055531163058
31,0.3666548976144547,COMPLETE,130,129,2,63,8,4,0.15732435018947868,133,0.0012271096365153087,0.0007544158775025705
32,0.3666548976144547,COMPLETE,155,207,3,57,6,4,0.17269628767257342,167,0.0009748493955432981,0.0006362714546432985
33,0.3666548976144547,COMPLETE,189,250,3,63,3,4,0.15150781241171699,258,0.0013919215347479458,0.0004936402238072783
34,0.3666548976144547,COMPLETE,153,142,11,29,8,4,0.12263380599096235,220,0.0009414180704449191,0.0010209094362059999
35,0.3666548976144547,COMPLETE,172,177,2,57,7,4,0.19748189766565039,352,0.0008552465359480491,0.00021958338779027654
36,0.3666548976144547,COMPLETE,118,205,5,23,6,3,0.11088074212067366,241,0.001568819506969273,0.00014347636847853636
37,0.3666548976144547,COMPLETE,91,379,4,8,3,3,0.13575838173736987,301,0.0007261840934622984,0.008190532470630882
38,0.3666548976144547,COMPLETE,43,485,12,34,2,2,0.4809885474917964,201,0.0012284514037756557,0.0008183851441523227
39,0.3666548976144547,COMPLETE,132,101,7,48,5,4,0.24825573650397156,130,0.0018119315416821485,0.0002056744620160093
40,0.3666548976144547,COMPLETE,149,412,10,43,4,2,0.43260415765235777,364,0.0004738257109827193,0.00031706328336628093
41,0.3666548976144547,COMPLETE,43,512,2,60,3,3,0.16600183715481204,267,0.0011161769986489138,0.00014569301357500566
42,0.3666548976144547,COMPLETE,58,278,3,55,2,2,0.19272143777124218,286,0.00098759995038773,0.00022133033959448865
43,0.3666548976144547,COMPLETE,39,312,2,64,3,2,0.14415398583214986,248,0.0007234875210062118,0.0004512954329136521
44,0.3666548976144547,COMPLETE,50,128,5,25,2,3,0.3033682186830787,226,0.001283575691031115,0.0023381898376784293
45,0.3666548976144547,COMPLETE,72,456,9,59,6,3,0.1284970117833523,339,0.0010196420063811706,0.0002630183307195406
46,0.3666548976144547,COMPLETE,108,494,4,53,4,2,0.10473417637073963,313,0.000640854950184217,0.00012189059150080792
47,0.3666548976144547,COMPLETE,65,185,11,60,3,4,0.22709458510604397,297,0.0007702052632070418,0.00039204055330383143
48,0.3666548976144547,COMPLETE,97,371,8,36,4,2,0.17265665269836453,271,0.0009103324115459937,0.003709643140844759
49,0.3666548976144547,COMPLETE,82,409,10,17,2,3,0.1565442803929063,290,0.000859211668374792,0.00017944433987283548
50,0.3666548976144547,COMPLETE,36,85,2,51,3,4,0.21327572662792646,232,0.0010694228459369628,0.00010036714526715868
51,0.3666548976144547,COMPLETE,191,437,12,55,7,4,0.1133789110162221,164,0.0005202130201308895,0.0005166409891086206
52,0.3666548976144547,COMPLETE,166,479,11,62,5,4,0.12228973452541778,147,0.0004091925422836694,0.0003698984370387077
53,0.3666548976144547,COMPLETE,52,499,12,58,7,4,0.13654712409214742,179,0.0011645196152284883,0.00123835837272819
54,0.3666548976144547,COMPLETE,175,462,11,28,8,4,0.11825777051995065,141,0.0013073469514425858,0.0007274563904877874
55,0.3666548976144547,COMPLETE,181,323,9,48,5,2,0.10005231261395023,179,0.0014306472146157023,0.0002982851041916186
56,0.3666548976144547,COMPLETE,91,409,12,61,6,4,0.14262103048263744,376,0.0011026354064533287,0.0016802454612583862
57,0.3666548976144547,COMPLETE,113,269,3,20,3,3,0.18257853760956963,212,0.00044506891807868254,0.0005803903152547098
58,0.3666548976144547,COMPLETE,138,359,11,56,4,2,0.125933803179051,253,0.000554745989828478,0.0002491304740263924
59,0.3666548976144547,COMPLETE,123,222,6,38,6,4,0.10999435145677922,242,0.0006640464599849626,0.0008851772581925227
60,0.3666548976144547,COMPLETE,160,442,10,22,7,2,0.15138568136014804,331,0.000928382777133799,0.00015750320926040634
61,0.3666548976144547,COMPLETE,67,154,12,25,3,3,0.13149797253430254,336,0.0004165529152076412,0.006238882779091236
62,0.3666548976144547,COMPLETE,76,132,11,30,2,3,0.11654255301146027,346,0.0004783067519702458,0.004224719636830478
63,0.3666548976144547,COMPLETE,32,191,10,34,4,3,0.10704581285285035,366,0.0004568265845652031,0.009924359453975006
64,0.3666548976144547,COMPLETE,87,158,10,27,5,3,0.16399133314711856,155,0.0011988398668358283,0.0033155200157389043
65,0.3666548976144547,COMPLETE,97,122,7,18,3,4,0.12196301187572615,310,0.0004960773911855446,0.0024079368567822643
66,0.3666548976144547,COMPLETE,105,303,12,33,4,3,0.133374023821493,322,0.001538990628341992,0.004752589937993668
67,0.3666548976144547,COMPLETE,79,330,4,44,3,4,0.14442504034485698,263,0.0010174987398609747,0.006207314183687257
68,0.3666548976144547,COMPLETE,121,236,11,38,4,2,0.17669860742114035,281,0.0004304662669452401,0.00044005004149575295
69,0.3666548976144547,COMPLETE,55,84,3,15,5,3,0.2040884508647063,184,0.0005586485921376295,0.0006842587641137434
70,0.3666548976144547,COMPLETE,146,171,5,12,8,4,0.15350790857335295,376,0.0019515346934416745,0.0005214703478222243
71,0.3666548976144547,COMPLETE,135,150,2,42,6,4,0.3923786020481708,144,0.0007770212674606685,0.00019088035803238186
72,0.3666548976144547,COMPLETE,127,111,2,53,7,4,0.3794212323009106,169,0.000841481737631025,0.00011787006987731053
73,0.3666548976144547,COMPLETE,185,145,2,59,3,4,0.31290496693455033,136,0.000676569040741162,0.0011414167891238636
74,0.3666548976144547,COMPLETE,112,115,3,62,2,4,0.2892736475563706,202,0.0008947443234633519,0.0002367763750713415
75,0.3666548976144547,COMPLETE,143,512,2,64,6,2,0.1919391091229353,155,0.0009994539690638658,0.00013473377345054577
76,0.3666548976144547,COMPLETE,44,473,6,54,3,4,0.23973517569403793,196,0.0010634311555598357,0.000343502662871699
77,0.3666548976144547,COMPLETE,158,194,4,57,6,4,0.10544702436216453,171,0.0007622141015874122,0.00029078491495453356
78,0.3666548976144547,COMPLETE,166,393,9,49,7,3,0.3445914226576281,150,0.0006274924376187476,0.00016344197419093903
79,0.3666548976144547,COMPLETE,177,94,3,46,3,2,0.1390408535410324,248,0.001342642765807095,0.0002031288093838938
80,0.3666548976144547,COMPLETE,115,140,11,61,2,4,0.16210531971284162,272,0.0008203058168299967,0.0027631566847875666
81,0.3666548976144547,COMPLETE,171,423,8,10,4,2,0.2732265096234441,261,0.0018258497177423237,0.000887969085078531
82,0.3666548976144547,COMPLETE,186,348,6,8,5,2,0.3409125197141467,294,0.0009451905463151119,0.0008994100577216489
83,0.3666548976144547,COMPLETE,162,492,3,23,4,2,0.43420331112551647,279,0.0011298529677322513,0.0014782178855418692
84,0.3666548976144547,COMPLETE,153,299,5,30,3,2,0.3267225298386163,128,0.0015257967668448787,0.0019765106864631584
85,0.3666548976144547,COMPLETE,149,340,7,13,4,2,0.12573910787448092,328,0.0016378670006296212,0.0013168201863368626
86,0.3666548976144547,COMPLETE,126,257,2,20,5,2,0.3607390572158867,348,0.0007006405171859915,0.0005919521174699048
87,0.3666548976144547,COMPLETE,179,456,12,40,3,4,0.11319027779288128,287,0.001656295021279032,0.0003956447833845278
88,0.3666548976144547,COMPLETE,138,179,11,16,8,2,0.2206724770101333,230,0.00121063226013152,0.00742021968975773
89,0.3666548976144547,COMPLETE,38,165,5,59,3,4,0.16812830781544316,218,0.0009642051319495039,0.00012452718337406583
90,0.3666548976144547,COMPLETE,47,224,4,25,6,4,0.1465596300262812,236,0.00040028739613588563,0.00017415892417428093
91,0.3666548976144547,COMPLETE,62,375,9,38,7,3,0.18849911113279916,246,0.0004366312983374016,0.0001573378690812723
92,0.3666548976144547,COMPLETE,57,363,10,35,8,3,0.10237395591054288,269,0.0005001996302571239,0.00011129879498841286
93,0.3666548976144547,COMPLETE,173,393,10,56,7,3,0.23316505182813307,255,0.00045736696405744364,0.00013370203636988554
94,0.3666548976144547,COMPLETE,108,422,12,40,6,3,0.2764737423279194,368,0.0008668492265252767,0.00022805205182610143
95,0.3666548976144547,COMPLETE,47,399,7,32,7,2,0.11949300142191302,304,0.0004288059714328916,0.0008014122891837059
96,0.3666548976144547,COMPLETE,67,385,11,51,8,4,0.17631383461092145,340,0.0007397928059142295,0.0009950607444295988
97,0.3666548976144547,COMPLETE,35,284,9,37,5,3,0.2080136435172785,357,0.0010440905266520663,0.0002611689747420586
98,0.3666548976144547,COMPLETE,100,340,2,63,2,2,0.4241709884539604,163,0.0004179904425971471,0.00048024828191400295
99,0.3666548976144547,COMPLETE,192,448,10,27,3,4,0.12952866715117184,275,0.0004643823562954442,0.0006517677019381252
