trial_number,value,state,parameters.mid_layer_count,parameters.mid_layer_size,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
0,0.38843612003763883,COMPLETE,3,494,0.2291006934476431,179,0.0001700037298921101,2.9375384576328295e-05
1,0.38843612003763883,COMPLETE,2,461,0.17451427303150016,200,0.00010725209743172001,0.008123245085588688
2,0.38843612003763883,COMPLETE,5,209,0.07297503494138606,99,0.0002814509271606064,0.00037520558551242813
3,0.38843612003763883,COMPLETE,3,240,0.1784547971885636,90,0.00027010527749605503,0.00012562773503807024
4,0.38843612003763883,COMPLETE,3,430,0.07573443637113825,163,0.000750011895041699,1.3783237455007187e-05
5,0.38843612003763883,COMPLETE,4,193,0.05724234892284364,247,0.0026690431824362526,0.002661901888489057
6,0.38843612003763883,COMPLETE,3,165,0.20744071436576766,148,0.00015144860262751404,0.0003058656666978527
7,0.38843612003763883,COMPLETE,2,478,0.08563900534863575,191,0.00028869220380495745,0.00036324869566766035
8,0.38843612003763883,COMPLETE,4,199,0.3754846376223556,213,0.002442046084491142,0.004835952776465951
9,0.38843612003763883,COMPLETE,4,482,0.06010169176554457,101,0.00011662890273931399,9.46217535646148e-05
10,0.38843612003763883,COMPLETE,5,343,0.3353621610385411,137,0.000882040104222229,1.3066991237906973e-05
11,0.38843612003763883,COMPLETE,2,387,0.12943811657811746,206,0.0001030459435816021,0.0017465561885775275
12,0.38843612003763883,COMPLETE,2,511,0.23632474991038332,244,0.00018711281076585077,0.009871884000666352
13,0.38843612003763883,COMPLETE,2,416,0.125503829560735,176,0.0004924185908787295,2.912715862065568e-05
14,0.38843612003763883,COMPLETE,3,290,0.2598945408078813,127,0.000189238037635378,0.001077610635379037
15,0.38843612003763883,COMPLETE,2,448,0.15948334252308335,218,0.0004898577459393725,4.698088329030802e-05
16,0.38843612003763883,COMPLETE,3,352,0.10461293263500909,181,0.001422796536465539,0.0008828968259855263
17,0.38843612003763883,COMPLETE,2,509,0.27537865903594416,229,0.00016269955763154167,7.306811411969755e-05
18,0.38843612003763883,COMPLETE,3,292,0.19198720445151646,191,0.00010193544727966024,0.00018547695270324256
19,0.38843612003763883,COMPLETE,4,401,0.14906609667864693,119,0.00037829904949668113,3.18833605800249e-05
20,0.38843612003763883,COMPLETE,2,464,0.30779390654264605,164,0.00022409668726532981,0.007406255152089567
21,0.38843612003763883,COMPLETE,5,132,0.09879238608643519,73,0.00031765411534966694,0.0005450736239932124
22,0.38843612003763883,COMPLETE,5,255,0.22957950861879528,68,0.0001494355863022338,0.0038017924203546955
23,0.38843612003763883,COMPLETE,4,366,0.11470147509477145,151,0.00023277415981803025,0.0002538173308719037
24,0.38843612003763883,COMPLETE,5,318,0.16587631177424364,200,0.00013751079564025884,0.0005912940625471464
25,0.38843612003763883,COMPLETE,3,239,0.06791414909347925,176,0.0003808419733187825,0.0017011101162395144
26,0.38843612003763883,COMPLETE,4,434,0.20923417532332092,110,0.000218408973698581,2.241145004146679e-05
27,0.38843612003763883,COMPLETE,5,486,0.08905253193475689,139,0.00013004672805049747,5.889724968260647e-05
28,0.38843612003763883,COMPLETE,3,390,0.13643905514450783,227,0.0006783270654002572,0.00015870677543007407
29,0.38843612003763883,COMPLETE,3,215,0.18271332709728255,85,0.0002735219554509239,0.0001130877587663468
30,0.38843612003763883,COMPLETE,2,286,0.2944265004241392,92,0.000336063803695227,0.0017916977691439242
31,0.38843612003763883,COMPLETE,3,246,0.16835972748286362,163,0.00017709113407864734,1.721497633399372e-05
32,0.38843612003763883,COMPLETE,3,144,0.23499779828446823,78,0.00024741279271978274,5.003283856071464e-05
33,0.38843612003763883,COMPLETE,4,177,0.05009917556823217,107,0.00041661997189602814,1.158493855398774e-05
34,0.38843612003763883,COMPLETE,3,263,0.1963080960213865,91,0.0006047820635634399,0.0001359179135276612
35,0.38843612003763883,COMPLETE,3,166,0.07952854551783373,192,0.0010222688324868054,0.000232608719157354
36,0.38843612003763883,COMPLETE,4,223,0.15137386445671575,124,0.0001204381543319254,8.978278053987843e-05
37,0.38843612003763883,COMPLETE,2,195,0.17947360333147025,100,0.00020133200121972045,0.0005275721649742433
38,0.38843612003763883,COMPLETE,4,465,0.21600505108499993,154,0.0002564401093076941,0.00035406232333144824
39,0.38843612003763883,COMPLETE,3,326,0.3605728455203792,135,0.0001467088259277539,3.9604472312814993e-05
40,0.38843612003763883,COMPLETE,2,429,0.12038874532192932,182,0.00029857190525997497,0.003022317051140126
41,0.38843612003763883,COMPLETE,3,499,0.06705748232458525,168,0.0009140999004519179,1.8876389392140423e-05
42,0.38843612003763883,COMPLETE,3,455,0.07796308511333544,143,0.0012611012404006542,1.0092434622442637e-05
43,0.38843612003763883,COMPLETE,4,495,0.061625288103363186,196,0.0007154600737997427,2.294203344194437e-05
44,0.38843612003763883,COMPLETE,2,440,0.05214189134756564,217,0.0004966383037042665,2.969423254179339e-05
45,0.38843612003763883,COMPLETE,3,473,0.26264754367298615,171,0.0021513922233021144,1.4088302106541616e-05
46,0.38843612003763883,COMPLETE,2,419,0.0956738585591686,208,0.00011335529263255583,0.006262360207875597
47,0.38843612003763883,COMPLETE,3,217,0.112012462232883,184,0.0001699600239808687,6.864592249200424e-05
48,0.38843612003763883,COMPLETE,4,481,0.07594952579533529,155,0.00042739328710525253,0.000932469696600174
49,0.38843612003763883,COMPLETE,2,371,0.06954333241148548,239,0.0001922298141732225,3.5916222625077945e-05
50,0.38843612003763883,COMPLETE,5,450,0.3988711553483253,255,0.00010288094253772673,0.009796857528563706
51,0.38843612003763883,COMPLETE,5,189,0.056065721519632794,64,0.0028204441590411475,0.0025968442242245487
52,0.38843612003763883,COMPLETE,4,151,0.06146229030229512,244,0.0021823250658633527,0.005134244406034066
53,0.38843612003763883,COMPLETE,5,511,0.05511653049432669,202,0.0015050650730680276,0.001353379727620079
54,0.38843612003763883,COMPLETE,3,273,0.14879157480788696,115,0.0019232909270169708,0.0027809817146940714
55,0.38843612003763883,COMPLETE,4,202,0.1353351697784401,209,0.0017035326653034844,0.0007259502038756956
56,0.38843612003763883,COMPLETE,3,228,0.24876306698953488,227,0.0011586541964012291,0.004072575175640785
57,0.38843612003763883,COMPLETE,4,403,0.08630320554322275,146,0.00033327553275579067,0.008221211659025226
58,0.38843612003763883,COMPLETE,2,177,0.2144794537818631,128,0.00016263822805993338,0.0004156501096397348
59,0.38843612003763883,COMPLETE,3,304,0.19375039681333947,189,0.00013082002300342973,0.00025021832090335166
60,0.38843612003763883,COMPLETE,5,211,0.17291401546486243,174,0.00011976228167193925,1.5661892422826868e-05
61,0.38843612003763883,COMPLETE,3,154,0.1589155114202696,159,0.00020320954785819928,9.967885410720788e-05
62,0.38843612003763883,COMPLETE,3,135,0.20307840583040526,78,0.00015074148415543346,0.0001751641812989976
63,0.38843612003763883,COMPLETE,3,236,0.22280490410315554,94,0.00022061486026198936,0.0002998850533444768
64,0.38843612003763883,COMPLETE,3,169,0.18430909125688855,165,0.0007226316820099312,0.0020717894828819207
65,0.38843612003763883,COMPLETE,4,494,0.2907547899736112,103,0.00028250710555458817,0.0001255954606369859
66,0.38843612003763883,COMPLETE,3,188,0.24817040995183567,178,0.002914729270629689,0.00043360369097363396
67,0.38843612003763883,COMPLETE,2,164,0.07204799340246015,135,0.00011368455407965357,0.0012707723644668548
68,0.38843612003763883,COMPLETE,3,249,0.06486017476209302,221,0.00036052016302098427,2.0737824679899095e-05
69,0.38843612003763883,COMPLETE,4,340,0.32227012681498646,236,0.0001433469221454693,0.0006677071935035722
70,0.38843612003763883,COMPLETE,3,198,0.05752225163690615,254,0.0005801096432535794,2.466821074311373e-05
71,0.38843612003763883,COMPLETE,2,478,0.08861275623777909,200,0.0002459189815305779,0.00020229670841350904
72,0.38843612003763883,COMPLETE,2,458,0.08441422953198409,189,0.0004208555142302742,0.00031517258009248686
73,0.38843612003763883,COMPLETE,2,491,0.07328183346192292,185,0.00017937552679372427,8.137150847831841e-05
74,0.38843612003763883,COMPLETE,2,441,0.10390311831879179,173,0.0003065747220694353,0.00046925878921439724
75,0.38843612003763883,COMPLETE,2,467,0.09676685446658125,158,0.0002727820856546795,0.00014679884323328456
76,0.38843612003763883,COMPLETE,3,422,0.0648777045437189,83,0.00015695545339672228,5.581739842624759e-05
77,0.38843612003763883,COMPLETE,5,503,0.08218152208849656,146,0.0004956170646261183,4.357462705048133e-05
78,0.38843612003763883,COMPLETE,3,404,0.17659965804251032,195,0.00013301409634846047,0.0002209574025221759
79,0.38843612003763883,COMPLETE,2,210,0.15995591799091383,216,0.0008262687887825328,1.2177156804137043e-05
80,0.38843612003763883,COMPLETE,4,469,0.196382904631876,169,0.00021367197865077454,0.0007967831598134763
81,0.38843612003763883,COMPLETE,4,181,0.1215649470071636,179,0.0023466185864641936,0.004003349330293323
82,0.38843612003763883,COMPLETE,4,205,0.3544618861611429,204,0.002649682667787938,0.00533272401720401
83,0.38843612003763883,COMPLETE,5,226,0.2290524408209824,212,0.00010030879875989276,0.004895695065542991
84,0.38843612003763883,COMPLETE,4,190,0.13869054663525282,196,0.00239776755456965,0.007022667554905694
85,0.38843612003763883,COMPLETE,3,484,0.2757769443540599,231,0.00023946747300531627,0.009753367809530112
86,0.38843612003763883,COMPLETE,3,263,0.0921764688123856,97,0.0003871753411710334,0.003353046782057554
87,0.38843612003763883,COMPLETE,3,236,0.14674301566088718,244,0.0018137255794021525,0.0005922390333002583
88,0.38843612003763883,COMPLETE,4,160,0.39684929614495673,114,0.00019453674922332483,0.006162642952781469
89,0.38843612003763883,COMPLETE,5,139,0.20513546347501344,127,0.0015056136823514618,0.0022356366287262157
90,0.38843612003763883,COMPLETE,2,375,0.24165971882774243,88,0.0004658048594978615,2.6934783452166365e-05
91,0.38843612003763883,COMPLETE,4,476,0.05970315668246183,103,0.00011962688415286038,0.000370861132475388
92,0.38843612003763883,COMPLETE,4,507,0.05197847310036625,109,0.0001748663898628687,7.137675526412132e-05
93,0.38843612003763883,COMPLETE,4,447,0.06414165820549093,71,0.00012846119452695923,3.67298878433457e-05
94,0.38843612003763883,COMPLETE,4,456,0.06902235758773768,164,0.0001403131922987533,0.008046928221687705
95,0.38843612003763883,COMPLETE,3,173,0.07443562151591866,121,0.00010690022223509188,0.0002666494379731537
96,0.38843612003763883,COMPLETE,4,128,0.1858095960960346,82,0.00010975133708060438,0.00010636753593418773
97,0.38843612003763883,COMPLETE,3,219,0.0801527885776582,188,0.0026240667153864597,1.731803476453777e-05
98,0.38843612003763883,COMPLETE,3,487,0.1320458312006262,150,0.00033638017886511413,0.00017823325789063474
99,0.38843612003763883,COMPLETE,4,149,0.05872038048069394,223,0.0002633229660461758,0.0009877113708613638
100,0.38843612003763883,COMPLETE,2,186,0.0549551404362839,200,0.0001651335375698396,0.00027507190870014236
101,0.38843612003763883,COMPLETE,5,305,0.3811276703397908,139,0.000811853521779667,1.6861037262969352e-05
102,0.38843612003763883,COMPLETE,5,345,0.36104216053032495,151,0.0008866348386071259,1.3534523233550638e-05
103,0.38843612003763883,COMPLETE,5,435,0.3460310215607134,183,0.0011453254218860049,1.2408391189810294e-05
104,0.38843612003763883,COMPLETE,5,501,0.26656708026289233,94,0.0010770180722945238,1.0940723479766639e-05
105,0.38843612003763883,COMPLETE,5,461,0.3189799434934861,132,0.0005288391047179473,3.0135696293233624e-05
106,0.38843612003763883,COMPLETE,3,330,0.16406191986843788,250,0.0006515535259261863,5.7340672963148386e-05
107,0.38843612003763883,COMPLETE,5,383,0.06185922461807398,88,0.00029996494646093697,8.849819579186847e-05
108,0.38843612003763883,COMPLETE,2,195,0.3348081320187391,194,0.0001530241103616404,0.0001276354939758642
109,0.38843612003763883,COMPLETE,3,282,0.07102318157372146,77,0.00012644359749121133,0.001443041450168542
110,0.38843612003763883,COMPLETE,4,412,0.07639825602846707,115,0.001997486468737105,0.00036174649621905584
111,0.38843612003763883,COMPLETE,2,361,0.29584589205579787,208,0.00010835461582716647,0.0017099972956662185
112,0.38843612003763883,COMPLETE,2,388,0.21212399138116622,205,0.0001140078173503546,0.000509087168819628
113,0.38843612003763883,COMPLETE,2,427,0.1717269124817272,161,0.00012221320743295902,1.4856133051033215e-05
114,0.38843612003763883,COMPLETE,2,358,0.37376527845855356,215,0.00014485477212483584,0.0044894248471474794
115,0.38843612003763883,COMPLETE,2,205,0.11565477623406258,156,0.0013283703434395899,0.0031342354754153204
116,0.38843612003763883,COMPLETE,3,469,0.06695135056187071,100,0.00045602189516340936,0.0024292518784474336
117,0.38843612003763883,COMPLETE,2,396,0.05015955941571056,191,0.0002305536441237188,0.0058879172289815025
118,0.38843612003763883,COMPLETE,4,490,0.10344209876044203,222,0.00010296799215701858,2.1103062664657457e-05
119,0.38843612003763883,COMPLETE,3,445,0.18830946584130134,198,0.0002069967804098532,0.0011595687521149174
120,0.38843612003763883,COMPLETE,5,413,0.19694123609283706,212,0.0001370960202608712,0.0036201213138961864
121,0.38843612003763883,COMPLETE,2,497,0.27740001735407593,235,0.0003596132653019195,0.008516920009200304
122,0.38843612003763883,COMPLETE,2,480,0.22292244924229432,246,0.0009909637787996052,0.007316525613088268
123,0.38843612003763883,COMPLETE,2,510,0.23907881026899688,179,0.00018500238393885703,0.009234966162280077
124,0.38843612003763883,COMPLETE,2,475,0.20841014802509644,174,0.0002877166873528921,0.0019393091153208978
125,0.38843612003763883,COMPLETE,2,452,0.2575930420001985,239,0.00016296580793922412,0.006619789718418711
126,0.38843612003763883,COMPLETE,3,180,0.15481484364986187,186,0.00011844417254075235,0.005489690601522096
127,0.38843612003763883,COMPLETE,4,306,0.12764415538360085,169,0.0007669299290511419,4.6046370154922385e-05
128,0.38843612003763883,COMPLETE,3,503,0.177323230173001,250,0.0002517726968968144,0.00020592313384455908
129,0.38843612003763883,COMPLETE,2,487,0.2212656340341993,143,0.0005852522535270095,1.0296450031875022e-05
130,0.38843612003763883,COMPLETE,4,512,0.1430805686452491,104,0.002443098093382973,0.004522794045121431
131,0.38843612003763883,COMPLETE,2,161,0.10979941627253688,165,0.00018831857403436405,0.0001514052029370935
132,0.38843612003763883,COMPLETE,2,245,0.07918512674232778,177,0.00022235964717033023,6.613408435000407e-05
133,0.38843612003763883,COMPLETE,2,377,0.12527198478766477,182,0.0006171181576430981,4.21856255768496e-05
134,0.38843612003763883,COMPLETE,2,435,0.08907177857813946,90,0.0027178762532242087,3.421834451181257e-05
135,0.38843612003763883,COMPLETE,3,463,0.053817589292824,192,0.00032160167844257607,1.93165358178537e-05
136,0.38843612003763883,COMPLETE,2,422,0.13198198483633405,205,0.00017327145431630627,0.00032824335148166277
137,0.38843612003763883,COMPLETE,5,413,0.23418383810901475,228,0.00013412115473363678,5.25088904867045e-05
138,0.38843612003763883,COMPLETE,3,229,0.06158515885290337,232,0.00038899293282373997,2.4225936125006366e-05
139,0.38843612003763883,COMPLETE,2,317,0.08421906176728747,150,0.002180163027420285,0.0004085686907003797
