trial_number,value,state,parameters.history_length,parameters.num_layers,parameters.units,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
0,0.333257518512638,COMPLETE,80,10,298,0.379597545259111,114,0.0002864339657822303,0.00013066739238053285
1,0.333257518512638,COMPLETE,143,7,291,0.20617534828874073,375,0.001359792484318226,0.00026587543983272726
2,0.333257518512638,COMPLETE,55,3,161,0.35742692948967136,202,0.0003910741732549046,0.0016738085788752138
3,0.333257518512638,COMPLETE,49,4,181,0.3368209952651108,316,0.0003167406311823747,0.0010677482709481358
4,0.333257518512638,COMPLETE,108,2,259,0.2511572371061875,84,0.0017779335814037862,0.00853618986286683
5,0.333257518512638,COMPLETE,136,4,95,0.40526990795364704,205,0.0002648916268019866,0.0009780337016659412
6,0.333257518512638,COMPLETE,36,10,147,0.39875668530619457,164,0.000662365977614476,0.0012399967836846098
7,0.333257518512638,COMPLETE,55,10,312,0.48184968246925675,351,0.0007923735580813167,0.0069782812651260325
8,0.333257518512638,COMPLETE,43,3,78,0.2975990992289793,188,0.0003735760514214134,0.004544383960336014
9,0.333257518512638,COMPLETE,78,4,238,0.2422772674924288,321,0.0002374546285067177,0.009413993046829943
10,0.333257518512638,COMPLETE,98,8,375,0.47968710257353625,68,0.0005001189812980793,0.00010722312838040235
11,0.333257518512638,COMPLETE,156,7,301,0.2047223458760423,262,0.001256902823130098,0.0001301397360657581
12,0.333257518512638,COMPLETE,128,8,357,0.41720099252845877,128,0.00095494434347689,0.00027209976155848575
13,0.333257518512638,COMPLETE,79,6,295,0.3133792510211184,258,0.001566296737002324,0.0002846282635669909
14,0.333257518512638,COMPLETE,117,9,334,0.3763626960568941,131,0.0010635660276295932,0.00030287539859849907
15,0.333257518512638,COMPLETE,160,6,263,0.44241981033414934,383,0.0005261228039335526,0.0005286741166545425
16,0.333257518512638,COMPLETE,78,7,209,0.2471485326949496,253,0.00020162102536002064,0.00018015596595059326
17,0.333257518512638,COMPLETE,138,9,276,0.29047124888468323,131,0.0012743946236752595,0.0005983206987374906
18,0.333257518512638,COMPLETE,91,5,333,0.20645033824503572,295,0.0007255141528082508,0.0001635280109508478
19,0.333257518512638,COMPLETE,67,9,221,0.44638145666567913,103,0.001991598087660158,0.00044660663318794386
20,0.333257518512638,COMPLETE,115,8,384,0.33787065219914786,166,0.00048155997700130744,0.000197526820528539
21,0.333257518512638,COMPLETE,63,2,140,0.3660372330211632,232,0.000354344837763424,0.002417853052102726
22,0.333257518512638,COMPLETE,88,6,174,0.3698852731128827,209,0.00041758837953587337,0.0021633628606049036
23,0.333257518512638,COMPLETE,64,5,129,0.32125062627084877,166,0.0002923245529049387,0.002017057673332463
24,0.333257518512638,COMPLETE,102,3,185,0.27457603201488257,300,0.00022100125852066627,0.0004160035578799865
25,0.333257518512638,COMPLETE,32,7,244,0.36052008623676357,375,0.000592630468593001,0.0033770586827607386
26,0.333257518512638,COMPLETE,55,5,283,0.3863871211050558,106,0.00038890250667777834,0.0006830907735497466
27,0.333257518512638,COMPLETE,148,10,326,0.427561876775715,282,0.0002869929132218234,0.001379986551269897
28,0.333257518512638,COMPLETE,71,3,214,0.33796213804669856,229,0.0008776020296896317,0.0001099373087680161
29,0.333257518512638,COMPLETE,53,9,167,0.3180616994025814,332,0.00033589125009347696,0.0008361419971766109
30,0.333257518512638,COMPLETE,43,7,117,0.34512362368591054,148,0.00043473662166902715,0.0015915803943138997
31,0.333257518512638,COMPLETE,47,2,194,0.3881947259506168,342,0.0003164939738006437,0.0008241653000947872
32,0.333257518512638,COMPLETE,89,4,248,0.23808008075692474,358,0.00029262624100156136,0.001184212449164789
33,0.333257518512638,COMPLETE,110,4,163,0.27107767790263176,316,0.00024643981131607746,0.00022647910751813117
34,0.333257518512638,COMPLETE,129,3,192,0.40540885976750624,365,0.0006024416810778305,0.0003822654004461951
35,0.333257518512638,COMPLETE,40,2,153,0.22377525969461912,196,0.00026697924711350016,0.00404103023207709
36,0.333257518512638,COMPLETE,55,5,104,0.26925232127290777,86,0.0004486273909911726,0.0009205993460515822
37,0.333257518512638,COMPLETE,71,3,72,0.2950527943260824,178,0.00037490951484004254,0.00013923239249207775
38,0.333257518512638,COMPLETE,50,10,262,0.34928613892390625,283,0.0005445751262878727,0.0028633065984043716
39,0.333257518512638,COMPLETE,60,4,356,0.49672011225451274,340,0.0007410676322571651,0.006994379538319026
40,0.333257518512638,COMPLETE,75,6,233,0.40347059031324145,246,0.0014509002791330532,0.0016750084904010565
41,0.333257518512638,COMPLETE,104,2,306,0.22410195519258147,81,0.0019507480887394828,0.0052638201109843396
42,0.333257518512638,COMPLETE,145,3,264,0.20159799688089655,112,0.0016599618304959426,0.0062809138006692045
43,0.333257518512638,COMPLETE,124,2,288,0.2524976633713134,84,0.0011264444025080632,0.0011219248769313048
44,0.333257518512638,COMPLETE,85,3,304,0.21966611970925448,67,0.0017691411450346784,0.0003448927082959153
45,0.333257518512638,COMPLETE,37,4,316,0.32580579271341525,210,0.0013953107165875066,0.0002594372836984771
46,0.333257518512638,COMPLETE,94,8,203,0.3883629114923733,145,0.000320745055684123,0.008455892276653101
47,0.333257518512638,COMPLETE,84,4,351,0.4555899593130194,118,0.00023823716616203045,0.00013396547525280748
48,0.333257518512638,COMPLETE,137,2,274,0.30815446853478584,313,0.0011287828403235827,0.00010137537825952201
49,0.333257518512638,COMPLETE,122,10,257,0.361658320108061,269,0.00020983433826287298,0.00048299397007082925
50,0.333257518512638,COMPLETE,109,7,237,0.42275102811370563,153,0.00026152353943765714,0.00020419959154564663
51,0.333257518512638,COMPLETE,133,5,105,0.4122728585366076,195,0.00027619419476203143,0.0006601066213400216
52,0.333257518512638,COMPLETE,147,4,97,0.4333892354637827,95,0.000225711437433023,0.00015625794493429897
53,0.333257518512638,COMPLETE,157,3,85,0.38004277250565377,209,0.0003448739146931159,0.0010368916265259221
54,0.333257518512638,COMPLETE,97,5,131,0.25810309334713055,176,0.00030757051543288665,0.0013766659394963778
55,0.333257518512638,COMPLETE,141,8,294,0.46338646732154304,244,0.0004091512172946412,0.0029685567693811215
56,0.333257518512638,COMPLETE,60,9,225,0.23779641052127026,216,0.0008628637479922773,0.00954593976521742
57,0.333257518512638,COMPLETE,117,3,273,0.28183679464627126,382,0.0002539765089578451,0.0018496399639958223
58,0.333257518512638,COMPLETE,152,6,148,0.3983905889677954,119,0.0017332831867369254,0.0005404283477297394
59,0.333257518512638,COMPLETE,47,2,178,0.32874955989594656,135,0.0004693475166177189,0.00031891765516837636
60,0.333257518512638,COMPLETE,81,4,316,0.3713322862423729,237,0.00035579644536340514,0.0007414496365923834
61,0.333257518512638,COMPLETE,32,9,153,0.3591296251192969,163,0.0006747351387586437,0.0013240406137460872
62,0.333257518512638,COMPLETE,39,10,134,0.3051899710462187,194,0.0012928534857649177,0.0023819508583730062
63,0.333257518512638,COMPLETE,45,10,120,0.39217939204009045,223,0.0014830483537728125,0.0009507737627599221
64,0.333257518512638,COMPLETE,51,9,164,0.41567328464098763,184,0.0009982715971827635,0.0038361076446479223
65,0.333257518512638,COMPLETE,58,10,85,0.3761495752769686,367,0.0005237691939575232,0.0006153870536426127
66,0.333257518512638,COMPLETE,66,6,342,0.4384780254655264,77,0.00038959095403244944,0.001586615997190812
67,0.333257518512638,COMPLETE,35,9,205,0.3548382981149548,138,0.0019101137235069568,0.00011595989694708973
68,0.333257518512638,COMPLETE,42,2,184,0.3352336759103759,101,0.0003044763693703224,0.002108083734039138
69,0.333257518512638,COMPLETE,71,3,121,0.21157023477580797,158,0.0002797888823402819,0.0007582454228195515
70,0.333257518512638,COMPLETE,102,5,142,0.34447377743713486,174,0.0002292086879178557,0.00024228040619384442
71,0.333257518512638,COMPLETE,130,10,326,0.47076209425252286,339,0.0006448496435800164,0.005115548084901101
72,0.333257518512638,COMPLETE,49,9,283,0.4476285862206769,357,0.0007111892730157618,0.008554153146957068
73,0.333257518512638,COMPLETE,55,10,318,0.4993709873006536,352,0.0008073312586886254,0.006909353091722226
74,0.333257518512638,COMPLETE,141,7,66,0.4901895254319878,326,0.000920791264017729,0.004803189900586077
75,0.333257518512638,COMPLETE,62,10,366,0.38217688397417987,372,0.0005820158780408314,0.0011613780237066593
76,0.333257518512638,COMPLETE,75,3,303,0.3651566786322678,347,0.0007945267859227132,0.007505871136309991
