trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.gamma,parameters.reg_lambda,parameters.min_child_weight
0,0.3258046106584057,COMPLETE,14,0.026251660632419304,0.8720536237417198,0.8146346649119967,0.0032735743714072487,0.7160849144555758,1
1,0.3258046106584057,COMPLETE,27,0.01018582256686764,0.8614622804552621,0.6063423389688911,1.5911147987600698,3.3994812107955625,3
2,0.3258046106584057,COMPLETE,8,0.0032864757839415246,0.7008853970727918,0.7844545901841157,0.02666020367873237,0.9776854331372623,7
3,0.3258046106584057,COMPLETE,7,0.004411829935614205,0.7234827275619211,0.75740785724554,0.39074137500162603,0.7918515779559374,6
4,0.3258046106584057,COMPLETE,19,0.0022680881003614693,0.8183410106404391,0.6546087618788374,0.0016395975462927177,4.4448339535094625,10
5,0.3258046106584057,COMPLETE,25,0.00456334797616324,0.630695433816894,0.8510351378449301,0.02837635341868618,0.6622290670049675,5
6,0.3258046106584057,COMPLETE,4,0.02346787531982524,0.6847960801527393,0.8416489593130831,0.010689751565977946,1.6559149440361902,6
7,0.3258046106584057,COMPLETE,8,0.027628035240548847,0.8914838870924939,0.9695672016561586,0.8991909447343751,1.9809338952032913,10
8,0.3258046106584057,COMPLETE,6,0.003400350826442219,0.6140233233176831,0.7084763827073611,0.019188251048398993,0.9339401285535338,9
9,0.3258046106584057,COMPLETE,13,0.004279909806035243,0.7916763983762117,0.6447852788360978,0.44470938617470757,0.5936365712667949,10
10,0.3258046106584057,COMPLETE,18,0.013536538146286541,0.9845592258747959,0.966003493489024,0.0011239043752531007,1.2502974532451985,1
11,0.3258046106584057,COMPLETE,30,0.010922004996673064,0.8749144657864892,0.6048440398795121,0.10920329342525148,3.1422570578252427,1
12,0.3258046106584057,COMPLETE,24,0.016563311038036304,0.9578054514185212,0.8685013124534056,0.0046488040280928304,2.3873608586922304,3
13,0.3258046106584057,COMPLETE,13,0.007809001613829823,0.8673852710079396,0.7277709798845159,1.859769626503809,3.9157418425058084,3
14,0.3258046106584057,COMPLETE,14,0.008066445395521402,0.9230248004832512,0.8101598732908504,0.11063479504966263,2.658915069073984,3
15,0.3258046106584057,COMPLETE,22,0.017118299085017018,0.8240677052844377,0.9066082979664373,0.004433711887088472,1.315307009833882,2
16,0.3258046106584057,COMPLETE,30,0.010970721880809425,0.7559608023845226,0.6501557290152649,0.08836541877863288,0.5040525634000519,4
