trial_number,value,batch_size,d_model,dim_feedforward,dropout,history_length,learning_rate,nhead,num_encoder_layers,weight_decay
2,0.16861860436996065,65,240,429,0.06349433443149866,90,0.0016818818084880578,4,4,0.00036337451245327287
3,0.2444320335764016,123,208,426,0.06129454061940451,123,0.0009086250100758023,4,4,2.2046006354645114e-05
29,0.16896536422280026,208,176,327,0.099526562537737,92,0.001353443878430764,8,5,0.0010265547540820204
44,0.2087975291376784,201,120,742,0.18106399636190723,125,0.0009885785992328087,4,5,0.0020719412943470007
46,0.21321004091293466,186,120,648,0.14032232137627376,129,0.0010652582572291817,4,5,0.0018238099596221272
50,0.21715959811093113,207,164,656,0.1199877303773698,124,0.0008620196271992966,4,6,0.00176049863973697
53,0.26353230903961744,172,144,654,0.15931719407617118,146,0.0007225984124082565,4,6,0.0008587026103473476
61,0.24445592931605312,169,144,710,0.15940330248909462,150,0.0007376521441714661,4,6,0.0007783919615018843
65,0.28764671792911944,149,124,750,0.2111482556238332,159,0.0029090725962378355,4,5,0.0007414767401001362
66,0.26421513997116064,204,248,683,0.15069317120424025,146,0.0012660956366058284,4,2,0.0004737306345066255
75,0.15859564768306322,186,140,423,0.09343643634678839,86,0.00012193361916288287,4,6,0.0007999824322752677
77,0.16715726152429794,189,96,381,0.10670032379365561,84,0.00014107637299002126,8,6,0.0014827475483667179
90,0.22862925606984472,103,112,747,0.11801108438719653,132,0.0008771884691896743,4,5,0.001283482997108744
96,0.2194474160893778,122,256,788,0.09554947465458355,140,0.0011989975650445698,4,5,0.00017067018313719783
98,0.28969887690647467,111,240,396,0.10898255644798212,132,0.0014087848799959933,4,5,0.00016331325091771296
103,0.20146684608134022,186,104,722,0.1207622332174905,128,0.0012678982860987917,4,5,0.0010537908757334163
104,0.20794900931496174,225,104,774,0.237650262536189,128,0.0015361607604130424,4,5,0.00020075944647647174
106,0.26055488019886586,218,104,778,0.21504644817496477,131,0.0013651558396228643,4,5,0.00018124245447009298
108,0.2860946562834472,207,100,719,0.2775702302425894,135,0.002105946809418936,4,5,0.0017559408778815646
112,0.24277190425172585,187,80,861,0.2994872137574886,114,0.001186059108016019,4,5,0.001020055061352741
114,0.17152992532523037,182,88,855,0.10445226376892443,112,0.001638515856551172,4,5,0.0013328023313577426
115,0.2257889921706553,181,88,792,0.10256777524498276,133,0.0016241929815266189,4,5,0.0013158936690949995
117,0.16597954891127759,182,84,857,0.0990425079777167,89,0.0016108140500303934,4,5,0.0015367810167143281
120,0.14206053415934244,216,84,989,0.0921332047660048,82,0.0019529700675547498,4,5,0.00026790073669283353
122,0.15776347998556733,210,72,981,0.09379855833317242,95,0.0015566608940947363,4,5,0.0003335818695594793
127,0.17553614616466423,205,80,1000,0.10687558421507655,100,0.0013341940679998821,8,5,0.0017931823888646598
139,0.18935466818853255,226,96,350,0.13472988353573526,112,0.0004316045639955201,4,6,0.0011765061116204394
143,0.17588462481926387,231,96,831,0.13515218044277594,108,0.002054718967797713,4,6,0.0010963089980202947
144,0.21319418564830236,239,108,830,0.13630636162760912,110,0.0021498484308005703,4,6,0.0010252440195529092
145,0.19328413386400187,240,96,906,0.1326326535169567,108,0.002513388043520021,4,6,0.0011039650741039777
146,0.20142645349723806,251,96,870,0.1316275986339599,109,0.0028634679857761545,4,6,0.0007142754200883222
147,0.1571272275069865,234,96,880,0.13280105796396288,107,0.0027812915587888867,4,6,0.0007101181986381163
148,0.21064504879276927,248,96,905,0.13132238705059496,107,0.002811469258546758,8,6,0.0008160929801270764
149,0.18810487548122323,253,92,888,0.14717125408676962,108,0.0026408529363638965,4,6,0.0006376064008585297
155,0.19680028821079476,248,80,904,0.15284347695358463,99,0.0026195174128801095,4,6,0.0011292130025310006
156,0.20757672711483482,231,80,889,0.15415231406170007,99,0.0026733628464918635,4,6,0.0005094422852184186
160,0.214083971196107,234,100,404,0.16482303687513788,111,0.002731771577584465,4,6,0.0006801142076274033
171,0.1829999638117032,231,80,895,0.15245892688430898,98,0.002740782306065351,4,6,0.00047801928156877236
173,0.199137889233766,234,80,875,0.1499294919790628,102,0.002557563963915249,4,6,0.000812416394190434
180,0.16725632349590114,241,196,376,0.08994766553089817,90,0.0021744351791177343,4,6,0.000578075334692906
183,0.18896959065380742,243,80,392,0.08712863901846012,95,0.001987939467203835,4,6,0.001542448710823949
186,0.19091887869618157,241,80,415,0.09935813235490583,97,0.001756840195859483,4,6,0.0009543895392429161
188,0.16594759857798197,240,64,408,0.0994137566489192,87,0.0019508012123401399,8,6,0.0011922590154194754
189,0.17936767510491827,240,64,411,0.09961434429924249,84,0.0018949840655138796,8,6,0.0009572731443758041
192,0.1725060696504554,180,64,407,0.10194717430538776,81,0.002115425721582006,8,6,0.0012149778558111061
194,0.16826836268107095,179,64,411,0.0933395479643236,82,0.002121772808870006,8,6,0.0009996518398871226
195,0.13656928529264545,179,72,393,0.09367596378987328,80,0.0021117716067394743,8,6,0.0012692894553180858
199,0.16753672382725354,178,64,418,0.0925527514020505,86,0.0019303984221572764,8,6,0.00028086140973682247
