trial_number,value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample
0,0.24392016764605856,0.938033835993588,0.021914974145774563,0.0077743424813128586,25,1,1.0124473912804448,0.7564387395791765
1,0.3372467080712943,0.9915771640976456,0.25085219030261663,0.005948808019410163,27,2,0.6181358214129941,0.9073806349436335
2,0.5725605641812359,0.8812943970016951,0.996094249803248,0.0032804904510253725,21,10,4.010732105795118,0.8545150778966087
3,0.5255216966876277,0.8152260250901683,0.10803452800340792,0.0036400756718023507,30,7,1.2207363963850997,0.9368298894439394
4,0.4648706071712969,0.9686872869744817,1.0846894444576487,0.004426056682182403,16,5,3.9332931372630155,0.7258718036942224
5,0.18645354039408774,0.7611541844142291,0.0017618123758216476,0.00976296392010531,30,7,4.47525449198496,0.6615917519639015
6,0.3283079175785774,0.6267988053200565,0.044992664906661144,0.0064773866247736876,17,3,3.6222682388607184,0.7440791054635807
7,0.5011160630563318,0.9375741354190409,0.2379887712218656,0.003959049275973907,9,8,1.6105039698325732,0.7760602476870113
8,0.10335330662357223,0.6694797992695853,0.3391911479415378,0.01428372729069692,7,1,2.161448616453714,0.6584830591121537
9,0.5200190404485036,0.7625273820384555,0.0019175460876368982,0.003752316935074366,18,10,1.9743443126786497,0.9037109384392455
10,0.06118366767241719,0.63740072513457,0.009798943914094506,0.02232795890726181,5,4,2.385954032555455,0.6057918458760927
11,0.05227137034715181,0.6304489479494596,0.014749903046915107,0.02125449868973838,6,4,2.4430957511363354,0.6009519701176216
12,0.05150738898023208,0.6079271224047366,0.009121335159698596,0.02945152392618573,4,4,2.405903607628638,0.6014231302865846
13,0.022613385454483055,0.7062974346343563,0.006769079911611945,0.02727086384601677,11,5,2.783703436688397,0.6097581764647101
14,0.08361726194335382,0.7065023830458106,0.005229882108973544,0.014604650108883758,11,6,2.9597005803030294,0.6613089102405819
15,0.7059444715055535,0.6921977984055204,0.004507771960670492,0.0021439719436128577,11,5,1.3234445565972242,0.6311410373138834
16,0.01913667094454136,0.7209025252127855,0.0010957842016537291,0.029781315281382396,13,3,3.1783087329403417,0.7054892853989361
17,0.018770578748005532,0.8217396638394743,0.0011469571059763805,0.029515419497857468,14,3,2.894195455907913,0.699070396983347
