epoch,train_loss,val_loss
1,0.553242,0.497359
2,0.344649,0.475222
3,0.284299,0.396633
4,0.257344,0.378958
5,0.245180,0.394560
6,0.233852,0.472401
7,0.229288,0.456264
8,0.219868,0.520607
9,0.210234,0.531276
10,0.205686,0.614811
11,0.198252,0.681953
12,0.195235,0.744927
13,0.190741,0.726709
14,0.183113,0.713390
15,0.174311,0.744025
16,0.168602,0.755362
17,0.157812,0.687574
18,0.152315,0.632667
19,0.154063,0.671956
20,0.141902,0.634373
21,0.137917,0.667087
22,0.134376,0.639930
23,0.137429,0.575226
24,0.130647,0.608557
25,0.125666,0.636935
26,0.131444,0.659524
27,0.123769,0.688604
28,0.122923,0.664061
29,0.118126,0.633675
30,0.110952,0.707119
31,0.115929,0.626051
32,0.110534,0.628266
33,0.109999,0.624178
34,0.107334,0.626790
35,0.104330,0.599087
36,0.100347,0.619855
37,0.100635,0.697610
38,0.098218,0.639434
39,0.101289,0.657624
40,0.092906,0.665717
41,0.095388,0.663597
42,0.091607,0.653058
43,0.089569,0.648310
44,0.092003,0.685715
45,0.093416,0.696934
46,0.084224,0.690521
47,0.083332,0.676097
48,0.084042,0.711851
49,0.086232,0.733591
50,0.076524,0.755347
51,0.075460,0.728288
52,0.072647,0.756593
53,0.079495,0.696555
54,0.072599,0.770589
55,0.066766,0.783763
56,0.068462,0.753144
57,0.065866,0.797539
58,0.064037,0.775372
59,0.065124,0.804715
60,0.068606,0.779814
61,0.061046,0.825168
62,0.060582,0.839973
63,0.058038,0.852929
64,0.056721,0.818125
65,0.056688,0.847713
66,0.058932,0.857465
67,0.057412,0.904167
68,0.061253,0.844295
69,0.054313,0.882225
70,0.053988,0.830131
71,0.056241,0.817651
72,0.059774,0.855230
73,0.054021,0.916079
74,0.057865,0.785495
75,0.058697,0.835621
76,0.060564,0.862374
77,0.054103,0.835037
78,0.052443,0.856005
79,0.056062,0.847862
80,0.049015,0.878821
