epoch,train_loss,val_loss
1,0.561651,0.464103
2,0.321160,0.383815
3,0.272029,0.420052
4,0.249159,0.450459
5,0.234381,0.437956
6,0.220161,0.518794
7,0.210183,0.605939
8,0.202462,0.709733
9,0.191423,0.730432
10,0.180898,0.684720
11,0.168134,0.641932
12,0.156621,0.657621
13,0.146450,0.717685
14,0.141458,0.701610
15,0.139516,0.748376
16,0.132623,0.721280
17,0.125298,0.729717
18,0.122970,0.728944
19,0.123570,0.676560
20,0.117485,0.714739
21,0.111237,0.683322
22,0.109937,0.695903
23,0.105644,0.752846
24,0.102718,0.748599
25,0.095291,0.759320
26,0.097745,0.774759
27,0.100640,0.730140
28,0.092859,0.773309
29,0.084381,0.755718
30,0.084584,0.766363
31,0.076218,0.858821
32,0.078467,0.830389
33,0.074109,0.838869
34,0.072031,0.859571
35,0.064295,0.811503
36,0.065189,0.914359
37,0.064932,0.834528
38,0.054996,0.866586
39,0.055288,0.865979
40,0.059846,0.836481
41,0.052012,0.833322
42,0.049749,0.758529
43,0.052371,0.793287
44,0.047731,0.794524
45,0.044203,0.780001
46,0.043860,0.774647
47,0.043444,0.749144
48,0.042440,0.752027
49,0.045030,0.790855
50,0.042650,0.754453
51,0.039293,0.746326
52,0.038475,0.737877
53,0.037572,0.762005
54,0.037186,0.744092
55,0.039030,0.769888
56,0.037378,0.716553
57,0.038221,0.752299
58,0.035019,0.743886
59,0.035483,0.729494
60,0.034828,0.746016
61,0.035506,0.688088
62,0.035285,0.694068
63,0.034019,0.700738
64,0.033833,0.710092
65,0.035288,0.728968
66,0.034345,0.678108
67,0.035783,0.657131
68,0.032809,0.701670
69,0.032829,0.683214
70,0.034947,0.667388
71,0.033096,0.637400
72,0.031984,0.694591
73,0.033083,0.705868
74,0.033203,0.676909
75,0.034511,0.748020
76,0.032177,0.678541
77,0.032145,0.676063
78,0.031629,0.647334
79,0.031697,0.637483
80,0.031666,0.651139
81,0.030987,0.668599
82,0.031493,0.716698
83,0.031103,0.657213
84,0.030636,0.637787
85,0.030258,0.652281
86,0.030153,0.617545
87,0.030291,0.698522
88,0.029308,0.666171
89,0.032769,0.711389
90,0.029310,0.625562
91,0.028761,0.694003
92,0.029228,0.642902
93,0.031951,0.672962
94,0.030364,0.678126
95,0.029033,0.704071
96,0.029906,0.646042
97,0.029465,0.687608
98,0.029160,0.662778
99,0.028516,0.736811
100,0.032089,0.647234
101,0.030851,0.562068
102,0.031520,0.594298
103,0.027947,0.626178
104,0.027747,0.655714
105,0.027770,0.625285
106,0.027818,0.604657
107,0.028670,0.641771
108,0.028743,0.640181
109,0.038090,0.622607
110,0.031982,0.623470
111,0.030173,0.668356
112,0.027654,0.649342
113,0.028321,0.630015
114,0.028594,0.628963
115,0.027405,0.610353
116,0.027411,0.738208
117,0.027066,0.654262
118,0.027965,0.694287
119,0.027095,0.623762
120,0.027664,0.808366
121,0.027273,0.729745
122,0.029944,0.662712
123,0.030734,0.568376
124,0.027173,0.649195
125,0.026541,0.642029
126,0.026577,0.619578
127,0.027423,0.643205
128,0.026708,0.758254
129,0.027217,0.783081
130,0.025891,0.740187
131,0.027443,0.655125
132,0.026409,0.677589
133,0.026792,0.774374
134,0.026999,0.625671
135,0.029055,0.676356
136,0.027185,0.586409
137,0.025840,0.603521
138,0.026730,0.822098
139,0.027567,0.623422
140,0.028725,0.665114
141,0.025825,0.589807
142,0.025769,0.733274
143,0.028354,0.561763
144,0.030021,0.553979
145,0.026570,0.568429
146,0.026862,0.560263
147,0.027480,0.733747
148,0.025851,0.853885
149,0.026755,0.578352
150,0.025613,0.569959
151,0.025642,0.581740
152,0.025639,0.925590
153,0.026289,0.682411
154,0.024944,0.560614
155,0.025583,0.649844
156,0.025624,0.590919
157,0.027179,0.560290
158,0.029220,0.893853
159,0.027713,0.619071
160,0.026283,0.589946
161,0.024839,0.580957
162,0.024490,0.669053
163,0.024935,0.671341
164,0.024589,0.735420
165,0.025424,0.831376
166,0.024883,0.916862
167,0.025469,0.595180
168,0.026506,0.639507
169,0.024890,0.674312
170,0.024907,0.590568
171,0.025817,0.615708
172,0.025584,0.684656
173,0.024948,0.828036
174,0.025879,0.741220
175,0.026267,0.569651
176,0.025850,0.602453
177,0.025729,0.572060
178,0.025362,0.675824
179,0.026012,0.736422
180,0.025815,0.693898
181,0.025175,0.612333
182,0.025304,0.776169
183,0.025345,0.738457
184,0.024846,0.633978
185,0.024465,0.720372
186,0.026666,0.638764
187,0.026938,0.567200
188,0.025411,0.555827
189,0.023960,0.685013
190,0.025433,0.510586
191,0.024898,0.542789
192,0.023455,0.565205
193,0.024336,0.528736
194,0.024788,0.549715
195,0.025335,0.655735
196,0.026003,0.727576
197,0.026265,0.594766
198,0.026128,0.743126
199,0.025843,0.800375
200,0.042364,0.504092
201,0.046539,0.560457
202,0.031106,0.659564
203,0.026015,0.628440
204,0.024857,0.542612
205,0.023602,0.610943
206,0.023541,0.562236
207,0.024148,0.679425
208,0.024031,0.726960
209,0.024074,0.698438
210,0.023858,0.769765
211,0.024424,0.684476
212,0.024557,0.655895
213,0.024697,0.548105
214,0.024461,0.845573
215,0.024347,0.668623
216,0.023611,0.559039
217,0.024688,0.648908
218,0.023848,0.675151
219,0.023648,0.706075
220,0.023427,0.903307
221,0.024889,0.886059
222,0.024416,0.658844
223,0.023544,0.826383
224,0.023904,0.630352
225,0.024446,0.791688
226,0.024510,0.632842
227,0.023663,0.757023
228,0.024979,0.809662
229,0.023948,0.860224
230,0.024061,0.854166
231,0.024321,0.618976
232,0.023856,0.653587
233,0.035947,1.056907
234,0.163401,0.562766
235,0.083160,0.655430
236,0.055018,0.599852
237,0.041988,0.609055
238,0.036244,0.575134
239,0.032224,0.566916
240,0.029602,0.597526
241,0.030644,0.607273
242,0.029912,0.605460
243,0.027652,0.564344
244,0.026666,0.652663
245,0.026123,0.714480
246,0.027338,0.559794
247,0.027818,0.716957
248,0.025420,0.609592
249,0.024332,0.688235
250,0.024559,0.626805
