epoch,train_loss,val_loss
1,0.532572,0.473310
2,0.324881,0.361974
3,0.267211,0.400998
4,0.246773,0.401342
5,0.237996,0.411381
6,0.232332,0.438856
7,0.228850,0.445964
8,0.223832,0.447977
9,0.218191,0.523391
10,0.211591,0.487031
11,0.204218,0.553083
12,0.199116,0.598548
13,0.193343,0.589697
14,0.186505,0.648551
15,0.182443,0.612106
16,0.177961,0.590217
17,0.174129,0.593274
18,0.170465,0.585552
19,0.167566,0.622603
20,0.163447,0.642988
21,0.158502,0.669489
22,0.155391,0.596771
23,0.147472,0.643800
24,0.146992,0.581154
25,0.143057,0.620031
26,0.137679,0.636563
27,0.138923,0.614435
28,0.134320,0.611859
29,0.133695,0.700310
30,0.133896,0.602175
31,0.130995,0.569322
32,0.130585,0.586194
33,0.129843,0.609891
34,0.132926,0.664244
35,0.130294,0.615442
36,0.125664,0.642280
37,0.124054,0.658614
38,0.122520,0.559683
39,0.121517,0.616802
40,0.119107,0.621818
41,0.120432,0.594922
42,0.122574,0.617487
43,0.117282,0.633633
44,0.113915,0.586402
45,0.111474,0.647941
46,0.109866,0.643071
47,0.110579,0.617351
48,0.112662,0.654698
49,0.132672,0.683118
50,0.113949,0.637110
51,0.109589,0.607903
52,0.106781,0.619611
53,0.108511,0.623076
54,0.106777,0.576409
55,0.104645,0.612508
56,0.103599,0.594425
57,0.105632,0.622977
58,0.103816,0.603656
59,0.102365,0.606957
60,0.100535,0.532161
61,0.100887,0.585800
62,0.105402,0.532532
63,0.107446,0.581652
64,0.098082,0.579267
65,0.105137,0.479581
66,0.102491,0.549125
67,0.098098,0.605923
68,0.093777,0.692257
69,0.096024,0.526819
70,0.098932,0.532233
71,0.092706,0.545202
72,0.094914,0.573910
73,0.093754,0.562504
74,0.091523,0.487218
75,0.092783,0.496586
76,0.093876,0.528005
77,0.090273,0.527012
78,0.097493,0.474937
79,0.092066,0.532334
80,0.085793,0.511056
81,0.089513,0.531040
82,0.086858,0.544666
83,0.089824,0.565741
84,0.099263,0.588194
85,0.086810,0.544714
86,0.086615,0.567769
87,0.084412,0.536995
88,0.086422,0.488347
89,0.084477,0.501847
90,0.086042,0.460849
91,0.081544,0.486175
92,0.090100,0.509994
93,0.084779,0.436221
94,0.078302,0.405011
95,0.079748,0.460539
96,0.078720,0.473338
97,0.082758,0.447530
98,0.073782,0.459123
99,0.073736,0.541327
100,0.075634,0.478463
101,0.082820,0.431124
102,0.080706,0.404763
103,0.072862,0.418705
104,0.071943,0.432844
105,0.068522,0.402065
106,0.071442,0.446071
107,0.068723,0.417561
108,0.068703,0.482171
109,0.071418,0.412083
110,0.075558,0.480618
111,0.068355,0.434121
112,0.069308,0.440717
113,0.071148,0.416884
114,0.067466,0.456819
115,0.063017,0.443394
116,0.066599,0.449489
117,0.066126,0.411724
118,0.065277,0.502999
119,0.067428,0.444635
120,0.064223,0.478300
121,0.062388,0.445523
122,0.060630,0.437910
123,0.060736,0.479443
124,0.063238,0.462272
125,0.061187,0.471072
126,0.063178,0.429830
127,0.068644,0.434564
128,0.064609,0.422136
129,0.062202,0.474167
130,0.064114,0.445872
131,0.062224,0.424397
132,0.065630,0.448926
133,0.061818,0.500831
134,0.065484,0.419430
135,0.070767,0.456125
136,0.063965,0.443639
137,0.058998,0.428030
138,0.060647,0.445699
139,0.064612,0.439804
140,0.064058,0.438886
141,0.060082,0.437814
142,0.057467,0.431174
143,0.057961,0.415963
144,0.059348,0.452631
145,0.058989,0.454283
146,0.058984,0.412027
147,0.058912,0.452796
148,0.057310,0.438228
149,0.055065,0.432280
150,0.059778,0.440654
151,0.069057,0.434209
152,0.065692,0.422142
153,0.057347,0.443029
154,0.056290,0.459409
155,0.061776,0.441445
