epoch,train_loss,val_loss
1,0.504414,0.520252
2,0.309423,0.392739
3,0.262412,0.399163
4,0.242040,0.424264
5,0.232290,0.450395
6,0.223612,0.532562
7,0.212575,0.533150
8,0.200752,0.644904
9,0.197076,0.725839
10,0.184776,0.740312
11,0.174061,0.735556
12,0.162408,0.628968
13,0.153716,0.632707
14,0.141146,0.612137
15,0.141936,0.635514
16,0.136561,0.623006
17,0.132971,0.644385
18,0.124621,0.675605
19,0.126937,0.630416
20,0.127111,0.664131
21,0.122233,0.750447
22,0.113601,0.698569
23,0.108380,0.692339
24,0.103203,0.700581
25,0.110381,0.715898
26,0.104199,0.715282
27,0.099393,0.812097
28,0.103858,0.830634
29,0.105321,0.820786
30,0.095053,0.777262
31,0.094018,0.743880
32,0.094518,0.751956
33,0.100801,0.837210
34,0.087034,0.801606
35,0.087331,0.804536
36,0.088171,0.859976
37,0.081953,0.849317
38,0.079274,0.798828
39,0.076729,0.818066
40,0.090955,0.792912
41,0.079433,0.852057
42,0.075982,0.814435
43,0.071899,0.883859
44,0.071982,0.871365
45,0.077317,0.819410
46,0.079380,0.833522
47,0.073978,0.849249
48,0.068886,0.867296
49,0.068861,0.860704
50,0.074078,0.882327
51,0.077847,0.861290
52,0.069721,0.923840
53,0.066483,0.823151
54,0.062568,0.848421
55,0.065125,0.871237
56,0.061840,0.840132
57,0.065846,0.890234
58,0.058005,0.858279
59,0.059481,0.881650
60,0.064154,0.866763
61,0.063073,0.890483
62,0.063482,0.815171
63,0.060266,0.855315
64,0.055835,0.923746
65,0.055659,0.908450
66,0.057458,0.944107
67,0.055430,0.935806
68,0.052947,0.909385
69,0.054550,0.830110
70,0.054975,0.857856
71,0.052442,0.889559
72,0.058010,0.885618
73,0.053857,0.915083
74,0.052147,0.879912
75,0.049115,0.884875
76,0.051339,0.870906
77,0.051130,0.899035
78,0.052137,0.869789
79,0.049518,0.919595
80,0.048737,0.813645
