epoch,train_loss,val_loss
1,0.504879,0.437475
2,0.282289,0.456950
3,0.251236,0.422789
4,0.233080,0.444380
5,0.221848,0.509868
6,0.216519,0.572424
7,0.202262,0.651686
8,0.190721,0.713983
9,0.180660,0.827160
10,0.168841,0.779229
11,0.157680,0.571358
12,0.146492,0.638908
13,0.143147,0.557321
14,0.135654,0.504258
15,0.134587,0.548449
16,0.125412,0.485533
17,0.125114,0.548540
18,0.120246,0.514018
19,0.113992,0.423826
20,0.111578,0.405951
21,0.108908,0.425023
22,0.108497,0.441658
23,0.103465,0.434857
24,0.098273,0.472107
25,0.094140,0.513020
26,0.088577,0.557520
27,0.089803,0.503580
28,0.082507,0.522892
29,0.077875,0.493206
30,0.076999,0.538124
31,0.074675,0.517329
32,0.075201,0.510637
33,0.072049,0.580537
34,0.068701,0.544150
35,0.064414,0.552916
36,0.067210,0.499014
37,0.070751,0.606822
38,0.065738,0.526340
39,0.062358,0.529756
40,0.060243,0.550995
41,0.058792,0.554714
42,0.056477,0.516624
43,0.057699,0.532065
44,0.055594,0.556686
45,0.054165,0.527198
46,0.058364,0.521852
47,0.053799,0.562113
48,0.056620,0.481823
49,0.054512,0.523092
50,0.051374,0.476128
51,0.049053,0.535266
52,0.048438,0.534422
53,0.045717,0.523547
54,0.047020,0.491154
55,0.048206,0.519347
56,0.046941,0.521547
57,0.050642,0.518072
58,0.046893,0.489757
59,0.048180,0.507744
60,0.047525,0.476886
61,0.043191,0.515478
62,0.042631,0.529021
63,0.040629,0.520924
64,0.040816,0.499973
65,0.041617,0.499778
66,0.038891,0.497640
67,0.040196,0.514281
68,0.039975,0.527084
69,0.039191,0.525851
70,0.040346,0.514531
71,0.038809,0.524946
72,0.037965,0.532322
73,0.039178,0.517153
74,0.041368,0.511509
75,0.037067,0.507909
76,0.036188,0.537800
77,0.035670,0.524839
78,0.039046,0.536765
79,0.035278,0.529405
80,0.033967,0.501262
