epoch,train_loss,val_loss
1,0.547657,0.476266
2,0.309642,0.401362
3,0.258832,0.442551
4,0.238122,0.433365
5,0.223420,0.435355
6,0.216451,0.466550
7,0.208048,0.629265
8,0.195785,0.739765
9,0.180436,0.722299
10,0.167546,0.616385
11,0.153657,0.671439
12,0.142172,0.690314
13,0.136570,0.654646
14,0.133393,0.590926
15,0.125360,0.699917
16,0.118988,0.665598
17,0.118370,0.701310
18,0.114513,0.713064
19,0.103062,0.764441
20,0.099298,0.773348
21,0.095582,0.750580
22,0.092497,0.825766
23,0.089499,0.751445
24,0.089249,0.804193
25,0.085617,0.837930
26,0.082944,0.830415
27,0.079821,0.847184
28,0.077361,0.816743
29,0.068846,0.872003
30,0.069408,0.901711
31,0.064612,0.825692
32,0.071944,0.907258
33,0.067300,0.913281
34,0.073144,0.918525
35,0.071126,0.861565
36,0.059850,0.908011
37,0.068306,0.842726
38,0.054122,0.956915
39,0.055793,0.945492
40,0.052640,0.965111
41,0.055722,0.940921
42,0.049215,0.938676
43,0.047072,0.989111
44,0.047806,0.965529
45,0.046179,1.000067
46,0.047076,1.012863
47,0.047100,1.051767
48,0.048961,0.984848
49,0.045482,1.051487
50,0.044579,1.106035
51,0.041111,1.070587
52,0.040712,1.090904
53,0.040203,1.079751
54,0.039683,1.038097
55,0.045970,1.075458
56,0.042232,1.070740
57,0.037411,1.081647
58,0.035871,1.101570
59,0.035771,1.110543
60,0.036388,1.099977
61,0.035354,1.075137
62,0.034751,1.090476
63,0.033039,1.080009
64,0.033282,1.093723
65,0.033033,1.053220
66,0.034974,1.038511
67,0.033884,1.065055
68,0.036411,1.006793
69,0.045587,1.049951
70,0.037439,1.054973
71,0.032166,1.088722
72,0.031672,1.047473
73,0.031603,1.028060
74,0.030367,1.082339
75,0.031066,1.075930
76,0.030355,1.087787
77,0.032550,1.026658
78,0.030086,1.061915
79,0.031017,1.060045
80,0.029764,1.094415
