epoch,train_loss,val_loss
1,0.709964,0.501803
2,0.361028,0.456672
3,0.341570,0.453586
4,0.336834,0.447955
5,0.334378,0.447439
6,0.332757,0.446010
7,0.332343,0.448338
8,0.331793,0.448692
9,0.331424,0.449479
10,0.331167,0.452835
11,0.330912,0.451758
12,0.330354,0.458149
13,0.330129,0.450380
14,0.329283,0.453192
15,0.328155,0.460513
16,0.327343,0.466069
17,0.326097,0.468800
18,0.324051,0.476169
19,0.321205,0.484395
20,0.317656,0.494346
21,0.313133,0.499009
22,0.306456,0.539877
23,0.299365,0.537706
24,0.291319,0.563719
25,0.284173,0.602239
26,0.278360,0.602264
27,0.274859,0.615608
28,0.281835,0.672097
29,0.277409,0.593511
30,0.270842,0.601262
31,0.268906,0.636622
32,0.266916,0.656383
33,0.266940,0.613208
34,0.266235,0.664807
35,0.265680,0.631454
36,0.266601,0.599281
37,0.263313,0.610914
38,0.264215,0.611309
39,0.265060,0.591593
40,0.262496,0.582967
41,0.266136,0.644730
42,0.262488,0.596120
43,0.262730,0.615447
44,0.260563,0.582937
45,0.261275,0.604107
46,0.265002,0.628980
47,0.265292,0.586685
48,0.261399,0.590658
49,0.262840,0.588522
50,0.260510,0.582524
51,0.259557,0.603654
52,0.262782,0.580199
53,0.258891,0.587642
54,0.261872,0.577366
55,0.260958,0.602963
56,0.260467,0.578397
57,0.260146,0.601326
58,0.259829,0.620173
59,0.259673,0.620420
60,0.258009,0.612888
61,0.258523,0.602475
62,0.259065,0.587872
63,0.259979,0.587704
64,0.259996,0.607518
65,0.257972,0.587174
66,0.260957,0.621674
67,0.259418,0.610917
68,0.258615,0.607035
69,0.258630,0.593020
70,0.258455,0.585953
71,0.259278,0.605092
72,0.260853,0.590764
73,0.258773,0.600147
74,0.259297,0.580183
75,0.265432,0.601988
76,0.265131,0.580947
77,0.257611,0.604316
78,0.257082,0.629865
79,0.257749,0.586110
80,0.259122,0.600912
81,0.257343,0.612881
82,0.259989,0.576243
83,0.257327,0.576512
84,0.257283,0.621158
85,0.263179,0.576528
86,0.258662,0.599369
87,0.257855,0.601655
88,0.258061,0.610727
89,0.259980,0.589346
90,0.261786,0.588590
91,0.256694,0.592087
92,0.259646,0.578881
93,0.256784,0.597427
94,0.256482,0.603024
95,0.255729,0.602495
96,0.256771,0.622027
97,0.260456,0.602579
98,0.259816,0.587224
99,0.261533,0.584387
100,0.257108,0.572998
