epoch,train_loss,val_loss
1,0.505793,0.489937
2,0.268595,0.430261
3,0.230932,0.520259
4,0.212411,0.614554
5,0.195653,0.468729
6,0.166476,0.474098
7,0.139952,0.514385
8,0.129597,0.474238
9,0.117126,0.401153
10,0.113224,0.499842
11,0.112049,0.406107
12,0.091468,0.367195
13,0.079180,0.390604
14,0.071577,0.391257
15,0.062827,0.357635
16,0.057490,0.334794
17,0.056461,0.378483
18,0.052516,0.398237
19,0.048791,0.366051
20,0.045062,0.421124
21,0.040429,0.407794
22,0.046281,0.371992
23,0.058013,0.457475
24,0.041689,0.404207
25,0.039238,0.373298
26,0.047557,0.354173
27,0.038005,0.391832
28,0.033891,0.386324
29,0.031901,0.377350
30,0.032253,0.381154
31,0.032988,0.390859
32,0.033151,0.431749
33,0.034436,0.405616
34,0.036894,0.396265
35,0.033742,0.394264
36,0.030169,0.413832
37,0.030042,0.401084
38,0.029989,0.403543
39,0.043461,0.429867
40,0.077029,0.404685
41,0.047527,0.410073
42,0.043999,0.462971
43,0.038284,0.381968
44,0.030432,0.402699
45,0.027556,0.437746
46,0.026959,0.415741
47,0.027513,0.409595
48,0.027741,0.416829
49,0.027773,0.430311
50,0.026936,0.426111
51,0.031355,0.454253
52,0.044936,0.419646
53,0.036607,0.430903
54,0.029571,0.428874
55,0.027562,0.462627
56,0.027106,0.457780
57,0.026107,0.465856
58,0.026142,0.444201
59,0.027482,0.430939
60,0.025732,0.516838
61,0.027409,0.445394
62,0.029257,0.399624
63,0.035458,0.435504
64,0.030024,0.420330
65,0.027156,0.461672
66,0.026686,0.457526
67,0.025279,0.445539
68,0.025097,0.459549
69,0.025721,0.472985
70,0.025489,0.451931
71,0.024559,0.459427
72,0.026256,0.408583
73,0.029665,0.430771
74,0.026816,0.468019
75,0.025515,0.457636
76,0.024696,0.452792
77,0.024986,0.472974
78,0.028010,0.485920
79,0.039713,0.597578
80,0.045035,0.424904
