epoch,train_loss,val_loss
1,0.444534,0.420512
2,0.251908,0.530195
3,0.217823,0.613087
4,0.196045,0.657515
5,0.169422,0.638150
6,0.144940,0.571161
7,0.190953,0.484990
8,0.154651,0.496382
9,0.139683,0.464186
10,0.116198,0.506371
11,0.095632,0.532650
12,0.089170,0.539005
13,0.088089,0.478142
14,0.072648,0.576534
15,0.071321,0.460666
16,0.071675,0.485196
17,0.061098,0.470974
18,0.051627,0.454037
19,0.053264,0.470045
20,0.048627,0.442020
21,0.052009,0.465437
22,0.048370,0.486176
23,0.044586,0.468730
24,0.045628,0.479661
25,0.049808,0.539596
26,0.048324,0.443460
27,0.044009,0.457733
28,0.036808,0.460772
29,0.040108,0.439291
30,0.035729,0.456850
31,0.033383,0.479862
32,0.034921,0.479583
33,0.032319,0.480334
34,0.029889,0.460071
35,0.043030,0.459497
36,0.089611,0.441505
37,0.051023,0.469253
38,0.110347,0.518193
39,0.057469,0.472940
40,0.039548,0.468337
41,0.033243,0.468401
42,0.031713,0.500485
43,0.030640,0.479879
44,0.031361,0.486786
45,0.030401,0.471323
46,0.030363,0.464773
47,0.028927,0.462533
48,0.028511,0.472463
49,0.038168,0.438156
50,0.045534,0.454700
51,0.033452,0.470644
52,0.030355,0.461785
53,0.028416,0.449959
54,0.028146,0.485656
55,0.032065,0.463746
56,0.029217,0.495433
57,0.030306,0.516173
58,0.043759,0.468066
59,0.067972,0.466310
60,0.097644,0.516030
61,0.094361,0.430625
62,0.043205,0.466058
63,0.034236,0.438049
64,0.029128,0.448328
65,0.029546,0.449776
66,0.027958,0.450887
67,0.027232,0.452163
68,0.027374,0.468791
69,0.028289,0.485374
70,0.030677,0.471349
71,0.030099,0.462617
72,0.029224,0.478968
73,0.028257,0.486163
74,0.029514,0.466072
75,0.028796,0.454391
76,0.026380,0.452358
77,0.027851,0.447914
78,0.033259,0.502309
79,0.029779,0.455158
80,0.026679,0.488198
81,0.029876,0.489452
82,0.029046,0.458755
83,0.032727,0.503394
84,0.029170,0.480540
85,0.027401,0.470309
86,0.032755,0.519440
87,0.029208,0.484050
88,0.028170,0.508854
89,0.027130,0.483758
90,0.025950,0.511818
91,0.198601,0.454508
92,0.253029,0.598161
93,0.160472,0.661037
94,0.136977,0.572877
95,0.105357,0.583511
96,0.084661,0.463719
97,0.079692,0.511004
98,0.072755,0.507049
99,0.064631,0.516215
100,0.056022,0.477174
101,0.050878,0.527194
102,0.045853,0.487907
103,0.045528,0.528529
104,0.044429,0.460553
105,0.051763,0.477441
106,0.041651,0.503394
107,0.041598,0.491450
108,0.040271,0.452132
109,0.039643,0.495837
110,0.037403,0.521627
111,0.038999,0.540153
