epoch,train_loss,val_loss
1,0.438991,0.374468
2,0.257162,0.404247
3,0.228209,0.387223
4,0.217821,0.476666
5,0.200641,0.700444
6,0.182823,0.544083
7,0.155620,0.444776
8,0.133984,0.617630
9,0.142743,0.758506
10,0.156047,0.681050
11,0.122781,0.642835
12,0.116867,0.487445
13,0.116265,0.426249
14,0.118284,0.473902
15,0.105911,0.465753
16,0.096208,0.449028
17,0.087466,0.524246
18,0.080277,0.553485
19,0.082804,0.477330
20,0.072253,0.417418
21,0.067242,0.475411
22,0.066482,0.479068
23,0.063119,0.410201
24,0.056755,0.439060
25,0.054858,0.417828
26,0.055648,0.426440
27,0.046697,0.457651
28,0.049852,0.443320
29,0.052887,0.450164
30,0.046366,0.470770
31,0.046824,0.461917
32,0.041948,0.475087
33,0.039162,0.460160
34,0.040622,0.432529
35,0.041736,0.443323
36,0.039548,0.476740
37,0.049249,0.479873
38,0.041939,0.467590
39,0.038278,0.475534
40,0.039072,0.469583
41,0.035756,0.468548
42,0.036149,0.456397
43,0.038804,0.472040
44,0.042458,0.426861
45,0.037079,0.451169
46,0.035087,0.447526
47,0.034920,0.471686
48,0.035816,0.506546
49,0.034678,0.480377
50,0.033470,0.506707
51,0.034758,0.491636
52,0.037503,0.427757
53,0.037202,0.448691
54,0.038247,0.471456
55,0.035879,0.468273
56,0.032639,0.470101
57,0.032412,0.498598
58,0.035966,0.486322
59,0.036126,0.496559
60,0.035133,0.477537
61,0.053103,0.522285
62,0.047605,0.516765
63,0.036862,0.492298
64,0.032060,0.510780
65,0.032160,0.537883
66,0.031677,0.499014
67,0.034359,0.521075
68,0.034494,0.512544
69,0.031906,0.520679
70,0.030935,0.509216
71,0.032496,0.486319
72,0.031628,0.537623
73,0.030297,0.530309
74,0.031605,0.530805
75,0.046321,0.579243
76,0.066730,0.491560
77,0.043624,0.541927
78,0.031633,0.511598
79,0.030375,0.502363
80,0.029973,0.539546
