epoch,train_loss,val_loss
1,0.386734,0.424525
2,0.241707,0.565408
3,0.221648,0.542272
4,0.208889,0.581861
5,0.191409,0.903183
6,0.177277,0.847672
7,0.163623,0.741111
8,0.143804,0.828684
9,0.132441,0.791397
10,0.127371,0.827010
11,0.121329,0.711716
12,0.111380,0.736123
13,0.107992,0.676860
14,0.104385,0.801601
15,0.093792,0.721265
16,0.087249,0.656729
17,0.077079,0.566058
18,0.076150,0.502607
19,0.078517,0.586516
20,0.074740,0.601959
21,0.063387,0.609928
22,0.059517,0.534143
23,0.056586,0.541195
24,0.058265,0.511218
25,0.051736,0.554853
26,0.046084,0.593698
27,0.051380,0.447235
28,0.046569,0.521925
29,0.047312,0.441893
30,0.047338,0.397494
31,0.042730,0.438376
32,0.046572,0.468802
33,0.049768,0.503766
34,0.046602,0.409057
35,0.038842,0.418947
36,0.037029,0.477591
37,0.034955,0.445805
38,0.037017,0.415776
39,0.038476,0.438455
40,0.034655,0.446921
41,0.034541,0.430882
42,0.031487,0.446584
43,0.031071,0.414235
44,0.033815,0.454684
45,0.032967,0.427445
46,0.034825,0.407536
47,0.033394,0.456611
48,0.032758,0.427616
49,0.031353,0.476682
50,0.033795,0.406193
51,0.029715,0.397997
52,0.027622,0.437447
53,0.029402,0.409266
54,0.030613,0.406856
55,0.030051,0.403254
56,0.048021,0.650963
57,0.065572,0.484724
58,0.046172,0.434939
59,0.034084,0.396083
60,0.029590,0.410538
61,0.029354,0.395355
62,0.027317,0.398442
63,0.026453,0.409165
64,0.027111,0.397234
65,0.025212,0.395533
66,0.025425,0.410663
67,0.025567,0.411840
68,0.025129,0.388908
69,0.026013,0.425677
70,0.027683,0.406747
71,0.027158,0.439396
72,0.025634,0.408866
73,0.026026,0.398896
74,0.024986,0.420251
75,0.028577,0.431090
76,0.027279,0.434994
77,0.025203,0.410555
78,0.025156,0.400037
79,0.025751,0.401687
80,0.025187,0.404018
81,0.023977,0.404413
82,0.025281,0.407954
83,0.028227,0.394957
84,0.028621,0.423498
85,0.025709,0.404718
86,0.027183,0.371610
87,0.033421,0.380486
88,0.032666,0.415790
89,0.027157,0.399001
90,0.023728,0.403914
91,0.023457,0.389270
92,0.024158,0.387978
93,0.023288,0.421760
94,0.023678,0.404060
95,0.025069,0.423828
96,0.027104,0.405520
97,0.037864,0.418439
98,0.035085,0.422204
99,0.026893,0.401085
100,0.024787,0.391551
101,0.023286,0.420703
102,0.024942,0.444572
103,0.023711,0.418839
104,0.023056,0.419454
105,0.022793,0.427223
106,0.022172,0.410448
107,0.023176,0.430420
108,0.023593,0.413782
109,0.025343,0.428033
110,0.023303,0.420111
111,0.023483,0.404935
112,0.023001,0.409019
113,0.023673,0.423160
114,0.022871,0.398107
115,0.023427,0.428420
116,0.036509,0.416233
117,0.028650,0.410651
118,0.024558,0.423375
119,0.024499,0.411517
120,0.023267,0.389351
121,0.024414,0.411003
122,0.025880,0.412303
123,0.036456,0.423808
124,0.025215,0.413098
125,0.022863,0.426835
126,0.021945,0.414201
127,0.021360,0.402128
128,0.025073,0.414571
129,0.025369,0.410700
130,0.024090,0.410552
131,0.022577,0.394935
132,0.022141,0.423195
133,0.026183,0.474834
134,0.113279,0.487922
135,0.065921,0.427728
136,0.039678,0.429721
