epoch,train_loss,val_loss
1,0.301740,0.389248
2,0.206704,0.424884
3,0.174586,0.475178
4,0.151533,0.429895
5,0.144480,0.436266
6,0.139034,0.477110
7,0.133534,0.467455
8,0.139022,0.422579
9,0.121873,0.400971
10,0.119535,0.424401
11,0.115036,0.387619
12,0.118077,0.444394
13,0.111442,0.416020
14,0.108708,0.388223
15,0.102010,0.429150
16,0.107740,0.401706
17,0.100927,0.425582
18,0.097772,0.392945
19,0.089969,0.403094
20,0.089230,0.409706
21,0.090229,0.405447
22,0.087935,0.389090
23,0.079044,0.401742
24,0.078624,0.433019
25,0.082122,0.449367
26,0.083778,0.415719
27,0.080759,0.450784
28,0.078414,0.442013
29,0.079766,0.436449
30,0.069835,0.410539
31,0.075952,0.411324
32,0.072662,0.439185
33,0.069411,0.450921
34,0.066927,0.454036
35,0.068582,0.422857
36,0.070257,0.481383
37,0.065617,0.562095
38,0.070472,0.461721
39,0.068178,0.513710
40,0.064646,0.504658
41,0.060001,0.530713
42,0.062873,0.660088
43,0.070423,0.538566
44,0.059532,0.547493
45,0.060514,0.546271
46,0.058190,0.436201
47,0.059459,0.585942
48,0.060761,0.471943
49,0.069721,0.476575
50,0.057160,0.535104
51,0.060935,0.485913
52,0.067454,0.542629
53,0.057733,0.521596
54,0.062443,0.546998
55,0.058878,0.515470
56,0.059784,0.510500
57,0.057380,0.525288
58,0.058727,0.525814
59,0.060368,0.506939
60,0.067268,0.472720
61,0.073390,0.530696
62,0.060055,0.476698
63,0.058038,0.521772
64,0.054523,0.511708
65,0.062456,0.505135
66,0.055204,0.506792
67,0.058981,0.517997
68,0.055511,0.474206
69,0.055296,0.527673
70,0.055332,0.500796
71,0.067143,0.494801
72,0.052642,0.516415
73,0.055018,0.508804
74,0.055278,0.524627
75,0.061824,0.520683
76,0.051105,0.504085
77,0.057375,0.523983
78,0.051461,0.507685
79,0.054257,0.521377
80,0.058320,0.462231
