epoch,train_loss,val_loss
1,0.414476,0.381026
2,0.248954,0.421817
3,0.223140,0.538193
4,0.204568,0.690385
5,0.187432,0.733277
6,0.167913,0.703191
7,0.145507,0.751116
8,0.134633,0.707653
9,0.125585,0.668314
10,0.110135,0.642607
11,0.103216,0.567638
12,0.094473,0.482174
13,0.084106,0.458201
14,0.072711,0.485884
15,0.063404,0.491160
16,0.060425,0.497706
17,0.058171,0.455400
18,0.050265,0.462040
19,0.047553,0.534857
20,0.045773,0.480362
21,0.042805,0.454152
22,0.040311,0.425677
23,0.035633,0.499807
24,0.035421,0.441248
25,0.036882,0.499481
26,0.038033,0.433196
27,0.032598,0.429515
28,0.031949,0.467202
29,0.030761,0.547018
30,0.031337,0.464122
31,0.030402,0.483256
32,0.029144,0.464461
33,0.029765,0.460315
34,0.032006,0.439717
35,0.028816,0.499795
36,0.028740,0.468446
37,0.027569,0.438422
38,0.028582,0.402573
39,0.026961,0.433575
40,0.026815,0.424489
41,0.027814,0.417834
42,0.027910,0.456809
43,0.027221,0.453121
44,0.026751,0.442282
45,0.025457,0.436645
46,0.025007,0.449640
47,0.026783,0.434579
48,0.027391,0.432842
49,0.025860,0.440881
50,0.026456,0.479485
51,0.027094,0.431842
52,0.025012,0.457935
53,0.026921,0.429614
54,0.035108,0.416898
55,0.028951,0.420032
56,0.028730,0.478529
57,0.031084,0.441748
58,0.028076,0.445077
59,0.024289,0.443304
60,0.024186,0.435649
61,0.023590,0.443431
62,0.024454,0.447560
63,0.023759,0.427472
64,0.024033,0.469704
65,0.024199,0.432329
66,0.023451,0.468335
67,0.023920,0.443255
68,0.022947,0.489770
69,0.025140,0.437713
70,0.023419,0.466319
71,0.023594,0.478082
72,0.023026,0.455284
73,0.023176,0.449394
74,0.023147,0.445021
75,0.023861,0.455849
76,0.022730,0.455814
77,0.023868,0.494472
78,0.023932,0.508603
79,0.023679,0.472818
80,0.022911,0.463026
81,0.023332,0.471180
82,0.022828,0.487460
83,0.024348,0.467959
84,0.023699,0.493408
85,0.023985,0.509471
86,0.022653,0.477998
87,0.025312,0.474133
88,0.023619,0.466030
