epoch,train_loss,val_loss
1,0.449769,0.437616
2,0.275592,0.385775
3,0.239645,0.403103
4,0.215354,0.612043
5,0.190367,0.531051
6,0.173378,0.621752
7,0.154195,0.616398
8,0.153966,0.554381
9,0.145214,0.584724
10,0.134893,0.617308
11,0.128176,0.592372
12,0.123231,0.587471
13,0.122348,0.572988
14,0.131577,0.597518
15,0.120839,0.640476
16,0.109163,0.697825
17,0.110675,0.626129
18,0.108199,0.750336
19,0.101345,0.722075
20,0.106980,0.787676
21,0.114932,0.706675
22,0.112766,0.792251
23,0.099595,0.810377
24,0.101450,0.785207
25,0.097895,0.805694
26,0.088438,0.796414
27,0.084552,0.918131
28,0.087441,0.852560
29,0.099620,0.752797
30,0.080475,0.866944
31,0.086206,0.876916
32,0.080953,0.887505
33,0.080928,0.818771
34,0.078787,0.828516
35,0.084276,0.759779
36,0.071088,0.836471
37,0.076988,0.855298
38,0.073690,0.856710
39,0.086962,0.789440
40,0.083118,0.761372
41,0.086358,0.769638
42,0.072177,0.791193
43,0.066598,0.753908
44,0.066351,0.789830
45,0.062718,0.736435
46,0.062544,0.765720
47,0.065683,0.760570
48,0.066358,0.909100
49,0.085246,0.763551
50,0.060598,0.816079
51,0.060196,0.827468
52,0.057343,0.821357
53,0.059426,0.782680
54,0.061344,0.837797
55,0.061544,0.884451
56,0.060480,0.821582
57,0.056848,0.852897
58,0.057358,0.735873
59,0.073695,0.792158
60,0.059631,0.739386
61,0.063606,0.799662
62,0.062595,0.777311
63,0.058135,0.742118
64,0.053814,0.753030
65,0.053232,0.687916
66,0.054826,0.611168
67,0.052007,0.756240
68,0.050886,0.710194
69,0.078462,0.662769
70,0.059553,0.720734
71,0.054669,0.690523
72,0.057515,0.609687
73,0.066724,0.631580
74,0.052858,0.755622
75,0.049167,0.716107
76,0.050255,0.682010
77,0.049728,0.734832
78,0.047640,0.662761
79,0.047588,0.707249
80,0.050149,0.598372
