epoch,train_loss,val_loss
1,0.287456,0.592926
2,0.194329,0.643920
3,0.153997,0.793129
4,0.127751,0.560954
5,0.107697,0.541828
6,0.109819,0.529382
7,0.109550,0.391202
8,0.082402,0.360116
9,0.074209,0.373515
10,0.086934,0.349046
11,0.063358,0.421644
12,0.054427,0.415765
13,0.059973,0.412541
14,0.053320,0.417943
15,0.047946,0.372244
16,0.055502,0.418177
17,0.044690,0.438951
18,0.044130,0.424602
19,0.041196,0.422054
20,0.060945,0.444043
21,0.048036,0.420670
22,0.039674,0.403841
23,0.040623,0.425910
24,0.038448,0.430749
25,0.036788,0.432829
26,0.034296,0.433880
27,0.041349,0.437529
28,0.036321,0.421064
29,0.034718,0.427355
30,0.035853,0.428613
31,0.038476,0.458118
32,0.036291,0.442950
33,0.035351,0.459721
34,0.034199,0.469685
35,0.034526,0.460371
36,0.032583,0.447815
37,0.046898,0.434659
38,0.055655,0.427961
39,0.034493,0.399470
40,0.035009,0.443782
41,0.033993,0.451975
42,0.037360,0.481440
43,0.035980,0.461827
44,0.034664,0.466370
45,0.032155,0.448393
46,0.031252,0.468334
47,0.030985,0.467111
48,0.029832,0.458685
49,0.031449,0.478612
50,0.033062,0.485231
51,0.036315,0.495770
52,0.031376,0.458314
53,0.030397,0.471267
54,0.038168,0.457387
55,0.057402,0.476929
56,0.028836,0.474922
57,0.030448,0.485190
58,0.029292,0.464982
59,0.028873,0.469528
60,0.031844,0.499985
61,0.031222,0.487014
62,0.030916,0.563066
63,0.030809,0.464961
64,0.031058,0.481547
65,0.035316,0.442140
66,0.036814,0.452986
67,0.029389,0.502432
68,0.028410,0.489256
69,0.032377,0.491032
70,0.029337,0.512287
71,0.028314,0.485894
72,0.031341,0.505607
73,0.029834,0.515723
74,0.032272,0.504226
75,0.028188,0.511759
76,0.030736,0.527108
77,0.030011,0.493672
78,0.039487,0.461426
79,0.038848,0.505084
80,0.027494,0.511134
