epoch,train_loss,val_loss
1,0.365210,0.408613
2,0.243051,0.379969
3,0.230084,0.394704
4,0.223282,0.499398
5,0.211447,0.618005
6,0.197136,0.587489
7,0.185862,0.568592
8,0.170498,0.587489
9,0.148432,0.663205
10,0.150008,0.529534
11,0.137626,0.535340
12,0.126190,0.491331
13,0.143555,0.586872
14,0.125270,0.546250
15,0.124946,0.527829
16,0.123997,0.457828
17,0.119259,0.467420
18,0.119048,0.552215
19,0.109232,0.457918
20,0.105783,0.659759
21,0.102474,0.489568
22,0.125420,0.541346
23,0.099107,0.544216
24,0.091916,0.696349
25,0.081662,0.547283
26,0.117108,0.521178
27,0.099408,0.473708
28,0.082970,0.419113
29,0.084605,0.586293
30,0.079522,0.569482
31,0.082259,0.607960
32,0.078426,0.568650
33,0.068443,0.564308
34,0.071490,0.523698
35,0.090624,0.533585
36,0.073323,0.396059
37,0.068973,0.479327
38,0.066737,0.496381
39,0.068156,0.392698
40,0.068960,0.412224
41,0.061650,0.539032
42,0.064143,0.443460
43,0.065785,0.593373
44,0.077253,0.511379
45,0.070181,0.601360
46,0.068080,0.463983
47,0.066509,0.450458
48,0.062176,0.483801
49,0.061340,0.549026
50,0.066993,0.644571
51,0.063208,0.503708
52,0.057431,0.509890
53,0.088453,0.446586
54,0.076252,0.477177
55,0.060729,0.517997
56,0.057333,0.503904
57,0.067200,0.429379
58,0.058162,0.479188
59,0.055752,0.451511
60,0.055661,0.461685
61,0.058777,0.449864
62,0.064057,0.486381
63,0.054884,0.420358
64,0.054534,0.466428
65,0.050212,0.480507
66,0.055947,0.454707
67,0.053107,0.455916
68,0.056194,0.554504
69,0.054763,0.469183
70,0.053965,0.447365
71,0.052105,0.439611
72,0.049996,0.417187
73,0.059080,0.473373
74,0.058726,0.420800
75,0.059548,0.451884
76,0.052701,0.404061
77,0.055373,0.395958
78,0.052161,0.457269
79,0.051337,0.432262
80,0.049755,0.432610
81,0.053380,0.456089
82,0.052404,0.420162
83,0.060607,0.477334
84,0.053730,0.433272
85,0.049928,0.425126
86,0.049576,0.456749
87,0.048521,0.441267
88,0.052874,0.405837
89,0.048898,0.412897
