epoch,train_loss,val_loss
1,0.371464,0.453739
2,0.255893,0.421843
3,0.240131,0.423926
4,0.238537,0.368463
5,0.225546,0.389151
6,0.221856,0.407976
7,0.222547,0.398522
8,0.217651,0.380213
9,0.217863,0.398712
10,0.222968,0.387112
11,0.219977,0.401801
12,0.213518,0.394625
13,0.212617,0.365842
14,0.211646,0.398411
15,0.200455,0.418650
16,0.194788,0.613050
17,0.190725,0.539624
18,0.183398,0.655757
19,0.186491,0.609088
20,0.184234,0.615580
21,0.183542,0.506928
22,0.186491,0.548243
23,0.182973,0.576088
24,0.182673,0.764765
25,0.178343,0.762685
26,0.178162,0.681710
27,0.177186,0.529911
28,0.177632,0.570882
29,0.182023,0.547853
30,0.175912,0.611720
31,0.175248,0.681133
32,0.174985,0.760978
33,0.174904,0.881551
34,0.176712,0.644129
35,0.172840,0.716326
36,0.173413,0.676270
37,0.179221,0.676140
38,0.173152,0.723870
39,0.171410,0.934278
40,0.167362,0.871876
41,0.164341,0.746193
42,0.163118,0.610511
43,0.155523,0.599446
44,0.145874,0.699411
45,0.147781,0.912377
46,0.142676,0.923836
47,0.136289,0.646506
48,0.138371,0.693044
49,0.132638,0.877521
50,0.135001,0.989601
51,0.137381,0.793856
52,0.134624,0.810608
53,0.135761,0.630448
54,0.134245,0.946675
55,0.130027,0.729922
56,0.130817,0.661332
57,0.132123,0.719424
58,0.129076,0.831483
59,0.128499,0.697207
60,0.124317,0.711909
61,0.135210,0.723374
62,0.125948,0.810091
63,0.124936,0.803848
64,0.127013,0.863964
65,0.126536,0.705175
66,0.124040,0.742750
67,0.126543,0.724631
68,0.126276,0.723500
69,0.128362,0.805536
70,0.123032,0.827638
71,0.122090,0.819835
72,0.125821,0.851577
73,0.123849,0.882084
74,0.124029,0.665460
75,0.125056,0.901575
76,0.120141,0.752503
77,0.124516,0.785872
78,0.126335,0.885038
79,0.119698,0.720018
80,0.123395,0.851918
81,0.124420,0.938610
82,0.128260,0.855456
83,0.119299,0.664431
84,0.120422,0.723964
85,0.123044,0.852172
86,0.120469,0.709241
87,0.121668,0.690995
88,0.116399,0.855955
89,0.117153,0.842466
90,0.113654,0.785480
91,0.115689,0.785195
92,0.115878,0.888825
93,0.116288,0.662304
