epoch,train_loss,val_loss
1,0.442532,0.496787
2,0.281587,0.406400
3,0.255759,0.422952
4,0.243446,0.420377
5,0.238831,0.469779
6,0.243014,0.546414
7,0.240867,0.437491
8,0.229618,0.479426
9,0.225602,0.497384
10,0.219084,0.505849
11,0.213393,0.742238
12,0.206268,0.747590
13,0.205157,0.701795
14,0.206916,0.651679
15,0.199754,0.629867
16,0.203957,0.702203
17,0.198173,0.583812
18,0.202152,0.664242
19,0.197965,0.605799
20,0.197951,0.702342
21,0.194948,0.660453
22,0.190381,0.721040
23,0.197921,0.712744
24,0.195885,0.697433
25,0.192960,0.635663
26,0.191463,0.630969
27,0.192210,0.718630
28,0.194891,0.682233
29,0.190279,0.665041
30,0.186931,0.857152
31,0.186219,0.678681
32,0.194985,0.734656
33,0.183281,0.659651
34,0.188206,0.666499
35,0.181635,0.632987
36,0.176495,0.707582
37,0.183126,0.705810
38,0.174509,0.694845
39,0.165703,0.799322
40,0.170095,0.700975
41,0.185608,0.612684
42,0.179359,0.499755
43,0.169849,0.669638
44,0.169336,0.569303
45,0.184840,0.497041
46,0.164476,0.574671
47,0.165646,0.576570
48,0.162823,0.623446
49,0.154669,0.600594
50,0.162637,0.521336
51,0.160144,0.514827
52,0.185117,0.823658
53,0.264342,0.580920
54,0.198674,0.625878
55,0.166071,0.637343
56,0.156901,0.591668
57,0.147501,0.531245
58,0.143019,0.594365
59,0.142653,0.505877
60,0.151266,0.523067
61,0.139933,0.573300
62,0.138712,0.591293
63,0.140971,0.634055
64,0.154732,0.500828
65,0.139094,0.576510
66,0.131152,0.557341
67,0.133175,0.499613
68,0.135674,0.514142
69,0.141253,0.541545
70,0.136619,0.513654
71,0.134093,0.525274
72,0.136258,0.482246
73,0.132220,0.487796
74,0.130379,0.515319
75,0.128403,0.518367
76,0.136179,0.511005
77,0.134405,0.480264
78,0.130997,0.542458
79,0.132547,0.537831
80,0.133380,0.584066
81,0.122992,0.533833
82,0.131383,0.512070
83,0.129496,0.534480
84,0.126153,0.581395
85,0.123160,0.530767
86,0.124589,0.480190
87,0.124481,0.513304
88,0.131497,0.495082
89,0.124850,0.571974
90,0.121717,0.572909
91,0.122083,0.478424
92,0.125553,0.492103
93,0.129836,0.499838
94,0.127816,0.535942
95,0.128245,0.514681
96,0.121240,0.495655
97,0.125211,0.557511
98,0.123733,0.502893
99,0.126901,0.530607
100,0.124285,0.531430
101,0.125911,0.551270
102,0.120373,0.536165
103,0.118873,0.539921
104,0.117559,0.521709
105,0.118085,0.491691
106,0.121810,0.447791
107,0.128051,0.531689
108,0.124300,0.506291
109,0.121609,0.527106
110,0.126612,0.473156
111,0.118965,0.542415
112,0.114894,0.484201
113,0.119929,0.526940
114,0.122679,0.543777
115,0.119296,0.540756
116,0.117003,0.517840
117,0.113821,0.540709
118,0.118498,0.522682
119,0.116108,0.530812
120,0.116304,0.517658
121,0.113600,0.501014
122,0.120310,0.537046
123,0.122398,0.498432
124,0.115215,0.498916
125,0.120219,0.532693
126,0.113482,0.531019
127,0.120555,0.499755
128,0.115302,0.530390
129,0.120293,0.510786
130,0.124301,0.537909
131,0.113927,0.491368
132,0.113781,0.512650
133,0.109259,0.539342
134,0.111927,0.521157
135,0.107680,0.533950
136,0.114372,0.532629
137,0.110818,0.501574
138,0.117135,0.542449
139,0.111185,0.512382
140,0.109920,0.566727
141,0.111211,0.517302
142,0.109615,0.522384
143,0.112641,0.525240
144,0.115237,0.494869
145,0.117565,0.537910
146,0.117028,0.502514
147,0.113677,0.511994
148,0.112171,0.485232
149,0.117038,0.492739
150,0.110675,0.521592
151,0.108158,0.496515
152,0.114503,0.479618
153,0.110053,0.500940
154,0.110376,0.512631
155,0.106678,0.526360
156,0.118190,0.519547
