epoch,train_loss,val_loss
1,0.309302,0.400423
2,0.222155,0.621959
3,0.196521,0.544740
4,0.165752,0.698102
5,0.154805,0.509571
6,0.138696,0.415060
7,0.120095,0.428734
8,0.103528,0.441838
9,0.092469,0.416736
10,0.088509,0.514880
11,0.105484,0.432830
12,0.093077,0.391002
13,0.079674,0.435178
14,0.075740,0.432944
15,0.068374,0.442561
16,0.064529,0.404354
17,0.066258,0.400172
18,0.076977,0.453204
19,0.057712,0.392246
20,0.055220,0.420155
21,0.055465,0.405954
22,0.077858,0.421412
23,0.059760,0.425534
24,0.058251,0.422065
25,0.051401,0.407023
26,0.051830,0.379014
27,0.049943,0.442116
28,0.056318,0.453925
29,0.054437,0.437510
30,0.048413,0.458436
31,0.046969,0.452054
32,0.051032,0.523629
33,0.047555,0.474544
34,0.052861,0.576819
35,0.047609,0.454878
36,0.052596,0.490219
37,0.041560,0.560491
38,0.063503,0.457875
39,0.050900,0.688775
40,0.052677,0.430894
41,0.040441,0.544131
42,0.040213,0.552804
43,0.044386,0.541544
44,0.041096,0.549716
45,0.039851,0.605081
46,0.051644,0.497361
47,0.043563,0.552536
48,0.044670,0.431731
49,0.040660,0.465501
50,0.047073,0.528246
51,0.037639,0.457235
52,0.037944,0.448650
53,0.043833,0.445225
54,0.054025,0.468425
55,0.040284,0.506890
56,0.046369,0.467280
57,0.056177,0.515939
58,0.039436,0.450534
59,0.035459,0.441061
60,0.056034,0.445403
61,0.036115,0.514093
62,0.037258,0.476119
63,0.044854,0.547699
64,0.037764,0.515083
65,0.047490,0.476301
66,0.036953,0.478785
67,0.036168,0.491655
68,0.036583,0.505271
69,0.036047,0.577258
70,0.049395,0.449032
71,0.040304,0.442835
72,0.050662,0.459853
73,0.036684,0.426856
74,0.037273,0.500828
75,0.039368,0.492914
76,0.040946,0.592791
77,0.042539,0.544935
78,0.037694,0.522711
79,0.034994,0.451659
80,0.036799,0.608153
