epoch,train_loss,val_loss
1,0.368965,0.414910
2,0.240652,0.441148
3,0.224365,0.499842
4,0.208891,0.502762
5,0.192128,0.724793
6,0.177321,0.578840
7,0.156949,0.535669
8,0.136090,0.721178
9,0.167539,0.558476
10,0.142310,0.543591
11,0.120879,0.601999
12,0.110258,0.635545
13,0.099107,0.557922
14,0.095476,0.577109
15,0.088056,0.621594
16,0.095682,0.663398
17,0.086308,0.742968
18,0.080128,0.585580
19,0.071614,0.618609
20,0.073257,0.482664
21,0.068064,0.640889
22,0.067042,0.430444
23,0.073936,0.483713
24,0.063855,0.501035
25,0.062344,0.505345
26,0.058889,0.466095
27,0.054795,0.533019
28,0.052688,0.671348
29,0.057914,0.443595
30,0.059415,0.557498
31,0.058199,0.525081
32,0.055857,0.536720
33,0.053579,0.585537
34,0.058478,0.556788
35,0.055295,0.476781
36,0.050157,0.552931
37,0.048261,0.506219
38,0.046262,0.507182
39,0.050448,0.524516
40,0.052460,0.508085
41,0.057536,0.427825
42,0.053471,0.530319
43,0.044255,0.590306
44,0.045906,0.517347
45,0.052243,0.489864
46,0.048935,0.564454
47,0.053340,0.546273
48,0.044060,0.556090
49,0.040906,0.587578
50,0.041104,0.531458
51,0.042639,0.507932
52,0.046666,0.551943
53,0.043831,0.498200
54,0.041804,0.559553
55,0.040184,0.564803
56,0.041094,0.540242
57,0.038891,0.521792
58,0.037543,0.543072
59,0.040089,0.547857
60,0.038072,0.524726
61,0.038752,0.571804
62,0.039187,0.592035
63,0.044922,0.483281
64,0.041983,0.616942
65,0.041175,0.588356
66,0.036326,0.582282
67,0.039015,0.577994
68,0.041706,0.560802
69,0.038802,0.561559
70,0.039385,0.525261
71,0.037168,0.597673
72,0.039087,0.528638
73,0.038629,0.521787
74,0.037861,0.582117
75,0.041759,0.484101
76,0.057056,0.529916
77,0.044013,0.520642
78,0.038643,0.537772
79,0.037742,0.578079
80,0.037517,0.606459
81,0.037540,0.548481
82,0.038484,0.574294
83,0.036971,0.568419
84,0.037342,0.513874
85,0.038875,0.511961
86,0.036865,0.569297
87,0.044355,0.540442
88,0.045438,0.507235
89,0.038738,0.486096
90,0.059795,0.565871
91,0.040408,0.582983
