epoch,train_loss,val_loss
1,0.377913,0.484411
2,0.245911,0.450291
3,0.225698,0.461734
4,0.213094,0.626835
5,0.214569,0.577111
6,0.193471,0.621234
7,0.181409,0.733680
8,0.164896,1.126942
9,0.162305,0.884657
10,0.137084,0.694842
11,0.134452,0.675533
12,0.125806,0.747088
13,0.120281,0.675014
14,0.124686,0.741490
15,0.112396,0.673938
16,0.126725,0.543054
17,0.108211,0.595688
18,0.104355,0.643822
19,0.101975,0.432650
20,0.102176,0.572336
21,0.105714,0.568523
22,0.106794,0.564152
23,0.083594,0.600477
24,0.091170,0.757384
25,0.078682,0.545646
26,0.073895,0.530898
27,0.068844,0.519687
28,0.065027,0.684708
29,0.065834,0.615084
30,0.064083,0.600775
31,0.065834,0.533734
32,0.057583,0.666077
33,0.059007,0.605987
34,0.064697,0.578010
35,0.057637,0.508755
36,0.064226,0.573103
37,0.110941,0.638987
38,0.067550,0.756508
39,0.059791,0.499878
40,0.055839,0.612357
41,0.057364,0.472080
42,0.057633,0.493201
43,0.052282,0.469050
44,0.055291,0.411877
45,0.050267,0.488266
46,0.047090,0.448041
47,0.043752,0.533293
48,0.048061,0.471967
49,0.055526,0.585623
50,0.051767,0.355400
51,0.053963,0.417541
52,0.044881,0.447818
53,0.046752,0.401787
54,0.047678,0.459202
55,0.041864,0.464480
56,0.041912,0.419042
57,0.045521,0.416608
58,0.044934,0.412479
59,0.047198,0.502831
60,0.066719,0.470154
61,0.045778,0.435984
62,0.040861,0.487660
63,0.039774,0.533566
64,0.042012,0.461852
65,0.041633,0.538016
66,0.045537,0.503250
67,0.041376,0.488385
68,0.050033,0.442283
69,0.042267,0.425211
70,0.045169,0.359167
71,0.043852,0.376521
72,0.039944,0.435602
73,0.039613,0.498867
74,0.042651,0.439890
75,0.044759,0.373024
76,0.038308,0.443601
77,0.037934,0.467098
78,0.037054,0.368881
79,0.036087,0.458411
80,0.035945,0.463621
81,0.037053,0.508130
82,0.039106,0.397247
83,0.046358,0.457094
84,0.044900,0.395206
85,0.039137,0.486180
86,0.034870,0.485143
87,0.035911,0.435337
88,0.052347,0.386884
89,0.044133,0.447203
90,0.038230,0.418144
91,0.034561,0.510444
92,0.035584,0.465855
93,0.042388,0.431455
94,0.046292,0.358153
95,0.038984,0.386706
96,0.035525,0.420095
97,0.034811,0.489974
98,0.037786,0.422114
99,0.035545,0.446052
100,0.034035,0.426940
