epoch,train_loss,val_loss
1,0.302981,0.405245
2,0.243641,0.349332
3,0.230450,0.381510
4,0.215893,0.333635
5,0.208418,0.388658
6,0.198506,0.408747
7,0.192957,0.389730
8,0.183384,0.457052
9,0.180806,0.385688
10,0.173909,0.394333
11,0.165338,0.365815
12,0.154828,0.340949
13,0.155362,0.371540
14,0.156592,0.378417
15,0.146110,0.432456
16,0.143515,0.380622
17,0.144293,0.416338
18,0.141197,0.447540
19,0.146995,0.361836
20,0.197355,0.324572
21,0.185895,0.380085
22,0.162996,0.525189
23,0.157719,0.399997
24,0.149873,0.399520
25,0.148925,0.402230
26,0.140291,0.395471
27,0.142500,0.440140
28,0.134950,0.460095
29,0.135952,0.421195
30,0.136031,0.453639
31,0.137586,0.430934
32,0.131326,0.465052
33,0.134741,0.405281
34,0.131270,0.409377
35,0.123629,0.390502
36,0.126859,0.488570
37,0.126090,0.406406
38,0.128134,0.370937
39,0.130290,0.408999
40,0.121536,0.388369
41,0.125116,0.381578
42,0.122818,0.470642
43,0.127083,0.448478
44,0.126404,0.406041
45,0.120862,0.386952
46,0.122621,0.360052
47,0.122253,0.395631
48,0.122635,0.398784
49,0.120820,0.375971
50,0.118076,0.454640
51,0.119488,0.396477
52,0.123738,0.406617
53,0.114887,0.396093
54,0.117996,0.397181
55,0.123646,0.389903
56,0.110233,0.364782
57,0.121167,0.437901
58,0.112279,0.431004
59,0.118012,0.471538
60,0.113843,0.351925
61,0.112879,0.390939
62,0.116060,0.351052
63,0.117715,0.373399
64,0.117330,0.389845
65,0.114447,0.398344
66,0.113716,0.389042
67,0.112275,0.406007
68,0.106845,0.363469
69,0.110726,0.436002
70,0.105252,0.384464
71,0.114182,0.342609
72,0.111586,0.376433
73,0.117296,0.366978
74,0.105373,0.389735
75,0.117582,0.372489
76,0.103346,0.437627
77,0.107231,0.419241
78,0.104388,0.423740
79,0.108893,0.373348
80,0.103777,0.414921
81,0.107704,0.460207
82,0.114131,0.380094
83,0.104396,0.364510
84,0.103399,0.417672
85,0.108463,0.343819
86,0.105988,0.321762
87,0.104281,0.361186
88,0.109141,0.413330
89,0.106083,0.426791
90,0.110325,0.425691
91,0.107868,0.415953
92,0.094589,0.397929
93,0.102756,0.452474
94,0.102622,0.345552
95,0.098382,0.409083
96,0.098015,0.405020
97,0.099420,0.450541
98,0.110623,0.374282
99,0.111784,0.403475
100,0.098109,0.395643
101,0.099536,0.388971
102,0.105582,0.401973
103,0.098376,0.428155
104,0.100010,0.425583
105,0.098584,0.433078
106,0.093198,0.419604
107,0.096652,0.401314
108,0.098321,0.398443
109,0.097025,0.428366
110,0.099014,0.390199
111,0.108404,0.371247
112,0.102609,0.361302
113,0.096252,0.401050
114,0.095094,0.413865
115,0.096346,0.387071
116,0.094774,0.390212
117,0.092523,0.402622
118,0.096965,0.378244
119,0.113271,0.383714
120,0.095151,0.375094
121,0.105168,0.388506
122,0.093106,0.396210
123,0.093243,0.389493
124,0.091402,0.387514
125,0.089626,0.378775
126,0.096609,0.467611
127,0.092553,0.399861
128,0.097212,0.370026
129,0.095501,0.391641
130,0.093472,0.384090
131,0.090907,0.394271
132,0.105809,0.416702
133,0.099437,0.442871
134,0.093126,0.392033
135,0.091097,0.429953
136,0.089892,0.398404
