epoch,train_loss,val_loss
1,0.352596,0.457328
2,0.262268,0.361125
3,0.257260,0.381504
4,0.246379,0.363380
5,0.241518,0.393963
6,0.243569,0.390671
7,0.235040,0.358971
8,0.235819,0.579914
9,0.244521,0.404336
10,0.232461,0.409456
11,0.231597,0.446470
12,0.228991,0.402104
13,0.233146,0.383169
14,0.230745,0.565082
15,0.245053,0.376089
16,0.233320,0.403560
17,0.226543,0.383082
18,0.233788,0.450790
19,0.230752,0.420411
20,0.224448,0.388021
21,0.230998,0.390930
22,0.224820,0.415402
23,0.226813,0.409539
24,0.224741,0.394112
25,0.222042,0.395565
26,0.228192,0.386805
27,0.222144,0.406891
28,0.221434,0.373473
29,0.219606,0.410493
30,0.219210,0.376207
31,0.221289,0.379022
32,0.217821,0.434122
33,0.214782,0.374470
34,0.218247,0.378021
35,0.215768,0.378358
36,0.211269,0.368549
37,0.214618,0.349100
38,0.214582,0.376247
39,0.217580,0.373960
40,0.212826,0.372128
41,0.211917,0.358731
42,0.210268,0.347679
43,0.207425,0.386121
44,0.206085,0.392684
45,0.216918,0.550151
46,0.208743,0.376529
47,0.209080,0.392274
48,0.203554,0.381651
49,0.208049,0.422897
50,0.200990,0.431913
51,0.200080,0.395687
52,0.206435,0.433245
53,0.198150,0.383410
54,0.196625,0.397547
55,0.201736,0.471595
56,0.198318,0.369703
57,0.198735,0.473730
58,0.196035,0.470944
59,0.197608,0.513849
60,0.197636,0.713935
61,0.197485,0.489163
62,0.197402,0.558467
63,0.197483,0.391359
64,0.203395,0.408357
65,0.193595,0.532110
66,0.192119,0.549479
67,0.191033,0.565350
68,0.191432,0.680377
69,0.186334,0.603138
70,0.189409,0.671732
71,0.189269,0.490417
72,0.195989,0.497988
73,0.202664,0.678273
74,0.193786,0.461711
75,0.189501,0.518146
76,0.186004,0.669905
77,0.185520,0.524137
78,0.193717,0.499154
79,0.185844,0.578379
80,0.186464,0.639562
81,0.187069,0.711102
82,0.192160,0.638744
83,0.187004,0.606937
84,0.188451,0.582363
85,0.188810,0.704897
86,0.183947,0.579343
87,0.188152,0.634314
88,0.183909,0.581680
89,0.181685,0.564117
90,0.183461,0.582400
91,0.181116,0.564777
92,0.182548,0.685593
