epoch,train_loss,val_loss
1,0.368850,0.420781
2,0.242969,0.399672
3,0.219637,0.503660
4,0.210629,0.456793
5,0.192118,0.609324
6,0.175705,0.664445
7,0.154079,0.935707
8,0.140442,0.972312
9,0.137273,0.789159
10,0.130038,0.987182
11,0.126176,0.959793
12,0.118873,1.083508
13,0.115459,1.125074
14,0.124209,0.863122
15,0.107462,0.875628
16,0.110080,0.539799
17,0.100003,0.778726
18,0.156657,0.426370
19,0.117280,0.331603
20,0.108052,0.453210
21,0.094215,0.469855
22,0.086895,0.470642
23,0.085989,0.510498
24,0.078373,0.586737
25,0.076042,0.534600
26,0.072217,0.436413
27,0.063558,0.537770
28,0.068743,0.434556
29,0.066880,0.519696
30,0.058600,0.485189
31,0.058762,0.445469
32,0.056194,0.491333
33,0.053723,0.526130
34,0.057222,0.464003
35,0.051724,0.462592
36,0.050173,0.431345
37,0.055894,0.496662
38,0.050545,0.497313
39,0.049943,0.584244
40,0.050285,0.518235
41,0.047685,0.452127
42,0.047119,0.470202
43,0.047403,0.484040
44,0.053052,0.527040
45,0.044853,0.478691
46,0.043276,0.527753
47,0.041999,0.492178
48,0.052251,0.533341
49,0.049306,0.526416
50,0.041171,0.517371
51,0.041613,0.572451
52,0.055891,0.496914
53,0.048130,0.560213
54,0.039080,0.507202
55,0.043431,0.695519
56,0.047431,0.549116
57,0.051335,0.554204
58,0.052061,0.441554
59,0.040016,0.570830
60,0.038249,0.520446
61,0.056800,0.661012
62,0.041405,0.592045
63,0.037816,0.602454
64,0.042677,0.509038
65,0.041596,0.569654
66,0.036386,0.539345
67,0.037842,0.540695
68,0.036360,0.518351
69,0.035857,0.535589
70,0.037678,0.538602
71,0.037092,0.571075
72,0.037155,0.522050
73,0.036660,0.497958
74,0.038443,0.547463
75,0.036110,0.565324
76,0.034991,0.641534
77,0.041914,0.656377
78,0.040706,0.620390
79,0.039488,0.527537
80,0.037119,0.528416
