epoch,train_loss,val_loss
1,0.366445,0.408854
2,0.235250,0.641450
3,0.217058,0.576670
4,0.200150,0.676151
5,0.184986,0.706865
6,0.156807,0.926966
7,0.146763,0.803419
8,0.137962,1.019792
9,0.128216,1.022312
10,0.129490,0.679284
11,0.120982,0.853538
12,0.146986,1.090873
13,0.114294,1.078155
14,0.103150,0.907199
15,0.106925,1.097114
16,0.093871,0.706114
17,0.094409,0.752422
18,0.092210,0.804474
19,0.085883,0.889217
20,0.074575,0.893671
21,0.078704,0.427705
22,0.070410,0.482782
23,0.071984,0.538733
24,0.069131,0.476208
25,0.065570,0.436808
26,0.159617,0.413387
27,0.100292,0.416719
28,0.080505,0.350755
29,0.105061,0.430112
30,0.087485,0.359692
31,0.074367,0.405116
32,0.079212,0.394697
33,0.068120,0.354380
34,0.058635,0.346074
35,0.061254,0.366625
36,0.057156,0.354711
37,0.056235,0.356430
38,0.059607,0.405594
39,0.049928,0.383273
40,0.050116,0.418568
41,0.044398,0.398023
42,0.044297,0.388246
43,0.062619,0.382174
44,0.052069,0.436673
45,0.044058,0.431930
46,0.041758,0.411525
47,0.045013,0.461241
48,0.054363,0.397663
49,0.039996,0.442506
50,0.045352,0.440340
51,0.038958,0.417079
52,0.042142,0.445380
53,0.063204,0.432007
54,0.049646,0.427890
55,0.041963,0.458309
56,0.043849,0.440881
57,0.039280,0.492353
58,0.038025,0.457563
59,0.043073,0.453719
60,0.039093,0.459331
61,0.037166,0.532629
62,0.040340,0.567708
63,0.038434,0.443299
64,0.037768,0.682720
65,0.039624,0.540238
66,0.035763,0.576771
67,0.037068,0.455218
68,0.034423,0.588618
69,0.037867,0.568785
70,0.046296,0.464286
71,0.056546,0.419209
72,0.036052,0.470239
73,0.033621,0.450402
74,0.036441,0.421425
75,0.034515,0.478239
76,0.033859,0.440718
77,0.034106,0.489160
78,0.031636,0.453428
79,0.033858,0.501735
80,0.032137,0.578238
81,0.035989,0.451880
82,0.035123,0.575153
83,0.032352,0.438131
84,0.031810,0.482438
