epoch,train_loss,val_loss
1,0.355460,0.446092
2,0.231804,0.462675
3,0.205123,0.583653
4,0.190970,0.629880
5,0.174546,0.711781
6,0.159230,0.785187
7,0.152803,0.626806
8,0.132697,0.924981
9,0.123255,0.738659
10,0.149233,0.498380
11,0.131791,0.733635
12,0.113897,0.769690
13,0.095103,0.959935
14,0.099310,0.577251
15,0.092964,0.381292
16,0.087551,0.508965
17,0.084002,0.787287
18,0.076617,0.322801
19,0.073221,0.392701
20,0.066257,0.451585
21,0.073114,0.456052
22,0.083102,0.423037
23,0.070003,0.445470
24,0.062583,0.411072
25,0.055752,0.619563
26,0.055141,0.458592
27,0.050488,0.407274
28,0.049633,0.456623
29,0.055138,0.369142
30,0.053320,0.436131
31,0.056530,0.481336
32,0.048083,0.367677
33,0.047862,0.363023
34,0.045963,0.406859
35,0.042455,0.425337
36,0.048473,0.382865
37,0.048068,0.383123
38,0.048361,0.457345
39,0.047151,0.368751
40,0.045981,0.409799
41,0.041150,0.355065
42,0.042865,0.401888
43,0.038147,0.368922
44,0.043239,0.467719
45,0.046451,0.449005
46,0.055703,0.399098
47,0.042167,0.396207
48,0.039152,0.403901
49,0.041170,0.404372
50,0.039116,0.421454
51,0.037825,0.443394
52,0.038285,0.378755
53,0.035939,0.373330
54,0.040183,0.412136
55,0.037024,0.394863
56,0.035766,0.408897
57,0.036317,0.419120
58,0.037995,0.398395
59,0.039545,0.428218
60,0.038554,0.400769
61,0.035592,0.430492
62,0.037578,0.392793
63,0.035760,0.402899
64,0.034048,0.413523
65,0.044314,0.399301
66,0.036703,0.427551
67,0.038343,0.430189
68,0.035095,0.401954
69,0.035559,0.412234
70,0.034944,0.433423
71,0.036080,0.407424
72,0.038695,0.408948
73,0.144420,0.445097
74,0.125202,0.407465
75,0.079335,0.552590
76,0.062264,0.404679
77,0.048338,0.376534
78,0.040149,0.404206
79,0.036281,0.374200
80,0.036373,0.390514
