epoch,train_loss,val_loss
1,0.362075,0.440216
2,0.236077,0.472914
3,0.212209,0.647543
4,0.193427,0.674160
5,0.169303,0.876335
6,0.158990,0.681581
7,0.144985,0.862521
8,0.126919,0.836346
9,0.115965,0.802966
10,0.123574,0.583398
11,0.109329,0.727636
12,0.094373,0.650751
13,0.087738,0.627755
14,0.077429,0.637984
15,0.073350,0.676796
16,0.068499,0.639130
17,0.054363,0.641931
18,0.058641,0.552822
19,0.048946,0.525842
20,0.045127,0.470043
21,0.046264,0.862798
22,0.063180,0.634977
23,0.042835,0.547069
24,0.039527,0.621092
25,0.036658,0.590627
26,0.037418,0.601188
27,0.034202,0.584325
28,0.038864,0.512275
29,0.032179,0.514192
30,0.031275,0.516397
31,0.033333,0.495920
32,0.030113,0.470224
33,0.032105,0.527725
34,0.029574,0.495535
35,0.026662,0.495580
36,0.027210,0.441847
37,0.026631,0.434520
38,0.026061,0.478120
39,0.026804,0.524990
40,0.026123,0.476539
41,0.026510,0.473690
42,0.025241,0.495504
43,0.026843,0.470368
44,0.024957,0.431890
45,0.025056,0.446381
46,0.027141,0.438677
47,0.024683,0.468929
48,0.024271,0.435061
49,0.023818,0.417509
50,0.024551,0.434727
51,0.026053,0.431837
52,0.025097,0.465779
53,0.025116,0.416083
54,0.023989,0.441987
55,0.023563,0.471508
56,0.023127,0.458797
57,0.022693,0.481051
58,0.027071,0.479066
59,0.025313,0.486346
60,0.023936,0.448149
61,0.022909,0.492175
62,0.023229,0.480763
63,0.023331,0.495486
64,0.081417,0.421077
65,0.070121,0.420771
66,0.050277,0.360303
67,0.031624,0.423034
68,0.026552,0.413863
69,0.026302,0.424190
70,0.024174,0.437185
71,0.024479,0.417467
72,0.023498,0.415293
73,0.022755,0.450005
74,0.023142,0.463390
75,0.023296,0.449342
76,0.022534,0.449574
77,0.022609,0.457718
78,0.022270,0.454426
79,0.022067,0.467720
80,0.022125,0.466724
81,0.023151,0.476738
82,0.022212,0.480734
83,0.021578,0.485193
84,0.021559,0.481312
85,0.021924,0.482106
86,0.022691,0.471863
87,0.022706,0.467214
88,0.021965,0.478608
89,0.021486,0.470279
90,0.020821,0.491527
91,0.021436,0.494470
92,0.021492,0.501170
93,0.020721,0.472422
94,0.021362,0.477849
95,0.021462,0.481090
96,0.022519,0.495448
97,0.022253,0.484864
98,0.057361,0.689447
99,0.100423,0.509655
100,0.046948,0.500902
101,0.027772,0.502771
102,0.023494,0.519180
103,0.022929,0.494050
104,0.021877,0.501676
105,0.021945,0.489025
106,0.022116,0.485573
107,0.021825,0.493098
108,0.020364,0.489762
109,0.020545,0.494686
110,0.021234,0.482085
111,0.020302,0.511441
112,0.026009,0.509474
113,0.022209,0.506046
114,0.020916,0.504628
115,0.020695,0.525446
116,0.020573,0.518538
