epoch,train_loss,val_loss
1,0.411816,0.423193
2,0.256793,0.505503
3,0.238398,0.454548
4,0.225585,0.487948
5,0.206637,0.688484
6,0.193157,0.724537
7,0.180492,0.671600
8,0.157677,0.670691
9,0.142863,0.690669
10,0.131337,0.652104
11,0.124563,0.757442
12,0.118930,0.581234
13,0.112018,0.591107
14,0.106253,0.653534
15,0.113402,0.651900
16,0.085992,0.631106
17,0.085539,0.593753
18,0.072313,0.730363
19,0.066302,0.626378
20,0.061844,0.633333
21,0.068975,0.686322
22,0.056534,0.724920
23,0.054741,0.679334
24,0.052178,0.632506
25,0.052334,0.584996
26,0.048588,0.693534
27,0.051397,0.623204
28,0.045838,0.606801
29,0.046316,0.714714
30,0.048493,0.605751
31,0.044183,0.655810
32,0.043408,0.641838
33,0.043149,0.563400
34,0.043915,0.671537
35,0.039224,0.668604
36,0.042352,0.542146
37,0.037848,0.644998
38,0.040034,0.600352
39,0.052652,0.626538
40,0.040708,0.646105
41,0.040018,0.609386
42,0.039193,0.565665
43,0.036888,0.656553
44,0.036620,0.682752
45,0.036630,0.582425
46,0.041238,0.616046
47,0.036401,0.604225
48,0.037030,0.580274
49,0.036651,0.672561
50,0.042676,0.626573
51,0.037708,0.623216
52,0.041451,0.596349
53,0.035223,0.611699
54,0.037801,0.560328
55,0.043600,0.568641
56,0.038356,0.619747
57,0.047524,0.629522
58,0.050462,0.643157
59,0.034659,0.619364
60,0.031947,0.627815
61,0.031440,0.646877
62,0.031392,0.583159
63,0.031920,0.561915
64,0.031750,0.604481
65,0.030773,0.553923
66,0.032044,0.556677
67,0.032041,0.663692
68,0.030963,0.619278
69,0.031981,0.630650
70,0.033147,0.594849
71,0.031642,0.627891
72,0.036871,0.505022
73,0.040426,0.620896
74,0.031228,0.555440
75,0.040218,0.578337
76,0.030666,0.597764
77,0.029806,0.639498
78,0.029903,0.562496
79,0.030922,0.552004
80,0.048777,0.738983
81,0.040554,0.621580
82,0.031719,0.603084
83,0.031226,0.594608
84,0.031217,0.591512
85,0.030901,0.598425
86,0.029431,0.604393
87,0.030136,0.568725
88,0.032523,0.610935
89,0.040127,0.561705
90,0.035659,0.606250
91,0.029028,0.552400
92,0.029134,0.582496
93,0.028262,0.574097
94,0.029361,0.539836
95,0.034498,0.643152
96,0.037016,0.489680
97,0.135190,0.545791
98,0.054311,0.494260
99,0.040204,0.542159
100,0.037968,0.554665
101,0.030871,0.546084
102,0.028782,0.556803
103,0.029707,0.574268
104,0.028802,0.602535
105,0.028158,0.612004
106,0.028207,0.574915
107,0.027130,0.591486
108,0.030294,0.585544
109,0.028822,0.544922
110,0.030986,0.555375
111,0.029786,0.561012
112,0.029180,0.597001
113,0.027863,0.600783
114,0.028271,0.550708
115,0.027650,0.590504
116,0.037447,0.575018
117,0.112699,0.550157
118,0.053916,0.589562
119,0.040027,0.648558
120,0.031325,0.618652
121,0.030684,0.650246
122,0.030631,0.599909
123,0.030409,0.599975
124,0.029605,0.636289
125,0.029452,0.572639
126,0.029350,0.565724
127,0.029167,0.549745
128,0.037859,0.592032
129,0.038929,0.667000
130,0.029387,0.567874
131,0.028039,0.522904
132,0.028835,0.544756
133,0.027331,0.579452
134,0.027116,0.578458
135,0.027489,0.546108
136,0.027140,0.549642
137,0.028131,0.507778
138,0.028502,0.541504
139,0.029129,0.613897
140,0.027401,0.523391
141,0.028362,0.556922
142,0.032279,0.522325
143,0.028389,0.549324
144,0.027851,0.571833
145,0.027540,0.542364
146,0.030488,0.585779
