epoch,train_loss,val_loss
1,0.331650,0.381655
2,0.227458,0.614109
3,0.199104,0.573507
4,0.173439,0.713522
5,0.143989,0.824304
6,0.136172,0.798495
7,0.124505,0.436355
8,0.121316,0.467452
9,0.098200,0.412710
10,0.085317,0.486107
11,0.085552,0.500226
12,0.079474,0.500294
13,0.071385,0.539535
14,0.077827,0.526770
15,0.066467,0.413625
16,0.060635,0.468000
17,0.070771,0.473182
18,0.062930,0.419420
19,0.055177,0.525321
20,0.055268,0.416571
21,0.053720,0.423221
22,0.046842,0.468134
23,0.053463,0.460697
24,0.060184,0.385751
25,0.055036,0.418209
26,0.045070,0.485710
27,0.043693,0.450708
28,0.043070,0.413132
29,0.045030,0.450679
30,0.039333,0.446176
31,0.042537,0.437209
32,0.043260,0.497550
33,0.041754,0.430441
34,0.053390,0.446001
35,0.040963,0.444720
36,0.058314,0.397011
37,0.038897,0.430203
38,0.040334,0.482592
39,0.038330,0.431293
40,0.039108,0.453573
41,0.038156,0.406166
42,0.036448,0.496993
43,0.039306,0.406992
44,0.044768,0.441395
45,0.036732,0.469695
46,0.037890,0.441985
47,0.043663,0.466487
48,0.039877,0.427984
49,0.036536,0.511264
50,0.035341,0.475512
51,0.041723,0.454664
52,0.040929,0.451869
53,0.038569,0.490554
54,0.037129,0.415400
55,0.035397,0.499052
56,0.032488,0.522574
57,0.035288,0.517009
58,0.039615,0.460405
59,0.033808,0.485649
60,0.034493,0.526795
61,0.044505,0.464621
62,0.035864,0.505177
63,0.035241,0.514534
64,0.031844,0.487404
65,0.127636,0.416715
66,0.107449,0.431757
67,0.070816,0.395194
68,0.056489,0.374670
69,0.060085,0.403881
70,0.042684,0.384625
71,0.040188,0.390460
72,0.046778,0.404330
73,0.041398,0.389530
74,0.073890,0.362868
75,0.042505,0.400477
76,0.034231,0.396974
77,0.037649,0.379768
78,0.032949,0.383151
79,0.035545,0.424889
80,0.037045,0.364656
81,0.034178,0.395797
82,0.032597,0.390126
83,0.062559,0.362943
84,0.059272,0.372236
85,0.039805,0.405771
86,0.033975,0.441319
87,0.033664,0.431462
88,0.032202,0.457222
89,0.031576,0.449612
90,0.032280,0.427193
91,0.034585,0.410475
92,0.031990,0.449408
93,0.033729,0.513993
94,0.032934,0.430181
95,0.029979,0.434462
96,0.032378,0.401785
97,0.029881,0.444945
98,0.035018,0.430876
99,0.030329,0.435133
100,0.053846,0.430356
101,0.032596,0.432384
102,0.029132,0.443061
103,0.028961,0.448443
104,0.030212,0.443772
105,0.029148,0.416366
106,0.029489,0.433832
107,0.029936,0.405208
108,0.029578,0.420986
109,0.029756,0.417949
110,0.029935,0.408495
111,0.033328,0.408490
112,0.029948,0.441343
113,0.030375,0.403863
114,0.032584,0.422077
115,0.031944,0.416918
116,0.029758,0.447556
117,0.031078,0.421738
118,0.030794,0.447942
119,0.031352,0.431828
120,0.029155,0.408911
121,0.029482,0.415813
122,0.028944,0.418587
123,0.030511,0.415992
124,0.029012,0.427810
