epoch,train_loss,val_loss
1,0.415568,0.579613
2,0.305386,0.599561
3,0.289259,0.567795
4,0.286407,0.638021
5,0.283428,0.611539
6,0.286730,0.565481
7,0.283633,0.608803
8,0.284973,0.617376
9,0.278325,0.576814
10,0.280533,0.567718
11,0.279090,0.615423
12,0.280442,0.625244
13,0.275165,0.540137
14,0.274578,0.557394
15,0.281694,0.593839
16,0.280309,0.565382
17,0.276859,0.590195
18,0.272645,0.649966
19,0.271284,0.605034
20,0.277149,0.591304
21,0.272852,0.620234
22,0.277909,0.648959
23,0.271928,0.575249
24,0.271633,0.560763
25,0.271312,0.598169
26,0.277101,0.647147
27,0.279265,0.554357
28,0.276926,0.627914
29,0.278180,0.592351
30,0.274302,0.631277
31,0.269398,0.609975
32,0.274611,0.626866
33,0.268907,0.564573
34,0.277112,0.620948
35,0.268938,0.621325
36,0.274679,0.567568
37,0.278412,0.604055
38,0.271401,0.574856
39,0.271939,0.653786
40,0.281250,0.582631
41,0.271083,0.697704
42,0.272880,0.684843
43,0.272435,0.638519
44,0.276590,0.687635
45,0.272607,0.660926
46,0.274275,0.728759
47,0.275894,0.610105
48,0.273478,0.614508
49,0.276527,0.643398
50,0.275509,0.638660
51,0.275842,0.606009
52,0.270473,0.640670
53,0.272373,0.567176
54,0.277612,0.626321
55,0.272776,0.605092
56,0.269608,0.620859
57,0.270341,0.679783
58,0.274912,0.611867
59,0.270274,0.626761
60,0.271460,0.606814
61,0.271134,0.653386
62,0.272075,0.587766
63,0.271680,0.591196
64,0.275909,0.574107
65,0.268714,0.593956
66,0.269729,0.644125
67,0.274330,0.590864
68,0.271280,0.621002
69,0.274011,0.606678
70,0.276066,0.582262
71,0.269667,0.650701
72,0.271080,0.588181
73,0.273561,0.621957
74,0.271650,0.639052
75,0.270287,0.593587
76,0.274290,0.644532
77,0.271856,0.658983
78,0.268053,0.661615
79,0.273100,0.669768
80,0.271110,0.657394
81,0.274327,0.611842
82,0.273394,0.587671
83,0.273561,0.583064
