epoch,train_loss,val_loss
1,0.277753,0.582133
2,0.215841,0.625326
3,0.176911,0.816947
4,0.159115,0.480084
5,0.157345,0.458230
6,0.158027,0.324799
7,0.130129,0.466042
8,0.107348,0.456346
9,0.101598,0.550656
10,0.091680,0.426589
11,0.081528,0.529137
12,0.082072,0.534514
13,0.077347,0.431721
14,0.072027,0.444863
15,0.066565,0.474984
16,0.065047,0.630361
17,0.060635,0.411946
18,0.062804,0.517682
19,0.061265,0.492456
20,0.064405,0.521887
21,0.070558,0.483900
22,0.063923,0.499613
23,0.051211,0.529890
24,0.052502,0.491995
25,0.051587,0.465836
26,0.051385,0.403642
27,0.049505,0.458334
28,0.056645,0.416748
29,0.047006,0.524349
30,0.047834,0.518500
31,0.055217,0.465427
32,0.050761,0.505249
33,0.050763,0.440932
34,0.051729,0.446565
35,0.043829,0.519476
36,0.043734,0.448113
37,0.051840,0.464140
38,0.045443,0.458635
39,0.040176,0.473473
40,0.044847,0.474118
41,0.045147,0.476118
42,0.046897,0.566397
43,0.041140,0.449753
44,0.039688,0.460955
45,0.043464,0.457743
46,0.045432,0.463940
47,0.059152,0.422671
48,0.044063,0.390291
49,0.039516,0.590044
50,0.039325,0.545252
51,0.039787,0.457793
52,0.040232,0.485332
53,0.040048,0.479048
54,0.040745,0.464596
55,0.048811,0.456535
56,0.040086,0.548665
57,0.038470,0.497860
58,0.038356,0.639701
59,0.037450,0.600456
60,0.057708,0.481640
61,0.038096,0.459570
62,0.036622,0.553911
63,0.036497,0.652728
64,0.065122,0.378959
65,0.063046,0.478537
66,0.040512,0.588746
67,0.036453,0.470462
68,0.036044,0.524722
69,0.036085,0.546867
70,0.037632,0.536785
71,0.036322,0.504124
72,0.036128,0.475692
73,0.038000,0.494800
74,0.035346,0.574734
75,0.035565,0.509179
76,0.034514,0.514865
77,0.037404,0.509788
78,0.035704,0.569510
79,0.043626,0.539313
80,0.035889,0.552753
81,0.035005,0.548308
82,0.035229,0.453933
83,0.042067,0.455964
84,0.033285,0.531031
85,0.032703,0.477075
86,0.044099,0.409795
87,0.057731,0.473700
88,0.047364,0.475807
89,0.034021,0.516661
90,0.033254,0.515135
91,0.032468,0.593650
92,0.035955,0.473433
93,0.034239,0.500698
94,0.033567,0.531461
95,0.041595,0.505842
96,0.038518,0.490302
97,0.034833,0.516529
98,0.037530,0.444212
99,0.033775,0.545761
100,0.034403,0.518502
101,0.035074,0.436354
102,0.032762,0.537187
103,0.040111,0.449513
104,0.033145,0.450987
105,0.032497,0.492273
106,0.033787,0.503871
107,0.040351,0.485082
108,0.033499,0.464110
109,0.032995,0.499948
110,0.072864,0.420718
111,0.048888,0.454449
112,0.033367,0.485464
113,0.032134,0.486230
114,0.039529,0.515320
