epoch,train_loss,val_loss
1,0.350648,0.409960
2,0.233761,0.544727
3,0.214707,0.516922
4,0.195821,0.691014
5,0.167177,0.628550
6,0.149565,0.675599
7,0.133355,0.914548
8,0.124720,0.932826
9,0.123612,0.605297
10,0.123463,0.677960
11,0.122224,0.732327
12,0.136869,0.648426
13,0.113739,0.496147
14,0.126917,0.588958
15,0.098696,0.715849
16,0.097454,0.543891
17,0.083947,0.683022
18,0.077558,0.621993
19,0.074197,0.759789
20,0.073283,0.686254
21,0.088492,0.903717
22,0.075105,0.637255
23,0.064036,0.516003
24,0.059257,0.716422
25,0.061529,0.459859
26,0.057485,0.440813
27,0.060042,0.487891
28,0.074967,0.601178
29,0.058236,0.515637
30,0.048763,0.488777
31,0.047295,0.496921
32,0.052178,0.543798
33,0.056151,0.463531
34,0.049333,0.426050
35,0.054340,0.457096
36,0.046924,0.366034
37,0.048398,0.374523
38,0.047927,0.429575
39,0.048401,0.430602
40,0.043071,0.499736
41,0.041036,0.395985
42,0.040023,0.382512
43,0.042339,0.387753
44,0.053896,0.381176
45,0.056863,0.401509
46,0.042562,0.389905
47,0.038840,0.394908
48,0.035820,0.373373
49,0.039985,0.402940
50,0.037246,0.389467
51,0.042632,0.367278
52,0.072773,0.471931
53,0.047629,0.439774
54,0.039880,0.427551
55,0.038220,0.422487
56,0.036493,0.392208
57,0.033851,0.441552
58,0.042915,0.424537
59,0.037343,0.455995
60,0.035168,0.430249
61,0.034411,0.424808
62,0.046894,0.398612
63,0.037437,0.398829
64,0.036207,0.376166
65,0.036772,0.442765
66,0.034472,0.431944
67,0.033865,0.432471
68,0.034768,0.410079
69,0.038504,0.428214
70,0.048280,0.426196
71,0.036481,0.447449
72,0.040809,0.409971
73,0.033974,0.435524
74,0.032698,0.432158
75,0.032060,0.411397
76,0.038010,0.422364
77,0.032622,0.404092
78,0.032969,0.398043
79,0.038815,0.434103
80,0.042951,0.396894
81,0.033788,0.453488
82,0.032161,0.473578
83,0.032120,0.421331
84,0.031208,0.482369
85,0.032754,0.392538
86,0.054596,0.474853
