epoch,train_loss,val_loss
1,0.320301,0.406467
2,0.228611,0.398476
3,0.212684,0.541876
4,0.185944,0.713901
5,0.158155,0.513605
6,0.145813,0.476826
7,0.121172,0.763261
8,0.116462,0.532783
9,0.112993,0.345405
10,0.098962,0.724359
11,0.089586,0.421605
12,0.082065,0.706772
13,0.080075,0.395453
14,0.065591,0.400036
15,0.092097,0.394835
16,0.074804,0.498477
17,0.063377,0.434857
18,0.055719,0.395118
19,0.056512,0.470299
20,0.051812,0.406151
21,0.061909,0.399215
22,0.066108,0.397569
23,0.056893,0.435860
24,0.052722,0.465370
25,0.090136,0.361355
26,0.070526,0.453921
27,0.070090,0.394566
28,0.048808,0.453897
29,0.048541,0.427178
30,0.044906,0.463694
31,0.055721,0.385008
32,0.042091,0.424974
33,0.039113,0.434004
34,0.041884,0.424830
35,0.037373,0.409397
36,0.036574,0.443313
37,0.039590,0.404671
38,0.038093,0.449482
39,0.052540,0.404275
40,0.049353,0.427455
41,0.039189,0.383807
42,0.052099,0.418972
43,0.040424,0.460404
44,0.038423,0.419551
45,0.032945,0.439968
46,0.032454,0.419145
47,0.034473,0.418874
48,0.036035,0.409804
49,0.039477,0.432612
50,0.039061,0.452300
51,0.034600,0.467692
52,0.040818,0.444356
53,0.034467,0.438362
54,0.039069,0.433823
55,0.035498,0.441600
56,0.032373,0.421306
57,0.030216,0.437114
58,0.033415,0.449615
59,0.033743,0.433219
60,0.033849,0.437823
61,0.043442,0.485269
62,0.069282,0.504558
63,0.039027,0.462165
64,0.034002,0.482553
65,0.033231,0.441373
66,0.031777,0.444922
67,0.031753,0.466657
68,0.031073,0.435438
69,0.032637,0.470132
70,0.031895,0.443395
71,0.042311,0.400759
72,0.058204,0.419892
73,0.043114,0.449467
74,0.030424,0.455030
75,0.028524,0.465165
76,0.028250,0.444143
77,0.028545,0.493811
78,0.030674,0.446632
79,0.033597,0.427314
80,0.032441,0.446885
