epoch,train_loss,val_loss
1,0.317012,0.402997
2,0.234565,0.479873
3,0.221197,0.561079
4,0.206734,0.597897
5,0.185090,0.505350
6,0.164193,0.637790
7,0.152507,0.726995
8,0.139753,0.722817
9,0.139769,0.643847
10,0.127777,0.721338
11,0.127824,0.654377
12,0.124343,0.529063
13,0.138183,0.478031
14,0.126023,0.676996
15,0.121429,0.478822
16,0.131156,0.486594
17,0.116203,0.402526
18,0.121839,0.377041
19,0.109968,0.461454
20,0.115794,0.410766
21,0.105894,0.432358
22,0.107208,0.413320
23,0.099992,0.368343
24,0.100952,0.371130
25,0.103490,0.320799
26,0.124577,0.402602
27,0.091406,0.417717
28,0.087965,0.375129
29,0.087702,0.496648
30,0.081813,0.407947
31,0.083952,0.495799
32,0.080973,0.604769
33,0.074500,0.475255
34,0.078914,0.512011
35,0.080413,0.465494
36,0.084220,0.442221
37,0.074511,0.392515
38,0.071971,0.531338
39,0.069301,0.612761
40,0.074936,0.550344
41,0.069957,0.568140
42,0.071021,0.437713
43,0.072496,0.429497
44,0.069027,0.467526
45,0.068449,0.397211
46,0.068688,0.434902
47,0.064525,0.476017
48,0.066049,0.479250
49,0.071489,0.438138
50,0.068923,0.463939
51,0.067805,0.439578
52,0.063616,0.466460
53,0.065864,0.440995
54,0.067641,0.441789
55,0.064541,0.461492
56,0.064052,0.402551
57,0.062929,0.472108
58,0.064804,0.506593
59,0.064929,0.423765
60,0.069406,0.429672
61,0.066864,0.409278
62,0.061238,0.451501
63,0.068055,0.406052
64,0.063738,0.393531
65,0.066188,0.400346
66,0.063529,0.380718
67,0.061113,0.393889
68,0.064095,0.460721
69,0.060946,0.407744
70,0.058369,0.429025
71,0.062290,0.453149
72,0.061063,0.453126
73,0.058394,0.451807
74,0.058123,0.399966
75,0.056904,0.403980
76,0.059443,0.424217
77,0.060720,0.391133
78,0.058435,0.428831
79,0.056956,0.410630
80,0.059494,0.453200
