epoch,train_loss,val_loss
1,0.317129,0.413585
2,0.233576,0.469750
3,0.219733,0.549317
4,0.205027,0.531888
5,0.180839,0.653645
6,0.162633,0.767329
7,0.152651,0.615875
8,0.147712,0.811760
9,0.138934,0.738900
10,0.140683,0.687604
11,0.133133,0.685193
12,0.131612,0.718920
13,0.130416,0.606111
14,0.128862,0.675051
15,0.124928,0.584157
16,0.126320,0.546503
17,0.120480,0.469666
18,0.124826,0.418099
19,0.117482,0.460233
20,0.120911,0.440697
21,0.116867,0.490428
22,0.115132,0.504998
23,0.116359,0.461873
24,0.109924,0.459582
25,0.105745,0.563461
26,0.108696,0.460985
27,0.108555,0.452735
28,0.099667,0.486131
29,0.096678,0.493404
30,0.093657,0.568386
31,0.103694,0.513508
32,0.093040,0.523345
33,0.090501,0.501174
34,0.091854,0.585683
35,0.092595,0.551181
36,0.084220,0.461004
37,0.087287,0.605139
38,0.084665,0.590427
39,0.091696,0.662632
40,0.088014,0.550826
41,0.084706,0.666866
42,0.091641,0.561686
43,0.080079,0.602871
44,0.080027,0.589721
45,0.082648,0.555731
46,0.079997,0.561481
47,0.077877,0.617667
48,0.079444,0.650444
49,0.085519,0.633551
50,0.077351,0.624676
51,0.080608,0.594856
52,0.076828,0.503791
53,0.074443,0.566723
54,0.075974,0.589322
55,0.083452,0.642112
56,0.076250,0.523323
57,0.078117,0.548147
58,0.075060,0.648318
59,0.070766,0.605336
60,0.079050,0.618153
61,0.077807,0.532674
62,0.077669,0.568812
63,0.074540,0.623606
64,0.073990,0.597503
65,0.070576,0.604494
66,0.074115,0.529163
67,0.073231,0.600269
68,0.071210,0.549563
69,0.070742,0.558621
70,0.072883,0.565062
71,0.070064,0.619322
72,0.072440,0.560307
73,0.069636,0.543401
74,0.071826,0.524154
75,0.068766,0.585066
76,0.070476,0.584461
77,0.074255,0.512251
78,0.068986,0.543307
79,0.067402,0.529313
80,0.070180,0.584609
81,0.073770,0.546709
82,0.064864,0.567616
83,0.068533,0.588881
84,0.066668,0.598508
85,0.067165,0.576097
86,0.070751,0.476206
