epoch,train_loss,val_loss
1,0.349705,0.407148
2,0.226156,0.558565
3,0.192491,0.671630
4,0.160854,0.731754
5,0.142248,0.708074
6,0.121132,0.448561
7,0.107034,0.447804
8,0.089128,0.495712
9,0.087071,0.449114
10,0.068473,0.431137
11,0.064816,0.400264
12,0.054379,0.423852
13,0.057017,0.533826
14,0.046682,0.464627
15,0.042668,0.461421
16,0.054616,0.437359
17,0.041101,0.434351
18,0.036472,0.543735
19,0.034180,0.499876
20,0.032355,0.469413
21,0.032215,0.522386
22,0.031113,0.552854
23,0.031265,0.572884
24,0.031543,0.530768
25,0.031219,0.550295
26,0.034972,0.499199
27,0.034477,0.481031
28,0.029751,0.507439
29,0.038477,0.483562
30,0.032374,0.519296
31,0.029678,0.519352
32,0.026675,0.533997
33,0.025705,0.531814
34,0.025483,0.597050
35,0.026623,0.525209
36,0.027944,0.521581
37,0.025208,0.506889
38,0.024537,0.592048
39,0.026051,0.544722
40,0.026279,0.592231
41,0.026117,0.494969
42,0.026289,0.527138
43,0.024957,0.491320
44,0.024165,0.532036
45,0.027421,0.455963
46,0.025707,0.493031
47,0.025186,0.485183
48,0.023767,0.508496
49,0.024466,0.523340
50,0.023258,0.526839
51,0.023728,0.465459
52,0.025692,0.485111
53,0.058610,0.370430
54,0.057653,0.404984
55,0.027534,0.447622
56,0.023633,0.458398
57,0.022707,0.458105
58,0.022570,0.495042
59,0.021930,0.481072
60,0.022653,0.521547
61,0.022427,0.564196
62,0.023909,0.534034
63,0.022827,0.525664
64,0.023177,0.507159
65,0.022653,0.486490
66,0.022165,0.490597
67,0.022084,0.478820
68,0.029821,0.458934
69,0.044502,0.494592
70,0.027981,0.427470
71,0.022876,0.430166
72,0.021546,0.454290
73,0.021292,0.444639
74,0.022196,0.449502
75,0.021706,0.470356
76,0.022884,0.470227
77,0.022827,0.445009
78,0.021895,0.451633
79,0.022030,0.501439
80,0.023256,0.476336
81,0.065562,0.453676
82,0.036628,0.430179
83,0.024533,0.421868
84,0.022354,0.433404
85,0.021323,0.453686
86,0.020932,0.440960
87,0.021242,0.432739
88,0.021389,0.455942
89,0.021658,0.437366
90,0.021691,0.462508
91,0.020980,0.454643
92,0.021339,0.462610
93,0.022713,0.440802
94,0.022062,0.428513
95,0.022587,0.463692
96,0.023182,0.500361
97,0.026719,0.444293
98,0.022440,0.455481
99,0.022437,0.469139
100,0.021759,0.470194
101,0.021435,0.470014
102,0.020760,0.487849
103,0.021670,0.494675
