epoch,train_loss,val_loss
1,0.361285,0.436434
2,0.243735,0.440497
3,0.222736,0.480217
4,0.209209,0.562245
5,0.190109,0.728263
6,0.166275,0.690705
7,0.160199,0.644867
8,0.139642,0.831438
9,0.142052,0.754703
10,0.121886,0.617152
11,0.147833,0.863516
12,0.123378,0.854500
13,0.122352,0.588463
14,0.104841,0.486458
15,0.099889,0.754371
16,0.094762,0.652967
17,0.089227,0.719872
18,0.087382,0.621624
19,0.087980,0.612595
20,0.075678,0.713250
21,0.074623,0.624616
22,0.076108,0.555391
23,0.076270,0.583038
24,0.072840,0.644575
25,0.065793,0.636894
26,0.067391,0.560519
27,0.063038,0.517505
28,0.055730,0.596317
29,0.096427,0.675439
30,0.072767,0.753969
31,0.065341,0.531385
32,0.059206,0.492462
33,0.053949,0.442460
34,0.059506,0.505145
35,0.062968,0.464362
36,0.050270,0.482046
37,0.047872,0.492747
38,0.050190,0.471403
39,0.051715,0.494069
40,0.048454,0.433876
41,0.047807,0.569116
42,0.048736,0.481329
43,0.049461,0.492140
44,0.047140,0.531325
45,0.046293,0.485767
46,0.043605,0.529223
47,0.088023,0.427664
48,0.057211,0.400671
49,0.043317,0.523099
50,0.041171,0.516184
51,0.040789,0.464263
52,0.040785,0.506791
53,0.045318,0.525876
54,0.043954,0.486724
55,0.040716,0.514195
56,0.039671,0.504758
57,0.044736,0.482285
58,0.041823,0.532588
59,0.038720,0.506348
60,0.038838,0.512590
61,0.037121,0.512715
62,0.037898,0.554249
63,0.041446,0.527848
64,0.039984,0.538743
65,0.039912,0.516736
66,0.036694,0.510739
67,0.036537,0.517279
68,0.041336,0.492169
69,0.039109,0.443454
70,0.044852,0.467147
71,0.040216,0.532997
72,0.036677,0.451913
73,0.038550,0.509930
74,0.056486,0.460691
75,0.046994,0.418918
76,0.047127,0.500572
77,0.037868,0.464343
78,0.034153,0.495008
79,0.034766,0.460705
80,0.034126,0.503310
81,0.033533,0.510298
82,0.033856,0.514941
83,0.037274,0.517852
84,0.037311,0.525276
85,0.035106,0.537816
86,0.035359,0.609490
87,0.034802,0.475320
88,0.032616,0.492683
89,0.035898,0.521663
90,0.038509,0.460589
91,0.035530,0.544441
92,0.032811,0.515397
93,0.044014,0.513990
94,0.042333,0.486115
95,0.033698,0.509310
96,0.034276,0.499908
97,0.033042,0.482256
98,0.034884,0.534752
