epoch,train_loss,val_loss
1,0.535855,0.436882
2,0.297375,0.387182
3,0.255339,0.407453
4,0.237410,0.381940
5,0.222913,0.490504
6,0.214225,0.514166
7,0.206480,0.589723
8,0.196852,0.557425
9,0.188961,0.650017
10,0.181285,0.714867
11,0.176087,0.712356
12,0.169112,0.788421
13,0.160224,0.771251
14,0.149111,0.761428
15,0.138287,0.797199
16,0.131501,0.839263
17,0.127216,0.832397
18,0.125594,0.820502
19,0.120120,0.871054
20,0.117821,0.836705
21,0.120551,0.734155
22,0.113155,0.829166
23,0.109457,0.806868
24,0.106538,0.913087
25,0.105159,0.811292
26,0.101896,0.896549
27,0.094797,0.865949
28,0.090404,0.831017
29,0.087725,0.840800
30,0.081503,0.792540
31,0.083439,0.748420
32,0.082968,0.835874
33,0.073541,0.855988
34,0.075161,0.853137
35,0.069510,0.838088
36,0.070231,0.865818
37,0.069278,0.824040
38,0.074487,0.842497
39,0.064291,0.843094
40,0.062326,0.810374
41,0.064424,0.883259
42,0.064253,0.873752
43,0.061342,0.830617
44,0.059978,0.815473
45,0.058132,0.843313
46,0.058545,0.871684
47,0.059249,0.868729
48,0.054806,0.854526
49,0.056576,0.843902
50,0.053329,0.845614
51,0.054473,0.884499
52,0.056119,0.870577
53,0.059078,0.836321
54,0.051882,0.805515
55,0.050567,0.850250
56,0.049724,0.847155
57,0.050381,0.852412
58,0.058747,0.843135
59,0.050487,0.757995
60,0.048784,0.830975
61,0.046203,0.814480
62,0.046081,0.849034
63,0.046636,0.835980
64,0.047250,0.873267
65,0.046387,0.784645
66,0.043472,0.896056
67,0.043042,0.858025
68,0.045076,0.921665
69,0.044506,0.880055
70,0.043114,0.876327
71,0.043415,0.823872
72,0.044760,0.855446
73,0.044207,0.898308
74,0.041971,0.907259
75,0.042637,0.891910
76,0.040844,0.926114
77,0.042186,0.870745
78,0.042231,0.896237
79,0.040796,0.881408
80,0.041738,0.887969
