epoch,train_loss,val_loss
1,0.621041,0.511799
2,0.333084,0.411926
3,0.287577,0.366212
4,0.268260,0.382987
5,0.258983,0.423558
6,0.251667,0.420732
7,0.249134,0.389642
8,0.239745,0.363776
9,0.235922,0.388476
10,0.234329,0.393083
11,0.232236,0.360187
12,0.227103,0.409415
13,0.225180,0.405795
14,0.223893,0.433140
15,0.220472,0.426862
16,0.220341,0.400565
17,0.217337,0.425880
18,0.220235,0.442869
19,0.217098,0.439535
20,0.211922,0.470941
21,0.208162,0.484149
22,0.206913,0.489460
23,0.203881,0.475092
24,0.204074,0.475887
25,0.196889,0.500819
26,0.192219,0.582305
27,0.189652,0.519353
28,0.185935,0.610327
29,0.183372,0.626782
30,0.182601,0.646089
31,0.180006,0.697506
32,0.180676,0.576682
33,0.176576,0.558601
34,0.176442,0.640866
35,0.174457,0.665535
36,0.182421,0.616525
37,0.176058,0.597391
38,0.173019,0.613427
39,0.172533,0.629503
40,0.174443,0.598356
41,0.175461,0.572702
42,0.172210,0.584307
43,0.174599,0.630782
44,0.171805,0.704164
45,0.174130,0.623248
46,0.169243,0.600932
47,0.169937,0.634240
48,0.173847,0.659948
49,0.171837,0.594523
50,0.168862,0.654895
51,0.168257,0.667008
52,0.168229,0.747560
53,0.174241,0.600038
54,0.178835,0.591900
55,0.167837,0.632784
56,0.167277,0.732669
57,0.166947,0.656542
58,0.164802,0.617536
59,0.164143,0.674358
60,0.166430,0.641734
61,0.165567,0.585081
62,0.165619,0.577857
63,0.162642,0.619206
64,0.163276,0.626142
65,0.161281,0.638628
66,0.160733,0.679869
67,0.168197,0.602563
68,0.160739,0.648360
69,0.160161,0.614464
70,0.159994,0.643935
71,0.160961,0.679388
72,0.162953,0.647151
73,0.159911,0.672521
74,0.157644,0.626091
75,0.159257,0.701071
76,0.160193,0.623006
77,0.154870,0.645852
78,0.156351,0.690661
79,0.152560,0.657183
80,0.152228,0.670482
