epoch,train_loss,val_loss
1,0.415583,0.471972
2,0.322673,0.538457
3,0.292369,0.567345
4,0.286403,0.574147
5,0.273955,0.557158
6,0.275539,0.627165
7,0.279924,0.537308
8,0.278303,0.567402
9,0.271214,0.635328
10,0.276611,0.604350
11,0.271533,0.602212
12,0.270468,0.517694
13,0.269814,0.586624
14,0.269263,0.551084
15,0.272388,0.583038
16,0.277465,0.576812
17,0.266982,0.608656
18,0.268890,0.592161
19,0.268900,0.638023
20,0.271063,0.640527
21,0.266981,0.624652
22,0.267765,0.659832
23,0.266500,0.639887
24,0.270402,0.679635
25,0.270898,0.615520
26,0.275423,0.606107
27,0.264730,0.611559
28,0.268373,0.564267
29,0.265245,0.664102
30,0.269812,0.572050
31,0.265078,0.605970
32,0.266189,0.555995
33,0.271146,0.659472
34,0.268663,0.573921
35,0.265462,0.672896
36,0.270064,0.608739
37,0.269100,0.671158
38,0.272571,0.644243
39,0.271313,0.609886
40,0.264331,0.648487
41,0.268288,0.735151
42,0.267563,0.687407
43,0.264563,0.593109
44,0.265770,0.603129
45,0.266373,0.626391
46,0.270232,0.645728
47,0.265282,0.653347
48,0.271282,0.684364
49,0.266993,0.605209
50,0.262698,0.589131
51,0.265696,0.596378
52,0.268597,0.580208
53,0.264483,0.726262
54,0.275269,0.642533
55,0.266908,0.614630
56,0.270418,0.646695
57,0.266365,0.618134
58,0.264815,0.553834
59,0.265836,0.706803
60,0.265287,0.706587
61,0.267994,0.642319
62,0.266890,0.621475
63,0.262715,0.653039
64,0.261299,0.667408
65,0.266343,0.652569
66,0.263636,0.644284
67,0.270353,0.607746
68,0.269502,0.612304
69,0.265735,0.587702
70,0.266617,0.683322
71,0.260722,0.687015
72,0.264280,0.633098
73,0.265229,0.616145
74,0.264714,0.605575
75,0.266296,0.730487
76,0.265025,0.616275
77,0.267185,0.608620
78,0.266125,0.601625
79,0.265542,0.617395
80,0.267882,0.588994
81,0.271688,0.644655
82,0.265330,0.625338
83,0.261714,0.609533
84,0.271881,0.625807
85,0.266238,0.683502
86,0.266455,0.640457
87,0.265077,0.637758
88,0.263893,0.665370
89,0.264857,0.581926
90,0.267544,0.583303
91,0.261996,0.594919
92,0.262528,0.648864
93,0.267300,0.637114
94,0.262528,0.646809
95,0.268169,0.630555
96,0.260650,0.583675
97,0.265316,0.619000
98,0.260211,0.594103
99,0.264735,0.624861
100,0.266389,0.679345
