epoch,train_loss,val_loss
1,0.326468,0.387529
2,0.231372,0.415326
3,0.223038,0.468717
4,0.210652,0.454759
5,0.194996,0.573421
6,0.185470,0.736747
7,0.167318,0.735025
8,0.156960,0.898250
9,0.159902,0.794899
10,0.140137,0.732720
11,0.138530,0.590513
12,0.144655,0.667027
13,0.132779,0.745691
14,0.138457,0.886468
15,0.126889,0.775184
16,0.124579,0.843065
17,0.127729,0.754059
18,0.123280,0.660175
19,0.117102,0.481425
20,0.117907,0.694124
21,0.122520,0.766829
22,0.115958,0.769775
23,0.113599,0.859164
24,0.109448,0.520721
25,0.104018,0.657092
26,0.099159,0.528513
27,0.099880,0.606667
28,0.099264,0.823057
29,0.088662,0.611342
30,0.093534,0.503613
31,0.098681,0.440374
32,0.081674,0.487304
33,0.091896,0.560233
34,0.085604,0.563612
35,0.079379,0.587368
36,0.081575,0.711719
37,0.076491,0.437182
38,0.073867,0.548900
39,0.070596,0.451680
40,0.069896,0.453761
41,0.085594,0.544412
42,0.068588,0.512592
43,0.067893,0.405925
44,0.067716,0.469608
45,0.067017,0.447625
46,0.061493,0.377791
47,0.067099,0.471212
48,0.064133,0.431004
49,0.061562,0.439108
50,0.060369,0.394821
51,0.085639,0.396602
52,0.073067,0.365933
53,0.068747,0.357331
54,0.065113,0.472063
55,0.062810,0.423683
56,0.058759,0.381922
57,0.062579,0.421958
58,0.058805,0.433117
59,0.056885,0.397975
60,0.058303,0.418841
61,0.065198,0.538651
62,0.062284,0.389111
63,0.054774,0.356767
64,0.055887,0.374496
65,0.055772,0.363870
66,0.055436,0.438601
67,0.054687,0.438576
68,0.054068,0.426174
69,0.051560,0.391752
70,0.056166,0.369909
71,0.058306,0.444418
72,0.054660,0.375627
73,0.050127,0.452955
74,0.052017,0.386405
75,0.055447,0.423304
76,0.050200,0.407785
77,0.048327,0.399616
78,0.049131,0.415937
79,0.052864,0.365660
80,0.048711,0.399255
81,0.051256,0.450144
82,0.064924,0.395217
83,0.055579,0.400917
84,0.059219,0.428997
85,0.049769,0.424507
86,0.055788,0.397931
87,0.051486,0.358899
88,0.046286,0.434752
89,0.048440,0.420278
90,0.050166,0.446928
91,0.048062,0.435508
92,0.050184,0.394359
93,0.054285,0.383342
94,0.047148,0.448187
95,0.045480,0.451045
96,0.056512,0.462829
97,0.049499,0.433654
98,0.047287,0.433051
99,0.048167,0.463263
100,0.045954,0.452088
101,0.046273,0.416520
102,0.046423,0.488007
103,0.056944,0.414471
104,0.048123,0.395740
105,0.045668,0.427639
106,0.043707,0.426009
107,0.047475,0.419728
108,0.044673,0.420449
109,0.051600,0.432927
110,0.047804,0.424134
111,0.054189,0.466496
112,0.045368,0.407935
113,0.044175,0.430859
