epoch,train_loss,val_loss
1,0.344383,0.414358
2,0.258049,0.388273
3,0.245461,0.376369
4,0.237307,0.345250
5,0.233055,0.405043
6,0.231306,0.384867
7,0.227479,0.368030
8,0.225687,0.454992
9,0.226749,0.381260
10,0.228525,0.456584
11,0.225183,0.471732
12,0.224187,0.451778
13,0.229107,0.457479
14,0.223389,0.408301
15,0.223610,0.386968
16,0.223240,0.441796
17,0.223915,0.422266
18,0.224965,0.381891
19,0.222770,0.399798
20,0.225355,0.440339
21,0.224957,0.431920
22,0.222224,0.406783
23,0.222450,0.550246
24,0.224561,0.419589
25,0.222006,0.436050
26,0.221342,0.445126
27,0.221919,0.448614
28,0.221538,0.396102
29,0.220190,0.446114
30,0.218042,0.439235
31,0.221271,0.414967
32,0.220213,0.406964
33,0.218911,0.441217
34,0.217484,0.480365
35,0.214294,0.413431
36,0.214617,0.455258
37,0.210569,0.453664
38,0.207771,0.510366
39,0.203866,0.403795
40,0.202067,0.472230
41,0.197858,0.438279
42,0.197967,0.404536
43,0.195622,0.462330
44,0.196328,0.435798
45,0.193237,0.491499
46,0.192354,0.469873
47,0.192971,0.364236
48,0.193273,0.361538
49,0.188390,0.367028
50,0.191041,0.388454
51,0.187649,0.386826
52,0.190989,0.482557
53,0.187511,0.391019
54,0.189150,0.404127
55,0.190909,0.467702
56,0.184930,0.411126
57,0.187009,0.390298
58,0.187005,0.333340
59,0.188461,0.371385
60,0.188321,0.496007
61,0.186209,0.359566
62,0.192368,0.449999
63,0.184750,0.362620
64,0.183348,0.357228
65,0.184996,0.356001
66,0.184643,0.361266
67,0.186094,0.450196
68,0.193811,0.357552
69,0.185053,0.436870
70,0.187574,0.356229
71,0.185731,0.350735
72,0.184892,0.384087
73,0.183935,0.417565
74,0.184395,0.470753
75,0.188062,0.374273
76,0.182482,0.375876
77,0.184196,0.355948
78,0.184873,0.403439
79,0.183108,0.423885
80,0.181087,0.378644
81,0.183479,0.342037
82,0.182472,0.348819
83,0.183192,0.367798
84,0.183196,0.371646
85,0.180779,0.353187
86,0.181064,0.375918
87,0.180639,0.367272
88,0.181168,0.357231
89,0.178690,0.366542
90,0.181836,0.501468
91,0.184451,0.366625
92,0.180567,0.398655
93,0.179641,0.356623
94,0.180473,0.385020
95,0.184128,0.366367
96,0.181334,0.420573
97,0.181140,0.368485
98,0.180696,0.387511
99,0.181495,0.369543
100,0.179442,0.396790
