epoch,train_loss,val_loss
1,0.328166,0.451739
2,0.225970,0.504309
3,0.193216,0.600123
4,0.161898,0.768966
5,0.137817,0.508205
6,0.124238,0.479156
7,0.105166,0.423409
8,0.100850,0.510230
9,0.087424,0.430466
10,0.080541,0.474898
11,0.084385,0.481809
12,0.074639,0.568886
13,0.062657,0.538418
14,0.055414,0.480613
15,0.052434,0.454511
16,0.056844,0.584236
17,0.062099,0.441777
18,0.053111,0.436347
19,0.054116,0.434701
20,0.045311,0.504899
21,0.046236,0.655002
22,0.045769,0.468090
23,0.039203,0.489901
24,0.045435,0.474965
25,0.040751,0.488796
26,0.035825,0.543624
27,0.034446,0.509467
28,0.033297,0.504910
29,0.034492,0.504093
30,0.039565,0.454376
31,0.033482,0.477820
32,0.032282,0.524255
33,0.031150,0.458230
34,0.038730,0.466882
35,0.030022,0.473361
36,0.031131,0.514824
37,0.032908,0.494772
38,0.034069,0.469292
39,0.038953,0.442573
40,0.040875,0.440816
41,0.032471,0.434402
42,0.029421,0.457728
43,0.035749,0.441429
44,0.031152,0.441394
45,0.027013,0.476132
46,0.028194,0.442547
47,0.031876,0.425466
48,0.031658,0.439808
49,0.043746,0.398426
50,0.043936,0.443587
51,0.029862,0.439978
52,0.028498,0.440928
53,0.025499,0.468780
54,0.024582,0.473499
55,0.025224,0.469369
56,0.025411,0.446671
57,0.025795,0.450170
58,0.024860,0.472671
59,0.064521,0.430760
60,0.034785,0.455042
61,0.025860,0.461063
62,0.025082,0.452133
63,0.030662,0.443709
64,0.027323,0.453113
65,0.024927,0.461152
66,0.024689,0.448908
67,0.026621,0.479427
68,0.024294,0.470992
69,0.027710,0.467851
70,0.029521,0.455521
71,0.025320,0.442903
72,0.025139,0.430573
73,0.024238,0.460284
74,0.025260,0.464222
75,0.025078,0.422100
76,0.027028,0.462359
77,0.026121,0.444747
78,0.035302,0.438218
79,0.055823,0.417081
80,0.030533,0.451607
81,0.023443,0.497014
82,0.024115,0.470012
83,0.022995,0.472082
84,0.022491,0.476889
85,0.023457,0.447828
86,0.023149,0.455518
87,0.023218,0.463661
88,0.037230,0.469087
89,0.030616,0.418062
90,0.025502,0.432495
91,0.025815,0.478019
92,0.024245,0.466281
93,0.026272,0.441985
94,0.023907,0.445119
95,0.022969,0.472586
96,0.022538,0.486437
97,0.023702,0.442642
98,0.024582,0.464391
99,0.030528,0.699969
