epoch,train_loss,val_loss
1,0.459618,0.453066
2,0.261743,0.397358
3,0.242732,0.482273
4,0.220199,0.645202
5,0.208902,0.641432
6,0.196571,0.651686
7,0.186654,0.718203
8,0.180940,0.640556
9,0.168454,0.699855
10,0.157699,0.691401
11,0.150126,0.704127
12,0.142767,0.722710
13,0.135620,0.712290
14,0.130289,0.728039
15,0.132565,0.746213
16,0.122212,0.646314
17,0.115846,0.711389
18,0.108391,0.748976
19,0.107718,0.702641
20,0.101799,0.748005
21,0.095275,0.717983
22,0.086104,0.755163
23,0.088114,0.759968
24,0.083200,0.674272
25,0.075968,0.757704
26,0.071876,0.751853
27,0.070256,0.719378
28,0.066754,0.724843
29,0.068306,0.767276
30,0.065847,0.675995
31,0.059224,0.686724
32,0.066135,0.775005
33,0.060554,0.691378
34,0.063233,0.687627
35,0.054599,0.695982
36,0.058815,0.703526
37,0.056870,0.673354
38,0.050493,0.618273
39,0.049551,0.672950
40,0.049456,0.641448
41,0.050184,0.671586
42,0.050093,0.600014
43,0.052676,0.647578
44,0.052609,0.741878
45,0.049034,0.652844
46,0.045161,0.607787
47,0.046696,0.640214
48,0.048259,0.617039
49,0.051501,0.653200
50,0.043012,0.648585
51,0.041698,0.659148
52,0.042602,0.627457
53,0.042157,0.646158
54,0.049325,0.562507
55,0.068779,0.643094
56,0.044863,0.624175
57,0.043238,0.593023
58,0.043952,0.622023
59,0.044272,0.665465
60,0.037332,0.677762
61,0.039676,0.615637
62,0.045162,0.632622
63,0.036817,0.639904
64,0.037557,0.688368
65,0.038333,0.628157
66,0.038773,0.661663
67,0.036998,0.654251
68,0.037782,0.667517
69,0.047535,0.588855
70,0.038428,0.659651
71,0.037694,0.619226
72,0.036321,0.579703
73,0.035364,0.650036
74,0.035700,0.676151
75,0.036149,0.640493
76,0.037506,0.636967
77,0.036416,0.668345
78,0.034224,0.700798
79,0.035445,0.658333
80,0.034387,0.633023
81,0.036755,0.657821
82,0.035170,0.642567
83,0.033755,0.642480
84,0.034672,0.677773
85,0.039216,0.666001
86,0.036640,0.605593
87,0.033341,0.653906
88,0.034040,0.626649
89,0.037232,0.631207
90,0.048284,0.571366
91,0.046377,0.621405
92,0.034688,0.587915
93,0.031630,0.611439
94,0.032912,0.643349
95,0.033993,0.690013
96,0.042250,0.591339
97,0.033631,0.618751
98,0.031825,0.585991
99,0.032682,0.626359
100,0.032319,0.662465
101,0.037076,0.671508
102,0.037080,0.671250
103,0.033838,0.624490
104,0.031902,0.622384
