epoch,train_loss,val_loss
1,0.503636,0.472834
2,0.308000,0.391677
3,0.269052,0.421620
4,0.251795,0.392874
5,0.240286,0.525326
6,0.239932,0.381642
7,0.231962,0.365236
8,0.229732,0.394133
9,0.230134,0.395797
10,0.224754,0.415896
11,0.221685,0.433642
12,0.223929,0.408374
13,0.216418,0.530207
14,0.218346,0.558798
15,0.207526,0.516821
16,0.207482,0.529542
17,0.199483,0.641920
18,0.198020,0.545681
19,0.196132,0.588199
20,0.194955,0.594903
21,0.192614,0.606302
22,0.190220,0.569941
23,0.185223,0.534709
24,0.183939,0.656751
25,0.182073,0.644935
26,0.185573,0.615802
27,0.179638,0.626105
28,0.174611,0.591553
29,0.173462,0.612725
30,0.170787,0.598062
31,0.169358,0.641598
32,0.168597,0.669346
33,0.165780,0.646640
34,0.163937,0.632780
35,0.162923,0.662900
36,0.159890,0.659558
37,0.156438,0.627323
38,0.154119,0.645062
39,0.153263,0.666351
40,0.153886,0.679362
41,0.149946,0.657395
42,0.152829,0.660516
43,0.147657,0.679858
44,0.153685,0.600859
45,0.152837,0.670026
46,0.148234,0.704471
47,0.148758,0.742047
48,0.157841,0.621145
49,0.147114,0.638598
50,0.147429,0.619320
51,0.145874,0.641488
52,0.144531,0.642266
53,0.143285,0.686022
54,0.145009,0.665972
55,0.151460,0.644832
56,0.144690,0.690410
57,0.144829,0.643116
58,0.141015,0.626309
59,0.142499,0.622984
60,0.142284,0.642611
61,0.139782,0.648731
62,0.137841,0.630315
63,0.139329,0.648603
64,0.139544,0.707970
65,0.139412,0.612153
66,0.136702,0.611405
67,0.136497,0.573573
68,0.138447,0.574430
69,0.135648,0.670010
70,0.133044,0.645819
71,0.134976,0.587502
72,0.130221,0.557595
73,0.130542,0.554984
74,0.131147,0.538779
75,0.136456,0.622401
76,0.129788,0.625168
77,0.130437,0.554339
78,0.127088,0.562805
79,0.129083,0.541809
80,0.127260,0.532906
81,0.129791,0.618794
82,0.123765,0.518728
83,0.123878,0.545746
84,0.120542,0.486420
85,0.118667,0.505568
86,0.117776,0.566021
87,0.117378,0.526981
88,0.122039,0.581869
89,0.122449,0.560171
90,0.112787,0.544999
91,0.114267,0.545592
92,0.113277,0.532346
93,0.112275,0.554763
94,0.118171,0.586866
95,0.115645,0.539411
96,0.109333,0.517091
97,0.106321,0.519580
98,0.106224,0.548623
99,0.107683,0.588829
100,0.104425,0.554841
101,0.102939,0.569323
102,0.105516,0.591985
103,0.102703,0.557649
104,0.104325,0.557318
105,0.103403,0.544574
106,0.099012,0.548310
107,0.100920,0.610919
108,0.098196,0.551625
109,0.101294,0.613322
110,0.103989,0.534793
111,0.099654,0.593340
112,0.099149,0.554901
113,0.101356,0.565128
114,0.097512,0.568259
115,0.097756,0.590595
116,0.099427,0.564746
117,0.104236,0.591460
118,0.095617,0.529560
119,0.104254,0.554165
120,0.100312,0.579818
121,0.100397,0.627110
122,0.092557,0.609355
123,0.092972,0.609467
124,0.091482,0.571203
125,0.095613,0.599662
126,0.094787,0.609611
127,0.090715,0.610019
128,0.095322,0.589622
129,0.096037,0.629552
130,0.093770,0.640757
131,0.091101,0.595826
132,0.090180,0.640591
133,0.091569,0.617171
134,0.095205,0.622643
