epoch,train_loss,val_loss
1,0.712212,1.090652
2,0.272609,0.400267
3,0.177581,0.355715
4,0.146875,0.349056
5,0.121769,0.311179
6,0.107977,0.287211
7,0.096624,0.249819
8,0.086163,0.226167
9,0.074736,0.263219
10,0.068113,0.229398
11,0.062458,0.221024
12,0.060408,0.208968
13,0.057066,0.448207
14,0.052492,0.396650
15,0.050754,0.371887
16,0.048373,0.424807
17,0.049001,0.631726
18,0.046317,0.768386
19,0.045204,1.132951
20,0.042979,1.053645
21,0.041985,1.350956
22,0.042354,1.773567
23,0.041184,1.573074
24,0.039783,2.023423
25,0.039463,1.798616
26,0.039100,2.034550
27,0.038421,2.609038
28,0.037483,2.873204
29,0.038485,3.303490
30,0.039523,3.195940
31,0.036702,2.653572
32,0.036680,2.634017
33,0.036297,3.150528
34,0.034352,3.485792
35,0.033797,3.202427
36,0.033546,3.429561
37,0.033828,2.837028
38,0.033983,3.474978
39,0.033054,3.761637
40,0.031838,4.171818
41,0.032475,3.538420
42,0.034412,4.509266
43,0.042271,4.383419
44,0.037087,3.952464
45,0.032811,4.137464
46,0.031206,4.325399
47,0.031055,4.001927
48,0.031491,4.724820
49,0.032727,4.895665
50,0.030128,4.623309
51,0.029224,4.615230
52,0.029138,4.842128
53,0.029529,4.473980
54,0.029850,4.594607
55,0.029301,4.485768
56,0.029121,4.785870
57,0.028632,5.153905
58,0.028410,4.982348
59,0.027813,5.059275
60,0.029227,4.837116
61,0.028558,5.161951
62,0.028048,5.210589
63,0.028117,5.183009
64,0.028081,5.068812
65,0.027647,5.013076
66,0.026846,5.008025
67,0.026837,5.298353
68,0.026840,5.296700
69,0.027001,5.240812
70,0.026463,5.228996
71,0.027011,5.381219
72,0.027418,4.969194
73,0.025854,5.270748
74,0.025427,5.412103
75,0.026021,5.403755
76,0.027690,5.421594
77,0.029341,4.897730
78,0.027107,5.344552
79,0.025763,5.362423
80,0.025820,5.686128
