epoch,train_loss,val_loss
1,0.550419,0.483528
2,0.174570,0.390862
3,0.126264,0.339310
4,0.112141,0.321109
5,0.097423,0.280277
6,0.082696,0.318180
7,0.071022,0.249400
8,0.062843,0.251730
9,0.063339,0.236624
10,0.057981,0.262071
11,0.054666,0.240227
12,0.051190,0.239652
13,0.053245,0.236043
14,0.049723,0.225611
15,0.049858,0.252519
16,0.049654,0.245916
17,0.048852,0.222588
18,0.046276,0.251070
19,0.044339,0.268182
20,0.043451,0.261375
21,0.044767,0.274631
22,0.040366,0.272083
23,0.040398,0.291742
24,0.040880,0.286885
25,0.042364,0.293297
26,0.040481,0.264615
27,0.039126,0.303123
28,0.039346,0.283754
29,0.038053,0.273612
30,0.039806,0.266148
31,0.036457,0.307381
32,0.036730,0.283519
33,0.035793,0.293505
34,0.038755,0.297406
35,0.035190,0.307325
36,0.034220,0.277361
37,0.036561,0.276594
38,0.034656,0.303210
39,0.035335,0.271401
40,0.033732,0.289558
41,0.035239,0.284466
42,0.035094,0.264088
43,0.034883,0.294514
44,0.034359,0.297732
45,0.033133,0.285639
46,0.031456,0.301129
47,0.031433,0.311615
48,0.032260,0.307193
49,0.033592,0.298899
50,0.034163,0.300024
51,0.032963,0.293746
52,0.031689,0.285637
53,0.031090,0.296682
54,0.032769,0.296819
55,0.030755,0.291512
56,0.030340,0.294211
57,0.032526,0.284510
58,0.038039,0.290974
59,0.034376,0.297926
60,0.031221,0.309560
61,0.031018,0.322130
62,0.029985,0.279644
63,0.029162,0.291566
64,0.028506,0.279161
65,0.029702,0.292746
66,0.029790,0.295067
67,0.030861,0.318094
68,0.030930,0.294329
69,0.033254,0.317907
70,0.029243,0.297516
71,0.027939,0.282063
72,0.030558,0.263480
73,0.031956,0.287299
74,0.028456,0.292883
75,0.028406,0.295848
76,0.031183,0.293180
77,0.029238,0.284632
78,0.030047,0.297804
79,0.030070,0.298215
80,0.028008,0.283284
