epoch,train_loss,val_loss
1,0.360659,0.305621
2,0.148433,0.271180
3,0.095685,0.227170
4,0.061038,0.195940
5,0.048372,0.252709
6,0.042977,0.352282
7,0.044724,0.470797
8,0.039744,0.640109
9,0.036949,0.510703
10,0.035199,0.563859
11,0.036880,0.517217
12,0.033802,0.486751
13,0.032815,0.535070
14,0.035932,0.488870
15,0.031825,0.662053
16,0.030503,0.328801
17,0.042777,0.493443
18,0.034678,0.476909
19,0.031967,0.369265
20,0.029068,0.481040
21,0.028498,0.381158
22,0.031528,0.326185
23,0.029363,0.446934
24,0.027482,0.320548
25,0.026948,0.377844
26,0.025677,0.363581
27,0.027932,0.358312
28,0.025934,0.308786
29,0.024674,0.325073
30,0.025764,0.328418
31,0.027138,0.341844
32,0.029953,0.298316
33,0.029350,0.314885
34,0.026892,0.295540
35,0.023867,0.346101
36,0.025449,0.309159
37,0.031681,0.302106
38,0.027157,0.310342
39,0.025378,0.298401
40,0.024023,0.285800
41,0.023432,0.310852
42,0.023590,0.283293
43,0.022726,0.297583
44,0.021789,0.298319
45,0.021677,0.323923
46,0.022112,0.305073
47,0.024789,0.356707
48,0.022402,0.322436
49,0.021007,0.293006
50,0.025994,0.315399
51,0.029148,0.322459
52,0.024999,0.303083
53,0.021147,0.304016
54,0.021378,0.312276
55,0.022778,0.319770
56,0.020460,0.323369
57,0.020884,0.290972
58,0.027379,0.292137
59,0.022059,0.325077
60,0.020963,0.305262
61,0.021621,0.302118
62,0.023252,0.295634
63,0.020862,0.312688
64,0.025225,0.330323
65,0.022632,0.309258
66,0.021286,0.307785
67,0.022532,0.307394
68,0.020078,0.303679
69,0.019783,0.300425
70,0.020197,0.293942
71,0.021475,0.287087
72,0.022416,0.325399
73,0.021914,0.312188
74,0.021353,0.301961
75,0.022584,0.302728
76,0.022837,0.294488
77,0.020646,0.279406
78,0.020348,0.321474
79,0.021021,0.296277
80,0.020947,0.309453
